symbol_scope,target,horizon,market_period,threshold,transaction_cost_bps,method,regime_method,score_IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,global_lgbm,none,0.002370356245843793,-0.0006832265409812384,0.5736882716049383,0.3657754787092464,-0.3417094627525514,-0.6424991033976218,0.053356481481481484,-0.45534695416029614,2566,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,global_lgbm,none,0.0020630341837073094,0.007005262995371243,0.5802067946824224,0.35969016112158125,0.10471611892612703,-0.3045842381907192,0.04379615952732644,0.019714717030055118,561,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,global_lgbm,none,-0.002675696715294732,-0.011662420433751371,0.5602438633081983,0.37182171706277933,-0.6951638409716445,-0.6523556968107629,0.07051179207444248,-0.6078301396640939,1604,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,global_lgbm,none,0.0036620938311583214,0.013918193501419504,0.5921603830041892,0.35864325267857944,-0.3324763811944552,-0.5168150924779933,0.03104428485936565,-0.2819504297972717,401,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,regime_lgbm_contrastive,contrastive,-0.011001971921415634,-0.002756955400977851,0.5618441358024692,0.3727734897240506,-0.5860781010029853,-0.9016099914635243,0.07650462962962963,-0.7233708885812922,3582,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,regime_lgbm_contrastive,contrastive,0.0009352034789543056,0.014654976846648972,0.565288035450517,0.3670010090936014,-0.3623515473169878,-0.4652324725357743,0.07968980797636632,-0.3128255541289734,969,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,regime_lgbm_contrastive,contrastive,-0.015033916102144477,-0.014678779424851029,0.5470880795764479,0.37843188001832545,-1.113417925491324,-0.889469266105646,0.08996470399486603,-0.8055472212302339,2010,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,regime_lgbm_contrastive,contrastive,-0.016365295966038185,0.0033177519035845794,0.5858767205266308,0.36558927954407233,-0.3929796401761201,-0.7429281267310929,0.04817474566128067,-0.42297718777367943,603,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0026100348883464418,0.0007676522236308886,0.5614969135802469,0.37446606023126255,-0.27514339097625407,-0.6987589655976413,0.07893518518518519,-0.4855683447901322,3676,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.009975296184873835,-0.007297697045569752,0.5607090103397341,0.35966129513130096,-0.6755747578178127,-0.5648574919714333,0.07525849335302806,-0.430530642364955,937,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0036937383874110262,0.0020674129926345165,0.5490133162201187,0.38564366248928467,-0.34705556713580776,-0.5872372217222162,0.09521899566821755,-0.4526764829846813,2091,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,regime_lgbm_contrastive_hmm,contrastive_hmm,0.002951166954844619,0.00637673552678704,0.5855774985038898,0.3652138225043782,-0.0923722006190341,-0.6036529845990212,0.05228904847396768,-0.20885031021661327,648,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,regime_lgbm_hmm,hmm,0.0051131260203158314,0.0042256567957749454,0.5623070987654321,0.3726285597385241,-0.09820121306892836,-0.65546695230393,0.08225308641975308,-0.28473607455146244,3804,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,regime_lgbm_hmm,hmm,-1.7688133775334205e-05,-0.00286666487919444,0.5651403249630724,0.361842113503483,-0.3934173148050535,-0.4361108423907005,0.07577548005908419,-0.2940119501852555,936,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,regime_lgbm_hmm,hmm,-0.012999403838607633,-0.005165712592727362,0.5498154981549815,0.38117142126961867,-0.6165806671760947,-0.761742771052468,0.09959088721321996,-0.6353725838024101,2170,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,regime_lgbm_hmm,hmm,0.03135967510048076,0.028238263743850977,0.5827348892878516,0.3650707139183981,0.6171110863251259,-0.46681772121877557,0.05647815679233992,0.6943808804828482,698,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.009163474213762119,-0.005808347074889919,0.5584490740740741,0.36827390521659426,-0.7237933729002541,-0.8518116229212299,0.08173225308641975,-0.7764913968498939,3780,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.02691815864326079,-0.006482723644339137,0.5663220088626293,0.36236451765545324,-0.4320939219001167,-0.5803797025261491,0.07045790251107828,-0.31561278739908827,852,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.016450840470796438,-0.01835145100120437,0.5447617519653457,0.3749795238839289,-1.0019474577516532,-0.8177872401378894,0.10011230547088079,-0.7872357006323605,2188,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,0.01142245874703386,0.015930135651271066,0.5760023937761819,0.3595296029677826,-0.28472334297413443,-0.6793970151651244,0.058871932974266905,-0.38316256569458407,740,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.009447332822613702,0.015164367335206473,0.5613040123456791,0.37602937979471335,0.34153296989385684,-0.5633800327914246,0.08804012345679012,0.6779370054277076,4057,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0006133046539911802,0.00142577620384089,0.5635155096011817,0.36428207188091816,-0.1313286255779895,-0.3952104759414148,0.0793943870014771,-0.1392630565360614,970,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,-0.0012793371899677672,0.002996270281933415,0.5501363709289266,0.38409283025754687,-0.14552221790232844,-0.542973545682579,0.10520616075725975,-0.3063957804005678,2279,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.02862710686022685,0.049232398104506706,0.5798922800718133,0.3710248563697092,1.191011103998476,-0.31869789683931427,0.06478156792339916,2.4521064299418085,808,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,regime_lgbm_kmeans,kmeans,0.007158703018405403,-0.005256343649618527,0.5661651234567902,0.37180730988484684,-0.4762308891738698,-0.8144601570175783,0.08406635802469135,-0.675684289122634,3934,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,regime_lgbm_kmeans,kmeans,0.011239664778746968,0.01748295723359782,0.5688330871491876,0.3635228935551477,0.5498535546531506,-0.28274550143773713,0.07651403249630724,0.3953144093537253,952,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,regime_lgbm_kmeans,kmeans,0.0003715525699182097,-0.011900218293696698,0.5563933900208567,0.38049989616355234,-0.6972303332241885,-0.7801759864577137,0.0982672870206963,-0.6806486530276744,2184,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,regime_lgbm_kmeans,kmeans,0.010509057538835357,-0.013004231553877851,0.5816876122082585,0.3623858695615574,-0.7213125387591711,-0.7159208481678002,0.06523040095751047,-0.6440124229144597,798,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,5,regime_lgbm_vol_bucket,vol_bucket,-0.0019842160448648883,-0.007254444450294562,0.5560956790123457,0.36980003453665794,-0.6105118356326968,-0.8121768775314875,0.08595679012345679,-0.7413288304024137,3973,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,5,regime_lgbm_vol_bucket,vol_bucket,-0.0031543835465624977,-0.005737010317745476,0.5589364844903988,0.36107214776488544,-0.11674436729812696,-0.4991163280260032,0.08005908419497784,-0.14632098211985245,986,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,5,regime_lgbm_vol_bucket,vol_bucket,-0.010030950497632024,-0.014720862318936765,0.5409112786780041,0.3767222518331568,-0.7363399777949645,-0.824316979111206,0.10536659714423231,-0.6976381671386869,2310,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,5,regime_lgbm_vol_bucket,vol_bucket,0.009623572182529837,0.004426561489255026,0.5815380011968881,0.36314573387504634,-0.2685661768821193,-0.6238116994051265,0.05573010173548773,-0.35937717867464314,677,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,10,global_lgbm,none,0.002370356245843793,-0.0006832265409812384,0.5736882716049383,0.3657754787092464,-0.5717677227487311,-0.7236459997069041,0.053356481481481484,-0.6146304151703502,2566,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,10,global_lgbm,none,0.0020630341837073094,0.007005262995371243,0.5802067946824224,0.35969016112158125,-0.06109885298708707,-0.3413501845382104,0.04379615952732644,-0.0738064582820882,561,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.03,10,global_lgbm,none,-0.002675696715294732,-0.011662420433751371,0.5602438633081983,0.37182171706277933,-0.9403527648601004,-0.7304834664507603,0.07051179207444248,-0.7087632357801079,1604,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.03,10,global_lgbm,none,0.0036620938311583214,0.013918193501419504,0.5921603830041892,0.35864325267857944,-0.4272747568337397,-0.5345322528693793,0.03104428485936565,-0.3328189610594011,401,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.03,10,regime_lgbm_contrastive,contrastive,-0.011001971921415634,-0.002756955400977851,0.5618441358024692,0.3727734897240506,-0.8434804085931531,-0.932386244503862,0.07650462962962963,-0.8315325226413458,3582,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.03,10,regime_lgbm_contrastive,contrastive,0.0009352034789543056,0.014654976846648972,0.565288035450517,0.3670010090936014,-0.5773089782713167,-0.49904333812759727,0.07968980797636632,-0.4226517267655333,969,6770
