method,source_phase,n_rows,n_symbols,n_regimes,avg_regime_duration,transition_diagonal_probability,mean_confidence,hmm_reference_nmi,hmm_reference_ari,hmm_reference_purity,hmm_nmi_vs_contrastive_delta,hmm_purity_vs_contrastive_delta
hmm,phase16_regime_quality,34754,2,4,6.978714859437751,0.8567564456721916,0.946411587554836,1.0,1.0,1.0,0.9681647690597999,0.6213960982908443
hmm_guided_hmm,phase19b_full_guided_encoder,34754,2,4,5.721802038803025,0.8252773147882062,0.9979536545005832,0.8687274697326897,0.8869969831490665,0.9573862001496231,0.8368922387924895,0.5787822984404674
hmm_guided_gmm,phase19b_full_guided_encoder,34754,2,4,5.092186128182616,0.8036668774067475,0.9907211815365448,0.6091188863363399,0.4336571832012464,0.7587040340680209,0.5772836553961398,0.3801001323588652
vol_bucket,phase16_regime_quality,34754,2,4,10.442908653846152,0.9042932780847146,1.0,0.3328720193311734,0.2536246247006942,0.5986361282154572,0.3010367883909733,0.2200322265063015
kmeans,phase16_regime_quality,34754,2,4,4.054363042463836,0.7533954880294659,1.0,0.1820245889866579,0.1393257887995502,0.4586810151349485,0.1501893580464578,0.08007711342579282
contrastive,phase16_regime_quality,34754,2,4,30.512730465320452,0.967282458563536,0.9394114780787118,0.0318352309402001,0.0225511055939792,0.3786039017091557,0.0,0.0
contrastive_hmm,phase16_regime_quality,34754,2,4,42.17718446601942,0.9763466850828728,0.9753162835508066,0.0199255842591086,0.0153046260176934,0.3765321977326351,-0.011909646681091499,-0.0020717039765206224
