fold,method,candidate_id,candidate_params,inner_validation_nll,inner_validation_mean_asset_ic,inner_validation_turnover,turnover_increase_vs_baseline,coverage_ok
1,global_lgbm,p41_prob_temperature,temperature=1.25,0.9681096895326696,-0.014195533850168246,0.022222222222222223,0.0,True
1,regime_lgbm_kmeans,p41_prob_temperature,temperature=1.5,0.9806808455956432,0.02788511424278291,0.055,0.0,True
1,regime_lgbm_hmm,p41_prob_temperature,temperature=1.5,0.9731310699522957,0.03976795602791211,0.050833333333333335,0.0,True
1,regime_lgbm_vol_bucket,p41_prob_temperature,temperature=1.5,0.9816891977187807,-0.002485023104179521,0.06027777777777778,0.0,True
2,global_lgbm,p41_prior_blend,prior_blend_weight=0.2,0.9569001457440612,-0.10474035330509923,0.011111111111111112,-0.7101449275362318,True
2,regime_lgbm_kmeans,p41_prior_blend,prior_blend_weight=0.2,0.9619061450032836,-0.0783085169613686,0.03222222222222222,-0.47511312217194573,True
2,regime_lgbm_hmm,p41_prior_blend,prior_blend_weight=0.2,0.9614523561884121,-0.08390638993161462,0.030555555555555555,-0.497716894977169,True
2,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9676810141553882,-0.10691492333722455,0.042222222222222223,-0.3504273504273504,True
3,global_lgbm,p41_prior_blend,prior_blend_weight=0.1,0.9540798530705755,0.05089909656541484,0.043333333333333335,-0.24999999999999994,True
3,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9567108074308827,0.046872712246009494,0.07,-0.1486486486486486,True
3,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.956640713083503,0.033127318295845615,0.06944444444444445,-0.1987179487179487,True
3,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.957644229685328,0.03952513758187806,0.07388888888888889,-0.21764705882352936,True
4,global_lgbm,p41_prior_blend,prior_blend_weight=0.1,0.9288467520058782,-0.012696515958533373,0.03611111111111111,-0.4196428571428572,True
4,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9307267928635068,-0.02061224135601245,0.07055555555555555,-0.2326283987915408,True
4,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9294004501621177,-0.01824227753466088,0.07,-0.19745222929936304,True
4,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.92902136495562,-0.01624738499067738,0.06972222222222223,-0.27246376811594203,True
5,global_lgbm,p41_prior_blend,prior_blend_weight=0.05,0.9625159407523344,-0.02727595887192802,0.051666666666666666,-0.1982758620689655,True
5,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.965025263823113,-0.024388664713534642,0.06555555555555556,-0.20805369127516776,True
5,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.962563388335679,-0.004480699446912025,0.07277777777777777,-0.11784511784511792,True
