method,target,horizon,regime_method,symbol_scope,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,nll_loss,fold
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.028050075977503953,0.028050075977503953,0.02738491654010511,-0.04970769515579621,-0.06518133874103146,0.03384020707563061,-0.005270084934862308,20,720,0.18435768016274345,-0.013915138582607322,0.085,0.0009259297162700353,287,90,0,14400,0.9529422416944936,3
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.02142290477260852,0.02142290477260852,0.033091295863278275,-0.055819295621529735,-0.05555796646267431,0.031270958999648456,-0.009563368529779428,20,720,-2.3557443240326412,-0.028491295368644445,0.08277777777777778,-0.016165931009061718,288,90,0,14400,0.9536930645108921,3
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.07997646297148168,-0.07997646297148168,-0.07219599007100265,-0.06905805031967531,-0.08509026578472298,-0.0683220413853927,-0.036839860697926705,20,720,-3.1573382443310742,-0.028635774703932474,0.034722222222222224,-0.02162973092885989,123,90,0,14400,0.9651321967031021,4
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.0754680103674366,-0.0754680103674366,-0.06891951727860186,-0.053872363278800746,-0.07118542263095357,-0.06031637441389394,-0.04226580123150293,20,720,-4.400361966932977,-0.01968662441119075,0.055,-0.016324015212331622,192,90,0,14400,0.9669227805929516,4
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.047822920215866684,-0.047822920215866684,-0.0430854943946981,-0.03852852156452594,-0.059498712547915056,-0.03589958699555771,-0.027889944957151934,20,720,-3.953181283027982,-0.03055360056919636,0.060833333333333336,-0.027284905484340705,214,90,0,14400,0.9657306365677465,4
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.04729592249072322,-0.04729592249072322,-0.03736890163648125,-0.038631034575092545,-0.055389063816645365,-0.032578078523187004,-0.01697034517179186,20,720,-0.6681197136755213,-0.019431968410997414,0.060833333333333336,-0.0031615594581259066,207,90,0,14400,0.9648473793915867,4
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.010693052441068407,0.010693052441068407,-0.0004894704419290844,-0.057645717050650386,-0.053941435583790526,0.013443741520559825,0.014689386386874833,20,720,0.30767842005663754,-0.013859283203349788,0.04111111111111111,0.0013974617477725548,147,90,0,14400,0.9462273839277685,5
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.007511804151919298,0.007511804151919298,0.0037806501665080382,-0.05269894023699939,-0.052603454655706774,0.01121344533070573,0.027111975850322566,20,720,0.6716548064028648,-0.024797623014769593,0.065,0.004356005127878371,229,90,0,14400,0.9496208337202197,5
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.01647693004488201,0.01647693004488201,0.015429172224567626,-0.040659888033853044,-0.03543129042300003,0.023099784555473762,0.029568634130752884,20,720,0.3535210422549213,-0.01798548407044478,0.06166666666666667,0.0018256401596590255,216,90,0,14400,0.9476671414377658,5
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.004196183263235437,0.004196183263235437,0.005019729702554055,-0.039040094109900884,-0.02619530504703404,0.007218043226669023,0.008593454046382856,20,720,2.330695051620067,-0.02265610316582532,0.07361111111111111,0.014865640036574757,251,90,0,14400,0.9490761462744988,5
