epoch,loss,valid_anchor_pct,positive_pairs_per_batch,hard_negative_pairs_per_batch,lr
1,0.9509470819107281,1.0,4519.114391143911,10.236162361623617,0.000225
2,0.6973914399578123,1.0,4515.306273062731,10.723247232472325,7.500000000000003e-05
3,0.5644119650235475,1.0,4522.782287822878,10.346863468634686,0.0
