method,source_phase,n_rows,n_symbols,n_regimes,avg_regime_duration,transition_diagonal_probability,mean_confidence,hmm_reference_nmi,hmm_reference_ari,hmm_reference_purity,hmm_nmi_vs_contrastive_delta,hmm_purity_vs_contrastive_delta
hmm,phase16_regime_quality,34754,2,4,6.978714859437751,0.8567564456721916,0.946411587554836,1.0,1.0,1.0,0.9681647690597999,0.6213960982908443
tf_hmm_guided_hmm,phase22_time_frequency_guided_encoder,34754,2,4,8.389585342333655,0.8808552215644577,0.9856721709218482,0.5277618682451146,0.41620855358592546,0.7037751050238822,0.49592663730491454,0.3251712033147265
tf_hmm_guided_gmm,phase22_time_frequency_guided_encoder,34754,2,4,6.4696040156162855,0.8454796252658199,0.9668129457049845,0.5038486733456893,0.37195238535198055,0.6817632502733498,0.4720134424054892,0.30315934856419413
vol_bucket,phase16_regime_quality,34754,2,4,10.442908653846152,0.9042932780847146,1.0,0.3328720193311734,0.2536246247006942,0.5986361282154572,0.3010367883909733,0.2200322265063015
kmeans,phase16_regime_quality,34754,2,4,4.054363042463836,0.7533954880294659,1.0,0.1820245889866579,0.1393257887995502,0.4586810151349485,0.1501893580464578,0.08007711342579282
contrastive,phase16_regime_quality,34754,2,4,30.512730465320452,0.967282458563536,0.9394114780787118,0.0318352309402001,0.0225511055939792,0.3786039017091557,0.0,0.0
contrastive_hmm,phase16_regime_quality,34754,2,4,42.17718446601942,0.9763466850828728,0.9753162835508066,0.0199255842591086,0.0153046260176934,0.3765321977326351,-0.011909646681091499,-0.0020717039765206224
