method,symbol_scope,reference_method,n_rows,n_symbols,n_regimes,min_regime_pct,max_regime_pct,regime_balance_entropy,switch_count,switch_rate_per_1000,transition_diagonal_probability,transition_entropy,avg_regime_duration,median_regime_duration,p90_regime_duration,mean_confidence,mean_posterior_entropy,low_confidence_pct,hmm_reference_nmi,hmm_reference_ari,hmm_reference_purity,hmm_reference_conditional_entropy
contrastive,ALL,hmm,34754,2,4,0.231110088047419,0.26785405996432066,0.9987516342093685,1137,32.71754143646409,0.9672824585635359,0.12246470752255414,30.512730465320455,18.0,73.0,0.9394114780787118,0.10797013905121586,0.03921850722219025,0.03183523094020017,0.022551105593979274,0.37860390170915575,0.9277232406947917
contrastive,BTCUSDT,hmm,17377,1,4,0.006560395925648846,0.5133797548483627,0.6380133570322674,653,37.58057090239411,0.9624194290976059,0.12891726256786398,26.57033639143731,18.0,67.0,0.9353725607204691,0.11402684504952432,0.04258502618403637,0.014805205837056117,0.0021382087962036737,0.39598319617885713,0.8702798036097605
contrastive,ETHUSDT,hmm,17377,1,4,0.007020774587097888,0.5291477240029925,0.6395020384419721,484,27.854511970534073,0.9721454880294659,0.10194781464916833,35.82886597938144,18.0,87.0,0.9434503954369544,0.10191343305290738,0.035851988260344136,0.005270018760013684,0.0007532322609025568,0.39604074351153823,0.9482062894981645
contrastive_hmm,ALL,hmm,34754,2,4,0.23246245036542557,0.27395407722852044,0.9986622380491664,822,23.65331491712707,0.9763466850828729,0.09376769917314932,42.17718446601942,34.0,81.0,0.9753162835508066,0.04167376493348498,0.015767969154629684,0.019925584259108616,0.015304626017693432,0.3765321977326351,0.9393815064954796
contrastive_hmm,BTCUSDT,hmm,17377,1,4,0.010588709213327963,0.48207400586982796,0.6651106763456311,453,26.070441988950275,0.9739295580110497,0.09549119117482688,38.27533039647577,29.0,72.69999999999999,0.9747983991337459,0.04260694068794606,0.016055705818035334,0.009482008246572561,0.0013132190512328004,0.39598319617885713,0.8741957455308078
contrastive_hmm,ETHUSDT,hmm,17377,1,4,0.0513897680842493,0.45433619151752314,0.759746441309499,369,21.236187845303867,0.9787638121546961,0.0836276459360231,46.964864864864865,42.0,89.10000000000002,0.9758341679678668,0.04074058917902391,0.015480232491224032,0.02128781809263702,0.00638341919415132,0.41359267997928295,0.934177027546777
hmm,ALL,hmm,34754,2,4,0.145163146688151,0.3755538930770559,0.9588841340850156,4978,143.24355432780848,0.8567564456721916,0.31047660857412246,6.978714859437751,4.0,16.0,0.946411587554836,0.09590911540339363,0.032658111296541406,1.0,1.0,1.0,0.0
hmm,BTCUSDT,hmm,17377,1,4,0.06410772860677907,0.39598319617885713,0.8815283676154627,2160,124.30939226519337,0.8756906077348067,0.27997125789136995,8.04118463674225,4.0,18.0,0.9525345290589576,0.08537249000329233,0.029291592334695287,1.0,1.0,1.0,0.0
hmm,ETHUSDT,hmm,17377,1,4,0.14001266041318985,0.39511998618864014,0.9524009688544525,2818,162.17771639042357,0.8378222836095764,0.337679516068552,6.164242639233771,3.0,14.0,0.9402886460507145,0.10644574080349492,0.03602463025838752,1.0,1.0,1.0,0.0
kmeans,ALL,hmm,34754,2,4,0.07020774587097887,0.43997813201358116,0.8655062089852051,8570,246.60451197053408,0.7533954880294659,0.5362761736276443,4.0543630424638355,2.0,10.0,1.0,0.0,0.0,0.1820245889866579,0.13932578879955024,0.4586810151349485,0.8017951166369692
kmeans,BTCUSDT,hmm,17377,1,4,0.03965011221729873,0.5170627841399551,0.7682791534319501,3778,217.42633517495398,0.7825736648250461,0.47383334033468394,4.598306430272559,2.0,12.0,1.0,0.0,0.0,0.15241302281479585,0.130004366211075,0.4671692467054152,0.7613169731855365
kmeans,ETHUSDT,hmm,17377,1,4,0.10076537952465903,0.3628934798872072,0.9297828382561591,4792,275.7826887661142,0.7242173112338858,0.5899456734483302,3.6254955142916754,2.0,9.0,1.0,0.0,0.0,0.1865541489296641,0.13851520547474522,0.5195948667779249,0.7885950062243656
vol_bucket,ALL,hmm,34754,2,4,0.24897853484490995,0.25067618115900325,0.9999974319221355,3326,95.70672191528546,0.9042932780847146,0.2693807146707162,10.442908653846153,6.0,22.300000000000182,1.0,0.0,0.0,0.3328720193311734,0.2536246247006942,0.5986361282154572,0.7113032284530492
vol_bucket,BTCUSDT,hmm,17377,1,4,0.24883466651320713,0.25067618115900325,0.9999972038021826,1575,90.64226519337016,0.9093577348066298,0.2577484763662867,11.026015228426395,6.0,23.5,1.0,0.0,0.0,0.4139803836122183,0.32360366528492446,0.6900500661794325,0.5906058708216766
vol_bucket,ETHUSDT,hmm,17377,1,4,0.24912240317661277,0.25079127582436556,0.9999968238273081,1751,100.77117863720073,0.8992288213627992,0.2803683924625484,9.91837899543379,5.0,21.0,1.0,0.0,0.0,0.4219868317867368,0.325644148733101,0.6527018472693791,0.6819819259420296
