method,regime_method,target,horizon,n_folds,mean_fold_IC,median_fold_IC,std_fold_IC,positive_ic_folds,mean_fold_Sharpe,median_fold_Sharpe,positive_sharpe_folds,mean_fold_total_return,median_fold_total_return,IC_bootstrap_mean,IC_ci_low,IC_ci_high,Sharpe_bootstrap_mean,Sharpe_ci_low,Sharpe_ci_high,total_return_bootstrap_mean,total_return_ci_low,total_return_ci_high,full_sample_IC,full_sample_Sharpe,full_sample_drawdown,full_sample_total_return,full_sample_n_test_rows
regime_lgbm_hmm,hmm,tb_label_8h,8h,16,-0.019603087178083435,-0.022375951666002935,0.042135865933838786,7,-1.1629589790927577,-1.2688713975208719,8,-0.003254478621999471,-0.004943628223071206,-0.019603087178083435,-0.039747905305364706,0.00022236882429613357,-1.1629589790927577,-2.9406091500373703,0.543546057074051,-0.003254478621999471,-0.01244959818163484,0.006570582218209922,-0.0114209545795641,-0.5863204755053717,-0.0954112587503455,-0.0535795618367077,230400
global_lgbm,none,tb_label_8h,8h,16,-0.01990792612872328,-0.025595506341081042,0.047297065688749265,7,-0.4645318983526456,-0.38789206359836775,7,-0.0013730194405377621,-0.0016575302912181233,-0.01990792612872328,-0.04168255176949191,0.0019518057556085933,-0.4645318983526456,-1.881770481298111,1.0344150149484765,-0.0013730194405377621,-0.007308057034834465,0.00458844476381354,-0.0118205087205734,-0.260531534262095,-0.0511489844858182,-0.0229059779928344,230400
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,16,-0.021542194914039962,-0.01430575679395187,0.03989751948547703,8,-1.0299759361166891,-0.6637352356831069,5,-0.0022669097705363267,-0.0036542407899284868,-0.021542194914039962,-0.04061710626788533,-0.0029816894545776885,-1.0299759361166891,-2.860936899119424,0.654624730669717,-0.0022669097705363267,-0.010925046059875087,0.006742933314634381,-0.0172338952673966,-0.4042813893132534,-0.0724570530260796,-0.0381865738784299,230400
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,16,-0.02312589146727765,-0.02188014974423002,0.041299000001100275,7,-0.8981632881025319,-0.2955855200940349,7,-0.002742703134946685,-0.0008423632087412591,-0.02312589146727765,-0.0431909391389249,-0.0033487209116863552,-0.8981632881025319,-2.0974329634608297,0.1945210804302816,-0.002742703134946685,-0.007602523717425378,0.0023537583686591606,-0.0135465679728262,-0.523112136706594,-0.0636019516182126,-0.0438015643348551,230400
