method,regime_method,regime,feature,feature_family,mean_gain_share,std_gain_share,mean_split_share,mean_shap_share,folds_seen,mean_train_rows,rank_within_model_regime
regime_lgbm_hmm,hmm,0,amihud,liquidity_volume,0.024944588510767557,0.007840584351784221,0.03050787428463632,0.03735352979729951,18,6175.944444444444,13
regime_lgbm_hmm,hmm,0,atr_14,volatility,0.08863487867781869,0.017538805791048766,0.0782444441364532,0.07200725056612936,18,6175.944444444444,3
regime_lgbm_hmm,hmm,0,bband_pct_b,technical_state,0.026252018768594523,0.005327321433099329,0.029597110893487648,0.026081225469485294,18,6175.944444444444,18
regime_lgbm_hmm,hmm,0,close_vs_vwap,momentum,0.02921551513332307,0.005627810246114552,0.032712050728160226,0.030943074983576815,18,6175.944444444444,15
regime_lgbm_hmm,hmm,0,gk_vol,volatility,0.035718976340394726,0.009641081726965891,0.03200019598040488,0.04889245453694516,18,6175.944444444444,7
regime_lgbm_hmm,hmm,0,kurtosis,distribution_shape,0.0676925582621886,0.00525457287065659,0.061056054230643454,0.06852235850857648,18,6175.944444444444,4
regime_lgbm_hmm,hmm,0,log_vol_trend,liquidity_volume,0.02354203031291073,0.005215408991175511,0.03448667316872181,0.027919533447723563,18,6175.944444444444,17
regime_lgbm_hmm,hmm,0,macd_signal,momentum,0.049573232679151064,0.010767131985511687,0.04971605366196549,0.04164568737778527,18,6175.944444444444,9
regime_lgbm_hmm,hmm,0,ofi_proxy,microstructure,0.01321400063189044,0.0037240615282950816,0.02239381769974624,0.018747393411510396,18,6175.944444444444,21
regime_lgbm_hmm,hmm,0,ret_15h,momentum,0.029699522728136085,0.005445634266025505,0.03319479266722795,0.026080036284084968,18,6175.944444444444,19
regime_lgbm_hmm,hmm,0,ret_1h,momentum,0.011093007677238677,0.004094268712001163,0.017134802752499,0.011350462103104676,18,6175.944444444444,22
regime_lgbm_hmm,hmm,0,ret_5h,momentum,0.02457483195756622,0.0076791554083563505,0.03179220770486318,0.023674667325276063,18,6175.944444444444,20
regime_lgbm_hmm,hmm,0,ret_60h,momentum,0.06857011232292047,0.009040669260859105,0.06334193070431095,0.053615759170086964,18,6175.944444444444,6
regime_lgbm_hmm,hmm,0,ret_autocorr,momentum,0.06361882364568144,0.008945405568507004,0.06614496803181576,0.05603215977099211,18,6175.944444444444,5
regime_lgbm_hmm,hmm,0,ret_dispersion,momentum,0.04354239890712267,0.006921421460848915,0.04900306886495365,0.03925303182516658,18,6175.944444444444,11
regime_lgbm_hmm,hmm,0,rsi_14,technical_state,0.03188881644131362,0.007662853747628332,0.03601086645250934,0.02817510995191415,18,6175.944444444444,16
regime_lgbm_hmm,hmm,0,skewness,distribution_shape,0.0631000683211569,0.005633680531915735,0.06495962878496858,0.04728736079936842,18,6175.944444444444,8
regime_lgbm_hmm,hmm,0,spread_proxy,microstructure,0.025736117705578,0.004789296703799044,0.02787908676516961,0.03390424621514866,18,6175.944444444444,14
regime_lgbm_hmm,hmm,0,vol_20h,volatility,0.11285019650590833,0.021693584988713984,0.08135016556117541,0.13758234304844202,18,6175.944444444444,1
regime_lgbm_hmm,hmm,0,vol_5h,volatility,0.038309549732136065,0.0054260852004118934,0.04619302552348324,0.03819734952996345,18,6175.944444444444,12
regime_lgbm_hmm,hmm,0,vol_of_vol,volatility,0.09245324777929705,0.016992430936618143,0.07731440321802573,0.09333362204037723,18,6175.944444444444,2
regime_lgbm_hmm,hmm,0,volume_zscore,liquidity_volume,0.03577550695890508,0.006749032277996533,0.03496677818477835,0.03940134383704288,18,6175.944444444444,10
