comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,Sharpe,reference_better,-0.6707796659352723,-0.2055473056573765,small,0.42384658317360924,0.8963450048998379,1.0,0.731570814792805,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,Sharpe,method_better,0.5600593248023332,0.1707407780748054,tiny,0.5050425418883808,0.8963450048998379,1.0,0.7760409789992193,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,Sharpe,method_better,0.4838702945649425,0.14019397143502582,tiny,0.5832305953255916,0.8963450048998379,1.0,0.8256972473148826,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_kmeans,Sharpe,reference_better,-0.436654598375321,-0.12548611732239556,tiny,0.6229939555540536,0.8963450048998379,1.0,0.848295448927705,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_kmeans,Sharpe,reference_better,-0.4381807321880244,-0.12434855597824553,tiny,0.6261228313514013,0.8963450048998379,1.0,0.848295448927705,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,Sharpe,reference_better,-0.3519249192073518,-0.11396222220605197,tiny,0.6550284552775922,0.8963450048998379,1.0,0.8601302234907069,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,Sharpe,reference_better,-0.3390922368329977,-0.10156960015050662,tiny,0.6902751872759345,0.8963450048998379,1.0,0.8601302234907069,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,Sharpe,reference_better,-0.26290320659560706,-0.09918128978434843,tiny,0.6971572260332073,0.8963450048998379,1.0,0.8601302234907069,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,Sharpe,reference_better,-0.11072034113293919,-0.0365120922883997,tiny,0.8858278429763343,0.9327302893388423,1.0,0.9464666245558527,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_hmm,Sharpe,method_better,0.12340472642701228,0.036336271450292876,tiny,0.8863735055364335,0.9327302893388423,1.0,0.9464666245558527,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,Sharpe,method_better,0.12187859261430861,0.0280074913246399,tiny,0.9122850848303875,0.9327302893388423,1.0,0.9519787028177684,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,Sharpe,reference_better,-0.07618903023739071,-0.021459565133665474,tiny,0.9327302893388422,0.9327302893388423,1.0,0.9519787028177684,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,nll_loss,reference_better,0.0010385200878499773,,row_loss,0.19517320341264688,0.21956985383922772,0.5855196102379406,0.5117956969129462,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_gmm vs regime_lgbm_kmeans,nll_loss,reference_better,0.000462040849661462,,row_loss,0.5457073635126598,0.5778077966604633,1.0,0.8089787432503631,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_contrastive vs regime_lgbm_hmm,nll_loss,method_better,-0.00026092525864678174,,row_loss,0.7228485783529252,0.7228485783529252,1.0,0.8674182940235102,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,nll_loss,reference_better,0.002424206738925914,,row_loss,0.0006642321271858841,0.0011956178289345913,0.005978089144672957,0.004184662401271069,0.07107283760888959,survives_bh_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,nll_loss,reference_better,0.0018477275007373983,,row_loss,0.00899577916407407,0.014720365904848477,0.07196623331259255,0.04722784061138887,0.9265652538996292,survives_bh_all_tests,dm_newey_west,,230400.0
regime_lgbm_kmeans vs regime_lgbm_hmm,nll_loss,reference_better,0.0013856866510759368,,row_loss,0.011023222142687616,0.015854712104236682,0.07716255499881332,0.053420230383793836,1.0,survives_bh_metric_family,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,nll_loss,reference_better,0.0018438660069086477,,row_loss,0.011450625408615382,0.015854712104236682,0.07716255499881332,0.05343625190687178,1.0,survives_bh_metric_family,dm_newey_west,,230400.0
regime_lgbm_contrastive_hmm vs regime_lgbm_kmeans,nll_loss,reference_better,0.0020516981776960326,,row_loss,0.015809935537086733,0.02032705997625437,0.07904967768543367,0.06869144405768718,1.0,survives_bh_metric_family,dm_newey_west,,230400.0
regime_lgbm_contrastive vs regime_lgbm_kmeans,nll_loss,method_better,-0.001646611909722718,,row_loss,0.02515230898760734,0.03018277078512881,0.10060923595042937,0.10223196556253307,1.0,survives_bh_metric_family,dm_newey_west,,230400.0
regime_lgbm_kmeans vs global_lgbm,nll_loss,reference_better,0.005925207175358128,,row_loss,1.5784180536130623e-31,2.841152496503512e-30,2.841152496503512e-30,1.9888067475524585e-29,1.9888067475524585e-29,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_contrastive_hmm vs global_lgbm,nll_loss,reference_better,0.00797690535305416,,row_loss,8.763691526853741e-27,5.959709052966734e-26,1.489827559565136e-25,4.1717963370767135e-25,1.0954614408567176e-24,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs global_lgbm,nll_loss,reference_better,0.007769073182266776,,row_loss,9.932848421611224e-27,5.959709052966734e-26,1.5892557474577958e-25,4.1717963370767135e-25,1.2316732042797917e-24,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_hmm vs global_lgbm,nll_loss,reference_better,0.006963727263208107,,row_loss,5.991774899266548e-20,2.696298704669947e-19,8.987662348899823e-19,1.8874090932689626e-18,7.369883126097854e-18,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_gmm vs global_lgbm,nll_loss,reference_better,0.006387248025019591,,row_loss,1.5216870388040839e-18,5.478073339694702e-18,2.1303618543257174e-17,3.834651337786291e-17,1.8564581873409822e-16,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_hmm vs global_lgbm,nll_loss,reference_better,0.0045395205242821915,,row_loss,4.474607626308856e-17,1.3423822878926569e-16,5.816989914201513e-16,9.396676015248598e-16,5.414275227833716e-15,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_contrastive vs global_lgbm,nll_loss,reference_better,0.004278595265635411,,row_loss,6.251093186273793e-13,1.6074239621846896e-12,7.501311823528553e-12,1.1251967735292829e-11,7.501311823528551e-11,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs regime_lgbm_hmm,nll_loss,reference_better,0.003229552657984584,,row_loss,7.799223403797086e-07,1.7548252658543445e-06,8.579145744176795e-06,7.019301063417377e-06,8.813122446290708e-05,survives_holm_all_tests,dm_newey_west,,230400.0
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,nll_loss,reference_better,0.003437384828771969,,row_loss,8.479542393124965e-05,0.0001695908478624993,0.0008479542393124964,0.0006677639634585909,0.009412292056368711,survives_holm_all_tests,dm_newey_west,,230400.0
