method,loss,augmentation,assignment_method,epochs,batch_size,min_positive_gap,hard_negative_gap,hard_negative_weight,n_rows,n_symbols,n_regimes,silhouette,avg_regime_duration,transition_diagonal_probability,mean_confidence,final_loss,final_valid_anchor_pct,hmm_reference_nmi,hmm_reference_ari,hmm_reference_purity
hmm_guided_gmm,hmm_guided_contrastive,time_only,gmm,1,128,24,24,2.0,34754,2,4,0.34079205989837646,15.170008718395815,0.9341341456405541,0.9703478525392489,0.9283888735894348,1.0,0.3872073557686227,0.3009925391889642,0.6518674109455027
hmm_guided_hmm,hmm_guided_contrastive,time_only,hmm,1,128,24,24,2.0,34754,2,4,0.35329145193099976,18.550106609808104,0.9461463302488649,0.9888279853616709,0.9283888735894348,1.0,0.388732080383116,0.2949911675673756,0.6196696783104103
