final_candidate,reference_method,candidate_mean_asset_IC,reference_mean_asset_IC,delta_mean_asset_IC,candidate_Sharpe,reference_Sharpe,delta_Sharpe,candidate_total_return,reference_total_return,candidate_drawdown,reference_drawdown,candidate_n_test_rows,reference_n_test_rows,ic_improved,sharpe_non_worse,coverage_equal
regime_lgbm_hmm_guided_hmm,global_lgbm,0.000726353109808,-0.0041736410085427,0.0048999941183507,-0.3691307584985582,-1.2810023904661028,0.9118716319675446,-0.0659285284969728,-0.1637556874886767,-0.1144062533092021,-0.1673799326090027,129600,129600,True,True,True
regime_lgbm_hmm_guided_hmm,regime_lgbm_hmm,0.000726353109808,-0.0023778139031368,0.0031041670129448003,-0.3691307584985582,-0.9538471952600808,0.5847164367615225,-0.0659285284969728,-0.1600344120738949,-0.1144062533092021,-0.1798806964949003,129600,129600,True,True,True
