method,regime_method,target,horizon,symbol,IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
global_lgbm,none,tb_label_8h,8h,ADAUSDT,0.03118708239539643,0.011249828615828322,0.5749131944444444,0.34165394953319167,0.2857038966159488,-0.5178095040465689,0.018055555555555554,0.4487138273992106,416,11520
global_lgbm,none,tb_label_8h,8h,APTUSDT,-0.007015927440053621,-0.00778381086589618,0.5599826388888889,0.33904300684451355,-0.41905862858060383,-0.7470868034320389,0.015711805555555555,-0.590679341245833,360,11520
global_lgbm,none,tb_label_8h,8h,AVAXUSDT,-0.00766143139961386,-0.007121479136988241,0.5661458333333333,0.34284777138427575,-0.3685872157532496,-0.7018578313809343,0.020746527777777777,-0.5976849881413251,477,11520
global_lgbm,none,tb_label_8h,8h,BCHUSDT,0.011027667404511988,0.021732476513182625,0.5798611111111112,0.34142470205611475,0.5324700837773668,-0.36090834085597145,0.015538194444444445,0.9135583408885113,355,11520
global_lgbm,none,tb_label_8h,8h,BNBUSDT,-0.005192981103250896,0.00621915616956782,0.5591145833333333,0.35549040415886646,-0.11276602851842937,-0.7080878373850372,0.03515625,-0.19827364175619777,803,11520
global_lgbm,none,tb_label_8h,8h,BTCUSDT,0.030854525733574473,0.028901322394505928,0.5840277777777778,0.3593143086801065,0.4820148594197536,-0.4457560211730995,0.030512152777777777,0.5691699447814269,690,11520
global_lgbm,none,tb_label_8h,8h,DOGEUSDT,0.041961753619860535,0.01695221808590641,0.5669270833333333,0.34254147184615286,0.2768969121287351,-0.4328956349280399,0.01875,0.42473426405312487,430,11520
global_lgbm,none,tb_label_8h,8h,DOTUSDT,-0.014416247770826436,0.0027487850243521393,0.5775173611111111,0.3430115887266223,-0.1788363293774086,-0.7165337700715493,0.01918402777777778,-0.37648455976723083,441,11520
global_lgbm,none,tb_label_8h,8h,ETCUSDT,-0.009346394957867142,0.003812871890338032,0.5629340277777778,0.3412139386146537,-0.12833194875404233,-0.6701615803233912,0.026128472222222223,-0.26962632611009063,600,11520
global_lgbm,none,tb_label_8h,8h,ETHUSDT,0.10648978947168668,0.02844646691716995,0.5839409722222222,0.34867607578237186,0.523379864371761,-0.4509305970077484,0.017881944444444443,0.7123995303150412,411,11520
global_lgbm,none,tb_label_8h,8h,ICPUSDT,0.05582754297370664,0.007388780256730027,0.5676215277777777,0.34253052226968,0.07034683438947234,-0.707915896874572,0.016666666666666666,-0.014491611073750077,382,11520
global_lgbm,none,tb_label_8h,8h,LINKUSDT,0.004788086765367725,-0.004570705776564521,0.5732638888888889,0.3395497743768443,-0.27818030458080634,-0.7895187077784186,0.021788194444444443,-0.45628968815938153,499,11520
global_lgbm,none,tb_label_8h,8h,LTCUSDT,0.006347375518435394,0.001329580403436345,0.5769097222222223,0.3415151818588678,-0.15555650027259751,-0.56870797065159,0.019574652777777778,-0.2682537192169826,449,11520
global_lgbm,none,tb_label_8h,8h,NEARUSDT,0.008064039474562357,0.0032201445123422267,0.5589409722222223,0.3412977323945183,-0.07937393111167981,-0.7403903772881215,0.01423611111111111,-0.2505865482691544,328,11520
global_lgbm,none,tb_label_8h,8h,SHIBUSDT,0.027452565041703764,0.020853269035713766,0.5753472222222222,0.34419938505398934,0.39958844220599893,-0.4179989359162644,0.01840277777777778,0.6831454686793201,424,11520
global_lgbm,none,tb_label_8h,8h,SOLUSDT,0.0010254583852938026,-0.003459768809645612,0.5657986111111111,0.34321281164554596,-0.2713345814169373,-0.6868399618861426,0.021267361111111112,-0.405008766503134,486,11520
global_lgbm,none,tb_label_8h,8h,TONUSDT,0.025571743343114177,0.006405533259479346,0.5692708333333333,0.3510352461886041,0.17016834975087697,-0.5921497905315556,0.030208333333333334,0.16114118448723302,691,11520
global_lgbm,none,tb_label_8h,8h,TRXUSDT,-0.0028741168017137873,0.0005215371400865016,0.5126736111111111,0.3550679152403992,-0.563994483701021,-0.7156376844827367,0.05651041666666667,-0.5139378004300734,1292,11520
global_lgbm,none,tb_label_8h,8h,UNIUSDT,0.010847053714791605,0.0034707632703968086,0.5738715277777777,0.3410739115599864,0.04784307063879086,-0.6352577170624826,0.018142361111111113,-0.09182397365802064,416,11520
global_lgbm,none,tb_label_8h,8h,XRPUSDT,0.04171520484576738,0.016491738983940917,0.5739583333333333,0.3547933131233332,0.4131511618893148,-0.5757772857504306,0.031336805555555555,0.9287864727828443,720,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,ADAUSDT,0.04926175484344102,0.010199651340765985,0.57421875,0.3452354756160582,0.25685337122681895,-0.686851117839171,0.02769097222222222,0.3993892444138263,631,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,APTUSDT,-0.0008188977791671128,0.00586500053331927,0.5585069444444445,0.342889426060788,-0.08552997417744487,-0.7197008662851847,0.027864583333333335,-0.3591974224774175,628,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,AVAXUSDT,0.0010019299087098174,0.004883776107182589,0.5637152777777777,0.34903220375377697,0.12490690077698284,-0.7415883981786167,0.03697916666666667,0.020308237681347707,830,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,BCHUSDT,0.02087250922838733,0.011722223151936703,0.5790798611111111,0.3484456685070756,0.0989004981497881,-0.6022058164590699,0.03125,0.03479571732030351,695,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,BNBUSDT,0.011820104632572754,0.007379872062203719,0.5566840277777778,0.3630962691297948,-0.14824734087498445,-0.7394159711087962,0.04956597222222222,-0.2787517185923052,1116,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,BTCUSDT,0.03399380963113335,0.008986538047538708,0.57421875,0.3638104842883647,-0.17779506098179207,-0.6963569036951139,0.052647569444444445,-0.2755020955850095,1154,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,DOGEUSDT,0.032524424629918156,0.013918665912104479,0.5657986111111111,0.3481015449709653,0.5215757747178023,-0.4928791607917571,0.03333333333333333,1.5718709144802245,754,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,DOTUSDT,-0.00971691439438015,0.0076310127776600565,0.5774305555555556,0.3496009083504508,-0.0099647992552508,-0.7237668616152506,0.03125,-0.23894095671185367,708,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,ETCUSDT,0.010164496819379164,0.010202684360306934,0.5640625,0.3508696203278146,0.22387018328695,-0.6240065393107204,0.04131944444444444,0.2943368344456663,927,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,ETHUSDT,0.11188575531515464,0.04937527290191011,0.5836805555555555,0.3566018102217765,0.8986092942117772,-0.3612706088497173,0.03211805555555555,2.9075696247444482,724,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,ICPUSDT,0.029857528231273696,0.00393203626803527,0.5651041666666666,0.34596254192411435,-0.007377529759608542,-0.8086971345706419,0.027430555555555555,-0.19720164772470972,619,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,LINKUSDT,0.010549182989326911,0.009437505297883083,0.5734375,0.3506960291678307,0.1833428400974905,-0.6618014845076908,0.03888888888888889,0.18523522008878635,877,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,LTCUSDT,0.006088753440669756,0.001328410042105942,0.5747395833333333,0.345382831682137,-0.14310454206508352,-0.7161031178434903,0.033463541666666666,-0.3715115782973325,758,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,NEARUSDT,0.0242016702784624,-0.0013729066944145089,0.5569444444444445,0.3439928496985982,-0.3023781409773438,-0.7848996130031249,0.025434027777777778,-0.6032674598202323,578,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,SHIBUSDT,0.03386426213599724,0.02153834301588683,0.5705729166666667,0.3521928806888392,0.672801066972178,-0.5120957708102062,0.04045138888888889,2.409764223096062,910,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,SOLUSDT,-0.015714103703479424,-0.006298591366393343,0.5667534722222223,0.35167243174756274,-0.450891558945665,-0.8403365121449189,0.03810763888888889,-0.6989369674057836,851,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,TONUSDT,0.022298126213979776,-0.002040974050017519,0.5672743055555556,0.3551583092814668,-0.34040967608267014,-0.8171196530139057,0.04401041666666667,-0.6149961611129429,991,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,TRXUSDT,-0.00021782646879890455,0.011929079790309648,0.5089409722222222,0.3661001054806052,-0.344367950435832,-0.747772554328708,0.08090277777777778,-0.44599137860579285,1814,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,UNIUSDT,0.02461545539254809,0.010380964621016803,0.5751736111111111,0.3502668775720126,0.17040112021938328,-0.7617931611615075,0.032769097222222224,0.12574612781872596,734,11520
regime_lgbm_hmm,hmm,tb_label_8h,8h,XRPUSDT,0.0426659867799721,0.01755480998136616,0.5720486111111112,0.3613988374347328,0.27199630387261836,-0.7048755599052724,0.046440972222222224,0.4667834570217091,1049,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,ADAUSDT,0.03328875558094172,0.025359240326631796,0.5744791666666667,0.34620180594317307,0.6862933143555744,-0.48046955485177073,0.02621527777777778,2.5678941393704044,601,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,APTUSDT,0.00883651976870771,-0.01105879371415072,0.5610243055555556,0.3441185893686087,-0.6058484486337661,-0.8837133091202712,0.023350694444444445,-0.7958544851647091,533,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,AVAXUSDT,-0.0066999212781638255,-0.013895144329185276,0.5639756944444444,0.3477703315145056,-0.3925138302799734,-0.7506890764674625,0.03342013888888889,-0.7251423825760308,755,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,BCHUSDT,0.009783191672964164,0.0077101449110572595,0.57578125,0.3448935002379902,0.06113914623968488,-0.6111904539694095,0.03142361111111111,-0.02947875175056236,694,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,BNBUSDT,0.004681260773721204,0.018099072691483656,0.5579861111111111,0.37138940731987996,0.16468355914695657,-0.6837041147011892,0.06371527777777777,0.15379620783889636,1399,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,BTCUSDT,0.01717338938563165,0.008375281304178153,0.5734375,0.37016069280367975,-0.5818517289939619,-0.7206916806258156,0.060633680555555555,-0.6026784260348342,1313,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,DOGEUSDT,0.03808004029975527,0.013026841048542024,0.5659722222222222,0.34645828720088595,0.23185581257860852,-0.622198032151646,0.028993055555555557,0.33071766187468965,657,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,DOTUSDT,-0.010675329396301968,0.0011199278357236328,0.5778645833333333,0.34836836624485756,-0.19464924015507823,-0.6929853862930062,0.02638888888888889,-0.48129912396043806,603,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,ETCUSDT,-0.006446904867566345,0.003386033489465446,0.5597222222222222,0.3450832386858656,-0.2315199551389871,-0.8260273195012059,0.04071180555555556,-0.45334862155663835,909,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,ETHUSDT,0.09678655704817885,0.031693598784603705,0.5829861111111111,0.3555686258530508,0.5242817286164716,-0.3836250658665067,0.031510416666666666,1.0725918933749563,699,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,ICPUSDT,0.03914687579292937,0.016347123588046335,0.5669270833333333,0.34740895380278697,0.4525353941491101,-0.6989004451272942,0.025347222222222222,1.1927746127598113,575,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,LINKUSDT,0.002642063044857892,-0.0024688699709601155,0.5689236111111111,0.34536169598062355,-0.2675657689749594,-0.8428615967497797,0.03732638888888889,-0.5829875290828492,848,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,LTCUSDT,0.014977171246289925,-0.0022496643407176643,0.5756076388888889,0.3467289767716346,-0.1831808642604331,-0.6417859752560744,0.03224826388888889,-0.36394152479168496,725,11520
