fold,encoder_method,outer_train_end,inner_train_end,inner_validation_start,inner_validation_end,outer_test_start,outer_test_end,calendar_train_start,calendar_train_end,calendar_test_start,calendar_test_end,seed,run_kind,window_cap,selected_epoch,max_epochs,train_windows,validation_windows,scaler_training_rows,device,runtime_seconds,input_hash,model_hash,created_utc,python_version,torch_version
7,vanilla,8640,7792,7920,8640,8760,9480,2024-07-05T11:30:00+05:30,2025-06-27T23:30:00+05:30,2025-07-03T00:30:00+05:30,2025-08-01T23:30:00+05:30,42,full,5000,15,30,5000,5000,86400,cpu,1059.3910973999991,e985dd397834c36243207e198f28ce77a751dfefe1181678eb93430d10cc8e19,c33e59d5b1339cfe66c3243db236380c31eb3ae3eb65ec264aa669168ba26cdc,2026-06-30T09:41:44.316255+00:00,3.11.3,2.11.0+cpu
7,guided,8640,7792,7920,8640,8760,9480,2024-07-05T11:30:00+05:30,2025-06-27T23:30:00+05:30,2025-07-03T00:30:00+05:30,2025-08-01T23:30:00+05:30,42,full,5000,5,30,5000,5000,86400,cpu,273.01398360000167,470886f642ef2277ac385f72f6cb61b3fc5d4bfde8b375c02e80d8731d671117,e323992a7f594a00ec4b07cfbf3603274859477034810af0ff3e7d929e61139c,2026-06-30T09:41:44.322017+00:00,3.11.3,2.11.0+cpu
8,vanilla,9360,8512,8640,9360,9480,10200,2024-07-05T11:30:00+05:30,2025-07-27T23:30:00+05:30,2025-08-02T00:30:00+05:30,2025-08-31T23:30:00+05:30,42,full,5000,15,30,5000,5000,93600,cpu,1475.9169408999987,30308b9cf3b71a9575effce3ccb52542b51d29ffa0c7f88407f3cbde0c1e10af,5e311aac1c6453e78fe262ff69a17cfa67158d14c94c8ae8310e8699b375bf1d,2026-06-30T10:24:57.737248+00:00,3.11.3,2.11.0+cpu
8,guided,9360,8512,8640,9360,9480,10200,2024-07-05T11:30:00+05:30,2025-07-27T23:30:00+05:30,2025-08-02T00:30:00+05:30,2025-08-31T23:30:00+05:30,42,full,5000,3,30,5000,5000,93600,cpu,203.13229599999977,04db5df8aeca045b9f86cc21f455636c62a6b9332713a1e1003765ba62c06623,1a0a5d9363d21cb4710f64545f6a861fb0f30968462eb8e4c89c5fb9bf51d706,2026-06-30T10:24:57.753541+00:00,3.11.3,2.11.0+cpu
9,vanilla,10080,9232,9360,10080,10200,10920,2024-07-05T11:30:00+05:30,2025-08-26T23:30:00+05:30,2025-09-01T00:30:00+05:30,2025-09-30T23:30:00+05:30,42,full,5000,19,30,5000,5000,100800,cpu,1965.8131003999988,77340df4ac76dcbe4661469372999b0cfe75ada4d3ff468c3cd9399f298aa156,9bca893ee27aa7e8628f9370d166c09ec1cd82468995fe4738e73c24e1f885bb,2026-06-30T11:10:56.024380+00:00,3.11.3,2.11.0+cpu
9,guided,10080,9232,9360,10080,10200,10920,2024-07-05T11:30:00+05:30,2025-08-26T23:30:00+05:30,2025-09-01T00:30:00+05:30,2025-09-30T23:30:00+05:30,42,full,5000,3,30,5000,5000,100800,cpu,424.04297360000055,b49fd51610df8a08fa08b2cc369b8b4b71a9022b8bcb5b34ca076cc42048cb80,c048e1fc6be754cd11496752300000e86bc00758f2eded46d3b51de7a77c6336,2026-06-30T11:10:56.039517+00:00,3.11.3,2.11.0+cpu
10,vanilla,10800,9952,10080,10800,10920,11640,2024-07-05T11:30:00+05:30,2025-09-25T23:30:00+05:30,2025-10-01T00:30:00+05:30,2025-10-30T23:30:00+05:30,42,full,5000,13,30,5000,5000,108000,cpu,923.3963968000024,97f1c2c1dd275d4f5efda323606032ce3c99b2429211816b9194f280acb8051f,2556c56926b349ec83e7ef5a0706827b64e2ee3910f5a2ad30bdd2a7abc5e3e7,2026-06-30T11:33:22.395454+00:00,3.11.3,2.11.0+cpu
10,guided,10800,9952,10080,10800,10920,11640,2024-07-05T11:30:00+05:30,2025-09-25T23:30:00+05:30,2025-10-01T00:30:00+05:30,2025-10-30T23:30:00+05:30,42,full,5000,1,30,5000,5000,108000,cpu,153.04522599999837,bf0a850ff33982e5d1feb99c2c66a439cd3f67876238ceb6991bc494c42d6862,14f08025f69079423085905b9b1a808294a9439cda4ef41d84aaecfb5cba2048,2026-06-30T11:33:22.404696+00:00,3.11.3,2.11.0+cpu
11,vanilla,11520,10672,10800,11520,11640,12360,2024-07-05T11:30:00+05:30,2025-10-25T23:30:00+05:30,2025-10-31T00:30:00+05:30,2025-11-29T23:30:00+05:30,42,full,5000,11,30,5000,5000,115200,cpu,838.304482399999,65dc5bbe7021d616b1d8be6fe34e12479910e9ef49009e25209ecf87d74270b1,bdc3492b305d2090fdb9b12650e4eee9ca76d4cca563ea41f3f6650f9986e62a,2026-06-30T11:54:15.894476+00:00,3.11.3,2.11.0+cpu
11,guided,11520,10672,10800,11520,11640,12360,2024-07-05T11:30:00+05:30,2025-10-25T23:30:00+05:30,2025-10-31T00:30:00+05:30,2025-11-29T23:30:00+05:30,42,full,5000,3,30,5000,5000,115200,cpu,214.9839205999997,69e0da0aca7519c9d46a8e9637c5e527cbf0ac1471bc1789d2754ce8a8b2a378,20e9b0bfa382f608dcffd5eef251bd5ea43021ed8ef90c2d8e07454652cf8534,2026-06-30T11:54:15.903749+00:00,3.11.3,2.11.0+cpu
