guided_method,guided_regime_method,reference_method,reference_regime_method,target,horizon,symbol_scope,IC_guided,IC_reference,delta_IC,Sharpe_guided,Sharpe_reference,delta_Sharpe,drawdown_guided,drawdown_reference,delta_drawdown,total_return_guided,total_return_reference,delta_total_return,turnover_guided,turnover_reference,delta_turnover,n_test_rows_guided,n_test_rows_reference,delta_n_test_rows,beats_reference_on_IC,beats_reference_on_Sharpe,beats_reference_on_drawdown,equal_test_coverage
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,global_lgbm,none,tb_label_8h,8h,BTCUSDT+ETHUSDT,-0.009163474213762162,0.002370356245843731,-0.011533830459605893,-0.9763733673068326,-0.5056219225895547,-0.4707514447172778,-0.9002993859947188,-0.6883972816511268,-0.21190210434359202,-0.8541252618056142,-0.5573395028767264,-0.2967857589288878,0.0787229938271605,0.05030864197530864,0.028414351851851857,25920,25920,0,False,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_hmm,hmm,tb_label_8h,8h,BTCUSDT+ETHUSDT,-0.009163474213762162,0.005113126020315826,-0.014276600234077988,-0.9763733673068326,-0.3404628502108155,-0.6359105170960171,-0.9002993859947188,-0.709592437948333,-0.19070694804638577,-0.8541252618056142,-0.5363810345641582,-0.317744227241456,0.0787229938271605,0.07889660493827161,-0.0001736111111111105,25920,25920,0,False,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_contrastive,contrastive,tb_label_8h,8h,BTCUSDT+ETHUSDT,-0.009163474213762162,-0.01100197192141564,0.0018384977076534772,-0.9763733673068326,-0.8335982148791298,-0.14277515242770278,-0.9002993859947188,-0.9259807359213929,0.025681349926674035,-0.8541252618056142,-0.8229074340958306,-0.031217827709783652,0.0787229938271605,0.07372685185185185,0.004996141975308649,25920,25920,0,True,False,True,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,BTCUSDT+ETHUSDT,-0.009163474213762162,-0.0026100348883464257,-0.006553439325415736,-0.9763733673068326,-0.5476144504540091,-0.4287589168528234,-0.9002993859947188,-0.7780515380365126,-0.1222478479582062,-0.8541252618056142,-0.6848021686090797,-0.1693230931965345,0.0787229938271605,0.07650462962962963,0.002218364197530867,25920,25920,0,False,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_kmeans,kmeans,tb_label_8h,8h,BTCUSDT+ETHUSDT,-0.009163474213762162,0.007158703018405389,-0.01632217723216755,-0.9763733673068326,-0.7282207507218766,-0.2481526165849559,-0.9002993859947188,-0.8596904484258454,-0.040608937568873404,-0.8541252618056142,-0.797409202887266,-0.05671605891834819,0.0787229938271605,0.08082561728395062,-0.0021026234567901175,25920,25920,0,False,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,BTCUSDT+ETHUSDT,-0.009163474213762162,-0.0019842160448649117,-0.00717925816889725,-0.9763733673068326,-0.8202732207638613,-0.15610014654297122,-0.9002993859947188,-0.85403751215474,-0.04626187383997882,-0.8541252618056142,-0.8204036902129452,-0.033721571592668975,0.0787229938271605,0.08290895061728396,-0.004185956790123457,25920,25920,0,False,False,False,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,global_lgbm,none,tb_label_8h,8h,BTCUSDT+ETHUSDT,0.009447332822613695,0.002370356245843731,0.007076976576769964,0.09894981575530594,-0.5056219225895547,0.6045717383448607,-0.6141311494707745,-0.6883972816511268,0.07426613218035227,0.03055498456104333,-0.5573395028767264,0.5878944874377697,0.08445216049382716,0.05030864197530864,0.03414351851851852,25920,25920,0,True,True,True,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_hmm,hmm,tb_label_8h,8h,BTCUSDT+ETHUSDT,0.009447332822613695,0.005113126020315826,0.004334206802297869,0.09894981575530594,-0.3404628502108155,0.43941266596612144,-0.6141311494707745,-0.709592437948333,0.09546128847755853,0.03055498456104333,-0.5363810345641582,0.5669360191252015,0.08445216049382716,0.07889660493827161,0.00555555555555555,25920,25920,0,True,True,True,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_contrastive,contrastive,tb_label_8h,8h,BTCUSDT+ETHUSDT,0.009447332822613695,-0.01100197192141564,0.020449304744029333,0.09894981575530594,-0.8335982148791298,0.9325480306344357,-0.6141311494707745,-0.9259807359213929,0.31184958645061833,0.03055498456104333,-0.8229074340958306,0.8534624186568739,0.08445216049382716,0.07372685185185185,0.010725308641975309,25920,25920,0,True,True,True,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,BTCUSDT+ETHUSDT,0.009447332822613695,-0.0026100348883464257,0.01205736771096012,0.09894981575530594,-0.5476144504540091,0.6465642662093151,-0.6141311494707745,-0.7780515380365126,0.1639203885657381,0.03055498456104333,-0.6848021686090797,0.715357153170123,0.08445216049382716,0.07650462962962963,0.007947530864197527,25920,25920,0,True,True,True,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_kmeans,kmeans,tb_label_8h,8h,BTCUSDT+ETHUSDT,0.009447332822613695,0.007158703018405389,0.002288629804208306,0.09894981575530594,-0.7282207507218766,0.8271705664771826,-0.6141311494707745,-0.8596904484258454,0.2455592989550709,0.03055498456104333,-0.797409202887266,0.8279641874483094,0.08445216049382716,0.08082561728395062,0.0036265432098765427,25920,25920,0,True,True,True,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,BTCUSDT+ETHUSDT,0.009447332822613695,-0.0019842160448649117,0.011431548867478606,0.09894981575530594,-0.8202732207638613,0.9192230365191673,-0.6141311494707745,-0.85403751215474,0.23990636268396548,0.03055498456104333,-0.8204036902129452,0.8509586747739886,0.08445216049382716,0.08290895061728396,0.0015432098765432029,25920,25920,0,True,True,True,True
