method,target,horizon,regime_method,symbol_scope,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.0041736410085427165,-0.0041736410085427165,-0.011633150400778433,-0.008228289322397315,-0.01264485108176646,-0.003752526020927863,0.0006431098047928465,10,12960,-1.2810023904661028,-0.16737993260900275,0.04703703703703704,-0.16375568748867675,1479,1620,0,129600,0.5626774691358025,0.35083962702281407
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.00023003830131652602,-0.00023003830131652602,-0.006890786406306125,0.0019184116894406331,0.004232311330168968,0.00036267935963497867,0.014165227926583823,10,12960,0.27257552012972136,-0.09896315641133335,0.07126543209876543,0.03553976951749749,2198,1620,0,129600,0.5607793209876544,0.3585824213124246
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.001242999259374545,-0.001242999259374545,-0.0009629830271132593,0.002420866649186499,0.0034826492957876418,-0.0002577530394598995,0.0028357926918574647,10,12960,-0.7276925238215044,-0.15371717739067603,0.07648148148148148,-0.1088300239253086,2354,1620,0,129600,0.5567824074074074,0.3559561958174786
regime_lgbm_hmm,tb_label_8h,8h,hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.002377813903136833,-0.002377813903136833,-0.005514830788108185,-0.007346918208678853,-0.010933283033028271,-0.0020299021963322067,-0.0006743046368523455,10,12960,-0.9538471952600808,-0.17988069649490032,0.07364197530864197,-0.1600344120738949,2273,1620,0,129600,0.5577469135802469,0.35652804629132046
regime_lgbm_hmm_guided_gmm,tb_label_8h,8h,hmm_guided_gmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007157561816525032,0.007157561816525032,0.012860251987766795,-0.005913785464927815,-0.0070500326934357874,0.0072335928732329205,0.0033249861671770633,10,12960,-1.704126088224096,-0.2942770447664167,0.08453703703703704,-0.2717781649449782,2611,1620,0,129600,0.5561496913580247,0.35886626864791143
regime_lgbm_hmm_guided_hmm,tb_label_8h,8h,hmm_guided_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.0007263531098080634,0.0007263531098080634,-0.004773696942384247,-0.0020395442313674377,-0.005499279231241149,0.0011813927833704164,0.000926436081454398,10,12960,-0.3691307584985582,-0.11440625330920211,0.08595679012345679,-0.06592852849697284,2638,1620,0,129600,0.5562345679012346,0.36100570512183333
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.0020297743592374365,-0.0020297743592374365,-0.00527751529674771,-0.0014269887883119879,-0.0006512626806591327,-0.0014303354813585494,-0.0005976157699469703,10,12960,-0.3003065171164672,-0.13779947925315908,0.07614197530864197,-0.055157408839495936,2351,1620,0,129600,0.5587808641975308,0.3565005120788702
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.0016562166276831096,-0.0016562166276831096,-0.0071022150876952584,-0.005742492050445426,-0.005395700820690681,-0.001352285797819058,0.0005346593227604152,10,12960,-0.641758937085756,-0.18332123835296163,0.08472222222222223,-0.11130811240585425,2614,1620,0,129600,0.5557253086419753,0.3587285554297251
