method,loss,augmentation,assignment_method,epochs,batch_size,input_features,fft_bins,min_positive_gap,hard_negative_gap,hard_negative_weight,n_rows,n_symbols,n_regimes,silhouette,avg_regime_duration,transition_diagonal_probability,mean_confidence,final_loss,final_valid_anchor_pct,hmm_reference_nmi,hmm_reference_ari,hmm_reference_purity
tf_hmm_guided_gmm,hmm_guided_contrastive,time_frequency,gmm,3,128,154,6,24,24,2.0,34754,2,4,0.3255866467952728,6.4696040156162855,0.8454796252658199,0.9668129457049845,0.5644119650235475,1.0,0.5038486733456893,0.37195238535198055,0.6817632502733498
tf_hmm_guided_hmm,hmm_guided_contrastive,time_frequency,hmm,3,128,154,6,24,24,2.0,34754,2,4,0.33788472414016724,8.389585342333655,0.8808552215644577,0.9856721709218482,0.5644119650235475,1.0,0.5277618682451146,0.41620855358592546,0.7037751050238822
