method,symbol,regime,n_rows,pct_rows,avg_vol_20h,avg_forward_return_8h,avg_vol_adj_return_8h,avg_amihud,avg_volume_zscore,avg_ret_autocorr,feature_ic_vs_target
hmm,ADAUSDT,0,2554,0.002433869089481378,0.003859747531799864,-0.0004027984466255706,-0.03456174945990345,1.3121562573097051e-09,-0.05199100528473051,-0.07988408405827714,0.00768936098740811
hmm,ADAUSDT,1,5762,0.005490976387467384,0.010280400613155853,0.00011208110932682246,-0.0006302617695018446,1.2325417771405533e-09,-0.38203347256559955,-0.06550328730182364,-0.013724778255722474
hmm,ADAUSDT,2,2464,0.0023481023635403744,0.01622540290282187,0.0011315469864181431,-0.0054855162361610735,9.900447377875266e-10,0.9685956910332898,-0.05934533476414904,0.011058572747309902
hmm,ADAUSDT,3,6656,0.006342925865148024,0.006221849521536237,-0.00027506701931707744,-0.011431692455747537,1.3692971962066407e-09,0.0331811854553914,-0.08446437872148577,0.00871690041120212
hmm,APTUSDT,0,984,0.000937716203621643,0.004160664138135003,0.002215488052049772,0.21863000690479095,3.680729643961498e-08,-0.04413611009715741,-0.10765079268847927,-0.02991324629459522
hmm,APTUSDT,1,7467,0.007115779362238626,0.010381741845835896,-0.0011647227156048221,-0.04665869121296932,3.696941912886112e-08,-0.36328584203397035,-0.0763556532507932,-0.005752124268263192
hmm,APTUSDT,2,2977,0.002836972701404097,0.015015907924392152,-0.0006430037086104437,-0.03062478749556404,3.583740845815773e-08,0.9352214732101515,-0.05323775296658462,-0.024617642298181287
hmm,APTUSDT,3,6008,0.005725405438372796,0.006330827582289955,-0.0006065555241969496,-0.03249506395556485,4.017584559522801e-08,0.06773139387083156,-0.09271242070988996,0.023726844619728335
hmm,AVAXUSDT,0,1974,0.001881150188972686,0.0038352672571167743,0.00047625103035947103,0.052911012005227305,6.491252657822938e-08,-0.052021187062143426,-0.0767844679719701,0.03505730621064886
hmm,AVAXUSDT,1,6520,0.006213322812614951,0.01028879007309262,-0.0017676899078757126,-0.07059155781503369,7.207532596984874e-08,-0.3555266407686181,-0.059022593129263314,-0.0020839622592956036
hmm,AVAXUSDT,2,2221,0.0021165322034996637,0.014304268066594595,0.0011833638712064486,0.0037819944425494896,6.882165074856417e-08,1.133013666777275,-0.05468842112936921,-0.0010492926912807005
hmm,AVAXUSDT,3,6721,0.0064048685005498604,0.006351023904996983,0.00038713290209442677,0.03003018440951863,7.39024212889831e-08,0.03795941716984424,-0.07560300762576097,0.02046632210940599
hmm,BCHUSDT,0,4488,0.004276900733591396,0.0036920628719660275,-0.00040777312878199305,-0.06764442464482835,4.208624497070999e-06,-0.061064501116712105,-0.10051450955636745,-0.021717761425048228
hmm,BCHUSDT,1,4504,0.004292148151536463,0.010028404395917118,-0.0004996699395018104,-0.018685715168661278,3.2047836061643793e-06,-0.3416279767664379,-0.05743566250574934,-0.010826989639864292
hmm,BCHUSDT,2,1738,0.0016562507742829426,0.014575346577641835,0.002920004251326177,0.06631665149036543,2.527786246663352e-06,1.0201657194275175,-0.06176755568827802,0.009321676761057995
hmm,BCHUSDT,3,6706,0.006390574046226359,0.006115019959987736,-0.0002567949716493177,-0.020457369629156372,3.568336821734226e-06,0.022759938184680632,-0.10046667305669219,0.009563710618958809
hmm,BNBUSDT,0,9612,0.009159886330499219,0.0032705842584605125,0.00026574879221979736,0.03160545005843013,4.5076475285805526e-07,-0.016469158404633553,-0.0778504327311893,0.019760749987807538
hmm,BNBUSDT,1,1688,0.001608602593204607,0.009993407261245379,-0.0023376023388402257,-0.08496159873438655,3.8299618459944697e-07,-0.40427005189503856,-0.057703885931830214,-0.008016562563665206
hmm,BNBUSDT,2,571,0.0005441422279145916,0.012611872316868989,0.0057144901257611055,0.11553839545189007,3.316008531768385e-07,1.469208281186237,-0.012589249213287261,0.03613426691678384
