method,regime_method,target,horizon,fold,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,none,tb_label_8h,8h,1,-0.08114923527204582,-0.08114923527204582,-0.08137938832154681,-0.010654332851734727,-0.01054074581009562,-0.06491600792429537,0.023996822913592158,20,720,2.535374659863031,-0.014022886465247075,0.05277777777777778,0.01730509587398421,185,90,0,14400,0.5836111111111111,0.3531478465957245
global_lgbm,none,tb_label_8h,8h,2,0.030409353552887645,0.030409353552887645,0.03373052955597882,0.008792268749392103,0.016381309914678885,0.02913115359420002,0.000400726632142593,20,720,-3.0549016035807517,-0.008526232037572301,0.022222222222222223,-0.007547276035238415,79,90,0,14400,0.5723611111111111,0.34015493431414856
global_lgbm,none,tb_label_8h,8h,3,0.021019341917424626,0.021019341917424626,0.021407150006265724,-0.061390271519012184,-0.06927471312893355,0.028862292987623467,-0.0200961418875624,20,720,-0.7481727233043867,-0.00938610415384732,0.041666666666666664,-0.002843707173248111,148,90,0,14400,0.5599305555555556,0.34625776271158676
global_lgbm,none,tb_label_8h,8h,4,-0.0799764629714816,-0.0799764629714816,-0.07219599007100258,-0.06905805031967521,-0.0850902657847222,-0.06832204138539259,-0.03683986069792672,20,720,-3.1573382443310742,-0.028635774703932474,0.034722222222222224,-0.02162973092885989,123,90,0,14400,0.5547222222222222,0.3417169114835625
global_lgbm,none,tb_label_8h,8h,5,0.010693052441068523,0.010693052441068523,-0.0004894704419289519,-0.05764571705065023,-0.05394143558379008,0.013443741520559932,0.014689386386874895,20,720,0.30767842005663465,-0.013859283203349792,0.04111111111111111,0.0013974617477723328,147,90,0,14400,0.5791666666666667,0.3599924540934724
global_lgbm,none,tb_label_8h,8h,6,0.01567476807629456,0.01567476807629456,0.008881084697714255,0.015989089181682563,0.009764527620965647,0.0191925828232006,0.020095795731043097,20,720,6.238641778158743,-0.0009033168304084246,0.011111111111111112,0.006391510893466679,39,90,0,14400,0.5605555555555556,0.33818062099559426
global_lgbm,none,tb_label_8h,8h,7,-0.06848900422308173,-0.06848900422308173,-0.08373751683838732,-0.027397162181479768,-0.02752238153987325,-0.06928807109045441,-0.01801625477992916,20,720,-5.731194185765745,-0.019643759331039207,0.04388888888888889,-0.017287663313003354,152,90,0,14400,0.5661805555555556,0.34538144765734874
global_lgbm,none,tb_label_8h,8h,8,0.024829685804710216,0.024829685804710216,0.018478845848261247,-0.004861961743922164,-0.013658261309779346,0.029238056911396533,0.041917068967507604,20,720,1.005950065702898,-0.012174932050052618,0.06138888888888889,0.003186376427894766,214,90,0,14400,0.5638888888888889,0.35683478752918824
global_lgbm,none,tb_label_8h,8h,9,0.059251450089388466,0.059251450089388466,0.05451214369005643,0.05340026087892514,0.06263122147511144,0.07287187352106361,0.03073302283220347,20,720,1.0629820923412672,-0.011162790912449205,0.024166666666666666,0.00785846394408285,87,90,0,14400,0.5751388888888889,0.3420113163795113
global_lgbm,none,tb_label_8h,8h,10,-0.08951102160941489,-0.08951102160941489,-0.07218528237839975,-0.0008791900229197328,-0.011404212454454998,-0.07484412722676992,0.01253207962763701,20,720,-1.3155742223882199,-0.009103239613531622,0.029444444444444443,-0.0029969170356590746,105,90,0,14400,0.5995833333333334,0.34767260624945456
