method,regime_method,target,horizon,symbol,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,none,tb_label_8h,8h,ADAUSDT,-0.012682985163861227,-0.012682985163861227,-0.012682985163861227,,,-0.012682985163861215,0.004531077064539834,1,0,-0.678973675305261,-0.15354903848957294,0.024652777777777777,-0.11558991980809263,71,1440,0,11520,0.5723958333333333,0.3434604700406679
global_lgbm,none,tb_label_8h,8h,APTUSDT,-0.028764943147751458,-0.028764943147751458,-0.028764943147751458,,,-0.02876494314775144,-0.008365326534100092,1,0,-0.22479715961979693,-0.12995333684021165,0.025347222222222222,-0.06492266034980243,72,1440,0,11520,0.5605034722222222,0.3401863345956789
global_lgbm,none,tb_label_8h,8h,AVAXUSDT,-0.03341186923291252,-0.03341186923291252,-0.03341186923291252,,,-0.03341186923291254,0.013923352283799904,1,0,1.0341544015097077,-0.09896003819970955,0.027777777777777776,0.23884951649843367,77,1440,0,11520,0.5708333333333333,0.34700548149993277
global_lgbm,none,tb_label_8h,8h,BCHUSDT,-0.019576915529036794,-0.019576915529036794,-0.019576915529036794,,,-0.019576915529036808,0.024599313215091304,1,0,1.3627071840168534,-0.09665598293217284,0.027083333333333334,0.2751985763163576,77,1440,0,11520,0.5816840277777777,0.3412776099714647
global_lgbm,none,tb_label_8h,8h,BNBUSDT,-0.0063404853559839965,-0.0063404853559839965,-0.0063404853559839965,,,-0.0063404853559840026,0.005749505712147867,1,0,-1.606627053719535,-0.25164777599823107,0.0642361111111111,-0.21078929524816725,181,1440,0,11520,0.5565104166666667,0.35584372543196957
global_lgbm,none,tb_label_8h,8h,BTCUSDT,0.0116369730470575,0.0116369730470575,0.0116369730470575,,,0.0116369730470575,0.02149939463366065,1,0,-0.7256933939218736,-0.19856108586296375,0.06666666666666667,-0.106797807219014,189,1440,0,11520,0.5774305555555556,0.3628751358779812
global_lgbm,none,tb_label_8h,8h,DOGEUSDT,0.01088792508833846,0.01088792508833846,0.01088792508833846,,,0.01088792508833847,0.022649488771033628,1,0,0.43961042471401485,-0.07117797547115724,0.025347222222222222,0.046890125566555474,72,1440,0,11520,0.5688368055555556,0.34507422368860324
global_lgbm,none,tb_label_8h,8h,DOTUSDT,-0.027035969430125057,-0.027035969430125057,-0.027035969430125057,,,-0.02703596943012504,0.005337675652458543,1,0,0.455475923477744,-0.12840417249308214,0.027777777777777776,0.09588976386608872,80,1440,0,11520,0.5728298611111111,0.343655167739418
global_lgbm,none,tb_label_8h,8h,ETCUSDT,-0.031988985677978324,-0.031988985677978324,-0.031988985677978324,,,-0.03198898567797831,0.0022015109846225235,1,0,-1.5218447425014892,-0.19298415111659759,0.03263888888888889,-0.1574176719837288,94,1440,0,11520,0.565625,0.3439401784741361
global_lgbm,none,tb_label_8h,8h,ETHUSDT,-0.013792389059542769,-0.013792389059542769,-0.013792389059542769,,,-0.013792389059542772,0.00046409891340908977,1,0,-2.71687361302968,-0.35112013876789616,0.04097222222222222,-0.35112013876789616,117,1440,0,11520,0.5824652777777778,0.34813801801984107
global_lgbm,none,tb_label_8h,8h,ICPUSDT,0.03537920606909709,0.03537920606909709,0.03537920606909709,,,0.03537920606909712,0.0077336120711791806,1,0,0.3578458266805326,-0.1289369330438399,0.027777777777777776,0.06872976104904072,80,1440,0,11520,0.5634548611111111,0.3433023216141053
global_lgbm,none,tb_label_8h,8h,LINKUSDT,-0.03547076984413149,-0.03547076984413149,-0.03547076984413149,,,-0.03547076984413147,0.00017464548259115027,1,0,0.1949752248425142,-0.1294937560452986,0.04097222222222222,0.02392036474283077,115,1440,0,11520,0.5748263888888889,0.3478378128257087
global_lgbm,none,tb_label_8h,8h,LTCUSDT,-0.02738580820746773,-0.02738580820746773,-0.02738580820746773,,,-0.027385808207467728,0.001818905486959144,1,0,-1.2702256401692074,-0.1486519992601305,0.034722222222222224,-0.1316219577178157,100,1440,0,11520,0.5783854166666667,0.34650406121154465
global_lgbm,none,tb_label_8h,8h,NEARUSDT,-0.0022127808347208013,-0.0022127808347208013,-0.0022127808347208013,,,-0.0022127808347208134,-0.009557908675129569,1,0,-0.41621369102528877,-0.15814288695458545,0.029861111111111113,-0.07844960267965706,85,1440,0,11520,0.5590277777777778,0.3406266934063001
global_lgbm,none,tb_label_8h,8h,SHIBUSDT,-0.005270825665463274,-0.005270825665463274,-0.005270825665463274,,,-0.005270825665463264,0.019146964983615865,1,0,-0.14314056931602812,-0.12129166178760939,0.02326388888888889,-0.030464453653652135,67,1440,0,11520,0.5737847222222222,0.34400377874770993
