symbol,horizon,label_type,label,count,pct
DOGEUSDT,4h,tb,0,10864,0.6230786877724249
DOGEUSDT,4h,tb,1,3219,0.1846180316586373
DOGEUSDT,8h,dir,-1,6716,0.3851800871759578
DOGEUSDT,8h,dir,0,4032,0.23124569855471439
DOGEUSDT,8h,dir,1,6688,0.3835742142693278
DOGEUSDT,8h,tb,-1,3841,0.22029135122734572
DOGEUSDT,8h,tb,0,9872,0.5661849047946776
DOGEUSDT,8h,tb,1,3723,0.2135237439779766
DOGEUSDT,24h,dir,-1,7048,0.4042211516402845
DOGEUSDT,24h,dir,0,3652,0.20945170910759348
DOGEUSDT,24h,dir,1,6736,0.38632713925212203
DOGEUSDT,24h,tb,-1,4488,0.25739848589125947
DOGEUSDT,24h,tb,0,8453,0.4848015599908236
DOGEUSDT,24h,tb,1,4495,0.25779995411791695
DOTUSDT,4h,dir,-1,6884,0.39481532461573754
DOTUSDT,4h,dir,0,4033,0.2313030511585226
DOTUSDT,4h,dir,1,6519,0.37388162422573984
DOTUSDT,4h,tb,-1,3412,0.19568708419362238
DOTUSDT,4h,tb,0,10786,0.6186051846753843
DOTUSDT,4h,tb,1,3238,0.18570773113099334
DOTUSDT,8h,dir,-1,6920,0.3968800183528332
DOTUSDT,8h,dir,0,4034,0.2313604037623308
DOTUSDT,8h,dir,1,6482,0.371759577884836
DOTUSDT,8h,tb,-1,3839,0.2201766460197293
DOTUSDT,8h,tb,0,9974,0.5720348703831154
DOTUSDT,8h,tb,1,3623,0.20778848359715532
DOTUSDT,24h,dir,-1,7422,0.4256710254645561
DOTUSDT,24h,dir,0,3718,0.21323698095893553
DOTUSDT,24h,dir,1,6296,0.3610919935765084
DOTUSDT,24h,tb,-1,4695,0.2692704748795595
DOTUSDT,24h,tb,0,8596,0.493002982335398
DOTUSDT,24h,tb,1,4145,0.23772654278504243
ETCUSDT,4h,dir,-1,6695,0.3839756824959853
ETCUSDT,4h,dir,0,4316,0.24753383803624684
ETCUSDT,4h,dir,1,6425,0.36849047946776786
ETCUSDT,4h,tb,-1,3430,0.1967194310621702
ETCUSDT,4h,tb,0,10844,0.6219316356962606
ETCUSDT,4h,tb,1,3162,0.18134893324156917
ETCUSDT,8h,dir,-1,6938,0.39791236522138107
ETCUSDT,8h,dir,0,3887,0.2229295710025235
ETCUSDT,8h,dir,1,6611,0.37915806377609546
ETCUSDT,8h,tb,-1,3954,0.22677219545767377
ETCUSDT,8h,tb,0,9921,0.5689951823812801
ETCUSDT,8h,tb,1,3561,0.20423262216104612
ETCUSDT,24h,dir,-1,7230,0.4146593255333792
ETCUSDT,24h,dir,0,3686,0.21140169763707273
ETCUSDT,24h,dir,1,6520,0.3739389768295481
ETCUSDT,24h,tb,-1,4788,0.2746042670337233
ETCUSDT,24h,tb,0,8348,0.47877953659096123
ETCUSDT,24h,tb,1,4300,0.24661619637531543
ETHUSDT,4h,dir,-1,6798,0.3650324867099823
ETHUSDT,4h,dir,0,4841,0.25994737689953284
ETHUSDT,4h,dir,1,6984,0.37502013639048487
ETHUSDT,4h,tb,-1,3426,0.1839660634699028
ETHUSDT,4h,tb,0,11926,0.6403909144606132
ETHUSDT,4h,tb,1,3271,0.17564302206948398
ETHUSDT,8h,dir,-1,6961,0.3737851044407453
ETHUSDT,8h,dir,0,4587,0.24630832841110456
ETHUSDT,8h,dir,1,7075,0.37990656714815013
ETHUSDT,8h,tb,-1,3945,0.21183482790098265
ETHUSDT,8h,tb,0,10861,0.5832035654835419
ETHUSDT,8h,tb,1,3817,0.2049616066154755
ETHUSDT,24h,dir,-1,7152,0.38404123932771306
ETHUSDT,24h,dir,0,4351,0.2336358266659507
ETHUSDT,24h,dir,1,7120,0.38232293400633627
ETHUSDT,24h,tb,-1,4744,0.25473876389410943
ETHUSDT,24h,tb,0,9163,0.4920259893679858
ETHUSDT,24h,tb,1,4716,0.25323524673790476
ICPUSDT,4h,dir,-1,6968,0.39963294333562743
ICPUSDT,4h,dir,0,3913,0.22442073870153706
ICPUSDT,4h,dir,1,6555,0.3759463179628355
ICPUSDT,4h,tb,-1,3300,0.18926359256710254
ICPUSDT,4h,tb,0,10807,0.6198095893553567
ICPUSDT,4h,tb,1,3329,0.19092681807754072
ICPUSDT,8h,dir,-1,7016,0.40238586831842166
ICPUSDT,8h,dir,0,3881,0.22258545537967422
ICPUSDT,8h,dir,1,6539,0.3750286763019041
ICPUSDT,8h,tb,-1,3824,0.2193163569626061
ICPUSDT,8h,tb,0,9861,0.5655540261527874
ICPUSDT,8h,tb,1,3751,0.21512961688460655
ICPUSDT,24h,dir,-1,7277,0.41735489791236524
ICPUSDT,24h,dir,0,3740,0.21449873824271623
ICPUSDT,24h,dir,1,6419,0.36814636384491856
ICPUSDT,24h,tb,-1,4606,0.2641660931406286
ICPUSDT,24h,tb,0,8424,0.4831383344803854
ICPUSDT,24h,tb,1,4406,0.252695572378986
LINKUSDT,4h,dir,-1,6692,0.3838036246845607
LINKUSDT,4h,dir,0,4152,0.23812801101169992
LINKUSDT,4h,dir,1,6592,0.3780683643037394
LINKUSDT,4h,tb,-1,3265,0.1872562514338151
LINKUSDT,4h,tb,0,10893,0.624741913282863
LINKUSDT,4h,tb,1,3278,0.18800183528332187
LINKUSDT,8h,dir,-1,6765,0.3879903647625602
LINKUSDT,8h,dir,0,3924,0.22505161734342738
LINKUSDT,8h,dir,1,6747,0.3869580178940124
LINKUSDT,8h,tb,-1,3724,0.2135810965817848
LINKUSDT,8h,tb,0,9978,0.5722642807983482
LINKUSDT,8h,tb,1,3734,0.21415462261986695
LINKUSDT,24h,dir,-1,7044,0.4039917412250516
LINKUSDT,24h,dir,0,3688,0.21151640284468914
LINKUSDT,24h,dir,1,6704,0.38449185593025925
LINKUSDT,24h,tb,-1,4445,0.2549323239275063
LINKUSDT,24h,tb,0,8366,0.47981188345950904
LINKUSDT,24h,tb,1,4625,0.26525579261298465
LTCUSDT,4h,dir,-1,6468,0.370956641431521
LTCUSDT,4h,dir,0,4247,0.24357650837348016
LTCUSDT,4h,dir,1,6721,0.3854668501949989
LTCUSDT,4h,tb,-1,3269,0.18748566184904794
LTCUSDT,4h,tb,0,10983,0.6299036476256022
LTCUSDT,4h,tb,1,3184,0.18261069052534984
LTCUSDT,8h,dir,-1,6581,0.37743748566184904
LTCUSDT,8h,dir,0,4020,0.23055746730901583
LTCUSDT,8h,dir,1,6835,0.39200504702913513
LTCUSDT,8h,tb,-1,3755,0.2153590272998394
LTCUSDT,8h,tb,0,10111,0.5798921771048405
LTCUSDT,8h,tb,1,3570,0.20474879559532003
LTCUSDT,24h,dir,-1,6631,0.3803051158522597
LTCUSDT,24h,dir,0,3989,0.22877953659096123
LTCUSDT,24h,dir,1,6816,0.3909153475567791
LTCUSDT,24h,tb,-1,4436,0.2544161504932324
LTCUSDT,24h,tb,0,8834,0.5066529020417527
LTCUSDT,24h,tb,1,4166,0.23893094746501492
NEARUSDT,4h,dir,-1,6855,0.39315209910529936
NEARUSDT,4h,dir,0,4057,0.2326795136499197
NEARUSDT,4h,dir,1,6524,0.3741683872447809
NEARUSDT,4h,tb,-1,3331,0.19104152328515714
NEARUSDT,4h,tb,0,10669,0.6118949300298233
NEARUSDT,4h,tb,1,3436,0.1970635466850195
NEARUSDT,8h,dir,-1,6915,0.39659325533379214
NEARUSDT,8h,dir,0,3896,0.22344574443679743
NEARUSDT,8h,dir,1,6625,0.37996100022941043
NEARUSDT,8h,tb,-1,3704,0.21243404450562056
NEARUSDT,8h,tb,0,9825,0.5634893324156917
NEARUSDT,8h,tb,1,3907,0.22407662307868778
NEARUSDT,24h,dir,-1,7130,0.4089240651525579
NEARUSDT,24h,dir,0,3660,0.2099105299380592
NEARUSDT,24h,dir,1,6646,0.3811654049093829
NEARUSDT,24h,tb,-1,4360,0.25005735260380824
NEARUSDT,24h,tb,0,8425,0.48319568708419364
NEARUSDT,24h,tb,1,4651,0.2667469603119982
SHIBUSDT,4h,dir,-1,6847,0.3926932782748337
SHIBUSDT,4h,dir,0,4100,0.23514567561367286
SHIBUSDT,4h,dir,1,6489,0.3721610461114935
SHIBUSDT,4h,tb,-1,3393,0.19459738472126634
SHIBUSDT,4h,tb,0,10849,0.6222183987153017
SHIBUSDT,4h,tb,1,3194,0.18318421656343198
SHIBUSDT,8h,dir,-1,6953,0.3987726542785042
SHIBUSDT,8h,dir,0,4028,0.23101628813948152
SHIBUSDT,8h,dir,1,6455,0.3702110575820142
SHIBUSDT,8h,tb,-1,3855,0.2210942876806607
SHIBUSDT,8h,tb,0,10045,0.5761069052534985
SHIBUSDT,8h,tb,1,3536,0.2027988070658408
SHIBUSDT,24h,dir,-1,7272,0.41706813489332417
SHIBUSDT,24h,dir,0,3826,0.21943106217022254
SHIBUSDT,24h,dir,1,6338,0.3635008029364533
SHIBUSDT,24h,tb,-1,4545,0.2606675843083276
SHIBUSDT,24h,tb,0,8650,0.4961000229410415
SHIBUSDT,24h,tb,1,4241,0.24323239275063088
SOLUSDT,4h,dir,-1,6607,0.37892865336086257
SOLUSDT,4h,dir,0,4140,0.23743977976600136
SOLUSDT,4h,dir,1,6689,0.38363156687313604
SOLUSDT,4h,tb,-1,3462,0.19855471438403305
SOLUSDT,4h,tb,0,10797,0.6192360633172747
SOLUSDT,4h,tb,1,3177,0.18220922229869235
SOLUSDT,8h,dir,-1,6753,0.38730213351686166
SOLUSDT,8h,dir,0,3950,0.22654278504244094
SOLUSDT,8h,dir,1,6733,0.38615508144069743
SOLUSDT,8h,tb,-1,3870,0.2219545767377839
SOLUSDT,8h,tb,0,9878,0.566529020417527
SOLUSDT,8h,tb,1,3688,0.21151640284468914
SOLUSDT,24h,dir,-1,6982,0.4004358797889424
SOLUSDT,24h,dir,0,3718,0.21323698095893553
SOLUSDT,24h,dir,1,6736,0.38632713925212203
SOLUSDT,24h,tb,-1,4563,0.26169993117687546
SOLUSDT,24h,tb,0,8451,0.48468685478320717
SOLUSDT,24h,tb,1,4422,0.25361321403991743
TONUSDT,4h,dir,-1,6121,0.3795262896825397
TONUSDT,4h,dir,0,3751,0.2325768849206349
TONUSDT,4h,dir,1,6256,0.3878968253968254
TONUSDT,4h,tb,-1,3192,0.19791666666666666
TONUSDT,4h,tb,0,10051,0.6232018849206349
TONUSDT,4h,tb,1,2885,0.1788814484126984
TONUSDT,8h,dir,-1,6242,0.3870287698412698
TONUSDT,8h,dir,0,3679,0.22811259920634921
TONUSDT,8h,dir,1,6207,0.38485863095238093
TONUSDT,8h,tb,-1,3567,0.22116815476190477
TONUSDT,8h,tb,0,9268,0.5746527777777778
TONUSDT,8h,tb,1,3293,0.20417906746031747
TONUSDT,24h,dir,-1,6407,0.3972594246031746
TONUSDT,24h,dir,0,3623,0.22464037698412698
TONUSDT,24h,dir,1,6098,0.37810019841269843
TONUSDT,24h,tb,-1,4213,0.26122271825396826
TONUSDT,24h,tb,0,8234,0.5105406746031746
TONUSDT,24h,tb,1,3681,0.22823660714285715
TRXUSDT,4h,dir,-1,6326,0.36281257169075476
TRXUSDT,4h,dir,0,3778,0.21667813718742832
TRXUSDT,4h,dir,1,7332,0.42050929112181695
TRXUSDT,4h,tb,-1,3387,0.19425326909841706
TRXUSDT,4h,tb,0,10282,0.5896994723560449
TRXUSDT,4h,tb,1,3767,0.21604725854553797
TRXUSDT,8h,dir,-1,6399,0.3669993117687543
TRXUSDT,8h,dir,0,3495,0.20044735030970406
TRXUSDT,8h,dir,1,7542,0.43255333792154166
TRXUSDT,8h,tb,-1,3982,0.22837806836430374
TRXUSDT,8h,tb,0,9076,0.5205322321633402
TRXUSDT,8h,tb,1,4378,0.25108969947235604
TRXUSDT,24h,dir,-1,6507,0.3731933929800413
TRXUSDT,24h,dir,0,3150,0.18066070199587062
TRXUSDT,24h,dir,1,7779,0.4461459050240881
TRXUSDT,24h,tb,-1,4694,0.26921312227575134
TRXUSDT,24h,tb,0,7162,0.41075934847442075
TRXUSDT,24h,tb,1,5580,0.32002752924982797
UNIUSDT,4h,dir,-1,6925,0.3971667813718743
UNIUSDT,4h,dir,0,4140,0.23743977976600136
UNIUSDT,4h,dir,1,6371,0.36539343886212433
UNIUSDT,4h,tb,-1,3302,0.18937829777471898
UNIUSDT,4h,tb,0,10911,0.6257742601514109
UNIUSDT,4h,tb,1,3223,0.18484744207387016
