method,regime_method,target,horizon,n_folds,mean_fold_IC,median_fold_IC,std_fold_IC,positive_ic_folds,mean_fold_Sharpe,median_fold_Sharpe,positive_sharpe_folds,mean_fold_total_return,median_fold_total_return,IC_bootstrap_mean,IC_ci_low,IC_ci_high,Sharpe_bootstrap_mean,Sharpe_ci_low,Sharpe_ci_high,total_return_bootstrap_mean,total_return_ci_low,total_return_ci_high,full_sample_IC,full_sample_Sharpe,full_sample_drawdown,full_sample_total_return,full_sample_n_test_rows
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,16,-0.011587401925682958,-0.019688600064650674,0.047822209706152044,6,-1.1980516411554694,-1.549635156864351,5,-0.003745242781452586,-0.005060592118906471,-0.011587401925682958,-0.03426874416327042,0.010709372818676347,-1.1980516411554694,-2.9096726723672477,0.4577248794518719,-0.003745242781452586,-0.010593539584649474,0.002985441145984365,-0.0030983854777024,-0.7965126732036567,-0.0796803018276344,-0.059737398956513,230400
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,16,-0.01584701075530888,-0.017912813446009014,0.030406485256437604,6,-1.6733812867898332,-0.860404614602108,7,-0.005770231919329953,-0.004264105898941661,-0.01584701075530888,-0.02993876089444379,-0.001109199662406423,-1.6733812867898332,-3.1656635465802068,-0.22870956385560237,-0.005770231919329953,-0.011989766947186042,3.138880305920762e-05,-0.0087194066404739,-1.0825540244727645,-0.0976548440765617,-0.0895479797235623,230400
regime_lgbm_hmm,hmm,tb_label_8h,8h,16,-0.016386785610464312,-0.015201887591120178,0.04068253206948254,6,-1.3214563675824815,-1.3958539881716843,7,-0.0014485796800541503,-0.004961999842247045,-0.016386785610464312,-0.03570582792601336,0.002857317437559055,-1.3214563675824815,-3.3598755858790703,0.5799579033117346,-0.0014485796800541503,-0.010561536598030547,0.008239482631549576,-0.0093372391748816,-0.2600264411968852,-0.0843023364484681,-0.0257818190223222,230400
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,16,-0.017675271925956786,-0.012815469565994483,0.02582188304030036,4,-1.4321767087154207,-0.4714976389492368,6,-0.0038620123238510065,-0.0020522862697681665,-0.017675271925956786,-0.029480923300958396,-0.005460367257753933,-1.4321767087154207,-3.178767977293548,0.2106815716812789,-0.0038620123238510065,-0.011664426557009585,0.004587575179201446,-0.0118945497073976,-0.761986886589292,-0.1017582107871874,-0.062093858090291,230400
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,16,-0.018834307907031944,-0.01105826286930502,0.036532021612820105,6,-0.8375860730175391,-0.22038257504791808,8,-0.0014723403671997454,-0.0015907749305144048,-0.018834307907031944,-0.03654983814933992,-0.001513302875966657,-0.8375860730175391,-2.7807696866185125,1.1527361482823344,-0.0014723403671997454,-0.011309681472794814,0.009141911173311371,-0.0153421099355637,-0.2954321469497722,-0.0673905920068225,-0.0266985445929591,230400
global_lgbm,none,tb_label_8h,8h,16,-0.02050116177024311,-0.02731250466248567,0.048244306332024166,7,-0.4984938361845413,0.25534110446545116,9,-0.0004671804929608295,0.0007275226556183734,-0.02050116177024311,-0.043067476562587866,0.002145797724330003,-0.4984938361845413,-1.8757614186120812,0.8154528009752896,-0.0004671804929608295,-0.007185365710686188,0.00566569471605036,-0.0113482049035427,-0.0883825287531106,-0.0619407957805264,-0.0088665705211917,230400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,16,-0.021790694295223734,-0.02287335254095655,0.03061406822607522,5,-1.1995777749681726,-0.8373594102120933,6,-0.005492183581499124,-0.0036126446657707145,-0.021790694295223734,-0.0363213758541285,-0.007088293186360653,-1.1995777749681726,-2.1800322738568085,-0.18882587818252883,-0.005492183581499124,-0.010519152730544708,-0.00047969381873408016,-0.0177910407325156,-1.1657314915682688,-0.1174539857921024,-0.0851224793277983,230400
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,16,-0.022311050940878534,-0.018284138934778732,0.04079976461687003,7,-0.7613970427801484,-0.6613764867123801,7,-0.0011087161110204247,-0.0021483419154181838,-0.022311050940878534,-0.041355044100065165,-0.002923464993479167,-0.7613970427801484,-2.0601726575327843,0.49599515081284473,-0.0011087161110204247,-0.007024735643518009,0.004976019025541271,-0.0139085830312779,-0.209109118647708,-0.0463972316945188,-0.0188013409391546,230400
