symbol,horizon,label_type,source_rows,target_rows,missing_rows,expected_horizon_loss,neutral_pct,down_pct,up_pct
BTCUSDT,4h,dir,18647,18623,24,24,0.2613434999731515,0.3613273908607636,0.377329109166085
BTCUSDT,4h,tb,18647,18623,24,24,0.6336787842989852,0.18579176287386565,0.18052945282714922
BTCUSDT,8h,dir,18647,18623,24,24,0.2496912420125651,0.3659453364119637,0.3843634215754712
BTCUSDT,8h,tb,18647,18623,24,24,0.5811093808731139,0.21167373677710358,0.20721688234978253
BTCUSDT,24h,dir,18647,18623,24,24,0.2351393438221554,0.37426837781238254,0.39059227836546206
BTCUSDT,24h,tb,18647,18623,24,24,0.4845621006282554,0.258175374536863,0.2572625248348816
ETHUSDT,4h,dir,18647,18623,24,24,0.25994737689953284,0.3650324867099823,0.37502013639048487
ETHUSDT,4h,tb,18647,18623,24,24,0.6403909144606132,0.1839660634699028,0.17564302206948398
ETHUSDT,8h,dir,18647,18623,24,24,0.24630832841110456,0.3737851044407453,0.37990656714815013
ETHUSDT,8h,tb,18647,18623,24,24,0.5832035654835419,0.21183482790098265,0.2049616066154755
ETHUSDT,24h,dir,18647,18623,24,24,0.2336358266659507,0.38404123932771306,0.38232293400633627
ETHUSDT,24h,tb,18647,18623,24,24,0.4920259893679858,0.25473876389410943,0.25323524673790476
BNBUSDT,4h,dir,17460,17436,24,24,0.23721036935076853,0.3651640284468915,0.39762560220234
BNBUSDT,4h,tb,17460,17436,24,24,0.6203257627896307,0.19425326909841706,0.18542096811195227
BNBUSDT,8h,dir,17460,17436,24,24,0.2211516402844689,0.37244780913053455,0.4064005505849966
BNBUSDT,8h,tb,17460,17436,24,24,0.5586717136958018,0.22562514338150952,0.2157031429226887
BNBUSDT,24h,dir,17460,17436,24,24,0.2170796054140858,0.370956641431521,0.4119637531543932
BNBUSDT,24h,tb,17460,17436,24,24,0.4881853636155081,0.25516173434273914,0.2566529020417527
SOLUSDT,4h,dir,17460,17436,24,24,0.23743977976600136,0.37892865336086257,0.38363156687313604
SOLUSDT,4h,tb,17460,17436,24,24,0.6192360633172747,0.19855471438403305,0.18220922229869235
SOLUSDT,8h,dir,17460,17436,24,24,0.22654278504244094,0.38730213351686166,0.38615508144069743
SOLUSDT,8h,tb,17460,17436,24,24,0.566529020417527,0.2219545767377839,0.21151640284468914
SOLUSDT,24h,dir,17460,17436,24,24,0.21323698095893553,0.4004358797889424,0.38632713925212203
SOLUSDT,24h,tb,17460,17436,24,24,0.48468685478320717,0.26169993117687546,0.25361321403991743
XRPUSDT,4h,dir,17460,17436,24,24,0.24059417297545307,0.383344803854095,0.3760610231704519
XRPUSDT,4h,tb,17460,17436,24,24,0.626347786189493,0.19402385868318422,0.17962835512732278
XRPUSDT,8h,dir,17460,17436,24,24,0.24139710942876808,0.3885065381968341,0.3700963523743978
XRPUSDT,8h,tb,17460,17436,24,24,0.5716334021564579,0.21977517779307182,0.2085914200504703
XRPUSDT,24h,dir,17460,17436,24,24,0.23589125946317963,0.39607708189951824,0.36803165863730214
XRPUSDT,24h,tb,17460,17436,24,24,0.4935191557696719,0.2572264280798348,0.24925441615049324
DOGEUSDT,4h,dir,17460,17436,24,24,0.24891030052764396,0.37296398256480845,0.3781257169075476
DOGEUSDT,4h,tb,17460,17436,24,24,0.6230786877724249,0.19230328056893783,0.1846180316586373
DOGEUSDT,8h,dir,17460,17436,24,24,0.23124569855471439,0.3851800871759578,0.3835742142693278
DOGEUSDT,8h,tb,17460,17436,24,24,0.5661849047946776,0.22029135122734572,0.2135237439779766
DOGEUSDT,24h,dir,17460,17436,24,24,0.20945170910759348,0.4042211516402845,0.38632713925212203
DOGEUSDT,24h,tb,17460,17436,24,24,0.4848015599908236,0.25739848589125947,0.25779995411791695
ADAUSDT,4h,dir,17460,17436,24,24,0.24128240422115163,0.38816242257398487,0.3705551732048635
ADAUSDT,4h,tb,17460,17436,24,24,0.6237669190181234,0.19150034411562286,0.18473273686625372
ADAUSDT,8h,dir,17460,17436,24,24,0.22797660013764626,0.3972241339756825,0.37479926588667123
ADAUSDT,8h,tb,17460,17436,24,24,0.5695687084193622,0.22040605643496214,0.21002523514567562
ADAUSDT,24h,dir,17460,17436,24,24,0.21771048405597615,0.41546226198669417,0.3668272539573297
ADAUSDT,24h,tb,17460,17436,24,24,0.49179857765542556,0.2624455150263822,0.24575590731819225
TRXUSDT,4h,dir,17460,17436,24,24,0.21667813718742832,0.36281257169075476,0.42050929112181695
TRXUSDT,4h,tb,17460,17436,24,24,0.5896994723560449,0.19425326909841706,0.21604725854553797
TRXUSDT,8h,dir,17460,17436,24,24,0.20044735030970406,0.3669993117687543,0.43255333792154166
