method,regime_method,target,horizon,fold,IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
global_lgbm,none,tb_label_8h,8h,1,0.07166246312750413,0.026077924355294844,0.5752083333333333,0.3471619828619718,1.9461495352084524,-0.12170593522671347,0.02666666666666667,0.7932573134496612,766,14400
global_lgbm,none,tb_label_8h,8h,2,0.13470796046786107,0.06382578918930457,0.5628472222222223,0.3486179761086272,1.833077679807087,-0.13318729074590022,0.018784722222222223,0.95026975233369,536,14400
global_lgbm,none,tb_label_8h,8h,3,-0.03569701048218029,0.02903017925204989,0.5788194444444444,0.35070535241859085,2.302735924068386,-0.09580811324399612,0.025972222222222223,0.6469844649027086,742,14400
global_lgbm,none,tb_label_8h,8h,4,0.05047357367223414,0.013896378072120944,0.5759027777777778,0.34655815524032013,-0.5542045746135056,-0.35072311360330494,0.03232638888888889,-0.14787555355296222,927,14400
global_lgbm,none,tb_label_8h,8h,5,0.020508712401466928,-0.0035311956151120438,0.5452777777777778,0.3466966932683506,0.7346180682793337,-0.283079481338887,0.03284722222222222,0.21685849120584422,943,14400
global_lgbm,none,tb_label_8h,8h,6,-0.06264848314741947,-0.060948403623732356,0.5327083333333333,0.3464326350239438,-1.562169157995701,-0.5252703876275767,0.029513888888888888,-0.3576856783384711,846,14400
global_lgbm,none,tb_label_8h,8h,7,0.013259275818193158,0.01393316520631017,0.5824305555555556,0.3504494188954046,-2.1996700030983805,-0.3069445659124028,0.025763888888888888,-0.28325599211684005,732,14400
global_lgbm,none,tb_label_8h,8h,8,-0.021643795969463107,-0.013024318103110433,0.5588194444444444,0.3449306896280943,0.45881577811736723,-0.10925767386846152,0.017777777777777778,0.08606902398859151,509,14400
global_lgbm,none,tb_label_8h,8h,9,-0.011979521984416217,-0.014432554157792403,0.5626388888888889,0.3407800648241825,-0.7142488891085178,-0.27539702982863135,0.021145833333333332,-0.2396329024640106,605,14400
global_lgbm,none,tb_label_8h,8h,10,0.021440487515011864,0.013750397966857147,0.5757638888888889,0.3400080261824678,0.19877124896029236,-0.14749700776279917,0.022569444444444444,0.02308108032605083,646,14400
global_lgbm,none,tb_label_8h,8h,11,0.07080923252476608,0.0010657876369542622,0.5648611111111111,0.33908348652013404,-0.47177916499868083,-0.16260153695981705,0.0175,-0.07020833594624953,500,14400
global_lgbm,none,tb_label_8h,8h,12,-0.061507581440373084,-0.0014857348860061867,0.6015972222222222,0.3431796238150002,-0.16106806412100827,-0.1546404881498399,0.01611111111111111,-0.029981290809449446,462,14400
global_lgbm,none,tb_label_8h,8h,13,-0.013859499715255276,0.014375228915689852,0.5706944444444444,0.34885374467405245,0.5679479203566161,-0.08429778663265941,0.022534722222222223,0.06985953218561392,648,14400
global_lgbm,none,tb_label_8h,8h,14,-0.018189286181577016,0.029961557149363525,0.5836111111111111,0.34781253496405157,-0.9595499921565809,-0.15424851094873657,0.017708333333333333,-0.1350466220872607,507,14400
global_lgbm,none,tb_label_8h,8h,15,-0.03548597435957833,-0.004042586281475187,0.5558333333333333,0.34827869692448493,0.49844182214208127,-0.1892002136454977,0.01965277777777778,0.09068677167673012,564,14400
global_lgbm,none,tb_label_8h,8h,16,-0.048816129629014916,-0.024037643890509428,0.5634027777777778,0.34038088107742115,-0.9744243911266145,-0.197085452741554,0.025625,-0.13001578812273262,733,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,1,0.08422317048533154,0.04577936126267032,0.5743055555555555,0.35581146115327017,0.6990808199354562,-0.32902560622823357,0.03576388888888889,0.2712898871937983,996,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,2,0.13963243281874255,0.04112250329269882,0.5614583333333333,0.3516547647780319,1.2257092099434705,-0.1544107115480931,0.025868055555555554,0.4806411007627507,736,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,3,0.00035111598864430665,0.022538137356438583,0.5745138888888889,0.35218350471328624,0.8343869867509247,-0.19310749313254755,0.03142361111111111,0.19042131530342465,886,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,4,0.05801733411369784,0.012411631424309446,0.5723611111111111,0.3490994723085998,-1.2388527107757243,-0.5071980513710754,0.042465277777777775,-0.3542179085884192,1197,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,5,-0.0011064965947104946,0.000787454759671948,0.5459722222222222,0.3506424505688459,-0.39935969998879234,-0.5304740142939521,0.04107638888888889,-0.17107430710308746,1155,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,6,-0.019043512252799336,-0.03073132251580457,0.5322222222222223,0.3493429795894973,-1.2205936897312246,-0.42275931023728563,0.04097222222222222,-0.2848427753992735,1162,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,7,-0.026044106822619623,-0.009392863153071364,0.573125,0.352889634664644,-2.0260594426531693,-0.3294555480979386,0.043194444444444445,-0.3043510028663562,1220,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,8,-0.00807057080401855,-0.00975304393877926,0.5592361111111112,0.34783115446387086,-0.5848924932412451,-0.24023390730365707,0.02392361111111111,-0.12144306661059179,679,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,9,-0.010717234847810442,-0.021717099601688175,0.5595833333333333,0.3459114880254586,-1.7947957519897322,-0.5521342880846077,0.03729166666666667,-0.5069770556381585,1054,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,10,0.031962430174740104,0.014325336640870346,0.5734027777777778,0.34489864793021113,1.084829033895836,-0.1673351205237633,0.03229166666666667,0.16691977601955643,920,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,11,0.06167291711938084,-0.013076851349701138,0.5626388888888889,0.3415915440453885,-2.0859754872349017,-0.43908420798206466,0.025694444444444443,-0.35377919976621464,728,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,12,-0.039751271429449966,0.014443724893942682,0.6009027777777778,0.3466542976461699,0.26085769132838504,-0.06708467812330562,0.021145833333333332,0.032832147217378926,598,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,13,-0.037581082225723025,-0.006517735176634921,0.5715972222222222,0.35336847895461143,0.4986631881063354,-0.1631607111771608,0.03138888888888889,0.06598928688548611,893,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,14,-0.071936908120011,0.015468019403064234,0.581875,0.3568404106730752,-1.5915393754400744,-0.30048867611673014,0.031875,-0.2885278334454803,900,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,15,-0.005406737193230917,7.234250225690534e-05,0.5547222222222222,0.3510612419416183,0.33074086691748583,-0.33530494869305355,0.02784722222222222,0.10031602071601542,796,14400
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,16,-0.033833602959296966,0.0033365043443652326,0.5625694444444445,0.349841740070255,-0.2329987648248222,-0.14113511820821123,0.036631944444444446,-0.05464890215819307,1041,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,1,0.0740376041554517,0.03572067311382837,0.5784027777777778,0.35290238261155094,0.7702892001932695,-0.2853920925039136,0.029375,0.25015758115562026,828,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,2,0.11694561323054012,0.03982368744454921,0.563125,0.3589984721623487,0.3442710264304695,-0.25020997090078206,0.03131944444444444,0.087018331427696,893,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,3,-0.009761062408271763,0.030287813894419955,0.5747916666666667,0.3541482922297036,2.3168934559243097,-0.20054965655761534,0.03576388888888889,0.8915812501819065,1009,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,4,0.011844824528510475,0.010250234955903163,0.5736805555555555,0.35212920190519964,-1.876547504816681,-0.6559216006723082,0.043472222222222225,-0.6255792633426229,1221,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,5,0.01752519171985271,-0.0003446057622713672,0.5463194444444445,0.3505750683473226,-0.28513272081100793,-0.5653785567857103,0.04034722222222222,-0.14557713259198102,1138,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,6,-0.030444956200525973,-0.042146784908258746,0.5310416666666666,0.34823543958472375,-0.5007449340667766,-0.4021682376889576,0.03857638888888889,-0.14744924848556473,1090,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,7,0.022291122340566526,0.014385877016189362,0.57375,0.35491887750578227,-2.2941192996781634,-0.4271260642499801,0.04006944444444444,-0.39101672634006945,1132,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,8,0.005383374450822113,-0.013169083989415582,0.555625,0.3460177895188136,-0.437780348616426,-0.20340037658814308,0.027916666666666666,-0.10571279688340718,790,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,9,-0.029883075073556507,-0.012340353268958418,0.5554166666666667,0.3410989298121651,0.8635487821221883,-0.12477050789603086,0.036493055555555556,0.18869504340604237,1039,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,10,0.04492389218724591,0.01678920501835925,0.5746527777777778,0.34731842126706497,0.40181460807343244,-0.1551269320716605,0.033819444444444444,0.056547430793379316,960,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,11,0.04049179193906044,-0.0011390549531733966,0.5613194444444445,0.34603720448872055,-1.6033510845348173,-0.3398009810407468,0.030416666666666668,-0.33559923674428527,854,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,12,-0.05556851569884359,0.003061945619871023,0.600625,0.3492458747504459,-0.09103434433677121,-0.14087824683614852,0.022048611111111113,-0.019473943837039043,627,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,13,-0.015145775836396801,0.004938608664555774,0.5718055555555556,0.3564762089495894,-0.5906124719384129,-0.1405115233110225,0.03197916666666667,-0.07277809353568065,906,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,14,0.04265059100004431,-0.00045010836008376625,0.5744444444444444,0.3593017776275116,0.6424483304770666,-0.4373201078135529,0.04673611111111111,0.1676470011205755,1284,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,15,-0.04324577670499096,-0.0046732253127699745,0.5530555555555555,0.3494181414013246,-0.4181835484130654,-0.3134894976291268,0.02642361111111111,-0.14227413557026725,753,14400
regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,16,-0.015458011871843137,-0.0009607357027394236,0.5644444444444444,0.35432592353227427,0.1565365571405413,-0.11712694230362264,0.043125,0.021582740433014225,1207,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,1,0.06044766349350842,0.028321577548578752,0.574375,0.35314874157336046,1.7015250768946304,-0.23925826788686058,0.03909722222222222,0.7569768567156245,1104,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,2,0.15458198928103067,0.07603440789951725,0.5626388888888889,0.35571957481798083,1.6572989804564562,-0.12351831745159231,0.027881944444444445,0.8674958987632344,781,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,3,-0.03281371407622262,0.0050966453439517025,0.57375,0.35287029166703215,1.3110852313461654,-0.16080562670996285,0.042083333333333334,0.3995006571848574,1173,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,4,0.03263906408526071,0.01488751991440004,0.5770833333333333,0.3567290896252875,-0.7719957367568563,-0.44912365032085333,0.04628472222222222,-0.21666154185705822,1309,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,5,0.026778271503563517,-0.0058362965964107215,0.5459722222222222,0.3544673283579383,-0.2917369232795593,-0.473529555376213,0.045,-0.13329626319016663,1270,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,6,-0.02354027109248502,-0.03102913067636788,0.5290277777777778,0.34887500944192756,-0.5622709950824124,-0.40531691100915634,0.04534722222222222,-0.17009479460242172,1275,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,7,0.02464783017821232,0.014445629368753845,0.5747916666666667,0.35727965448975335,-2.029285818539929,-0.33517422065593555,0.04545138888888889,-0.30412080227072247,1277,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,8,-0.023849392140796555,-0.018061558976833814,0.5584027777777778,0.35086833794285344,-1.0471274459810782,-0.2907264770140951,0.03194444444444444,-0.24975407814218276,899,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,9,-0.013247013732748447,-0.005616396847712926,0.5613888888888889,0.3516135704554822,-0.2887033835391743,-0.34237151714253206,0.043993055555555556,-0.1363175765367487,1223,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,10,0.02774089895123029,0.028587993729605146,0.5722916666666666,0.3483058788556313,1.7010212240337144,-0.13853194408151207,0.04055555555555555,0.5268908421052059,1143,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,11,0.0624117518292789,0.007866623883105254,0.561875,0.3424261836336456,-1.2772016832382032,-0.25159314751159123,0.029027777777777777,-0.24243026217905583,819,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,12,-0.03760893581027834,-0.002064940590625856,0.6008333333333333,0.3501707027940492,-0.45843562229675194,-0.12252426428483815,0.028784722222222222,-0.08681383803746401,814,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,13,0.006875143228442483,0.018823884888609844,0.5697222222222222,0.35584438214677366,0.5244244710970865,-0.11163523743428516,0.03864583333333333,0.07955476290794317,1091,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,14,-0.013327938703846999,0.024170285499812028,0.5855555555555556,0.35836152989452813,-0.6202332284321478,-0.21210988503621478,0.034166666666666665,-0.12851537096529897,948,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,15,-0.04439592565243789,-0.01840004827131408,0.5500694444444445,0.34972027479434503,-0.5913720591119044,-0.258223133250013,0.034861111111111114,-0.21167971926676798,978,14400
regime_lgbm_hmm,hmm,tb_label_8h,8h,16,-0.030788622883517327,-0.012517904441446657,0.5649305555555556,0.35079250949995605,-0.7477764370362037,-0.16083069188573448,0.044409722222222225,-0.15668804990810592,1244,14400
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,1,0.04030679876824519,0.025209505517533485,0.5759027777777778,0.355502269753164,1.9210407249763033,-0.15460724448171675,0.03861111111111111,0.8856929992268416,1083,14400
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,2,0.13085379522054244,0.06744057769489932,0.5594444444444444,0.35481390962022114,2.1532764321552684,-0.2385359292345257,0.035,1.5713406855952505,976,14400
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,3,-0.02765834838163036,0.003651084806277122,0.5704166666666667,0.3520271292175325,0.42922428361439036,-0.20626418052728424,0.04583333333333333,0.10965509193789114,1273,14400
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,4,0.03860373978569188,0.016007269864063704,0.5778472222222222,0.3571942581511665,-0.9204516257730024,-0.4637153838559641,0.05357638888888889,-0.295836865605294,1497,14400
