symbol,horizon,label_type,label,count,pct
GRTUSDT,4h,tb,-1,3486,0.19993117687543013
GRTUSDT,4h,tb,0,10597,0.607765542555632
GRTUSDT,4h,tb,1,3353,0.19230328056893783
GRTUSDT,8h,dir,-1,7171,0.41127552190869465
GRTUSDT,8h,dir,0,3684,0.2112869924294563
GRTUSDT,8h,dir,1,6581,0.37743748566184904
GRTUSDT,8h,tb,-1,3960,0.22711631108052305
GRTUSDT,8h,tb,0,9676,0.5549437944482679
GRTUSDT,8h,tb,1,3800,0.21793989447120898
GRTUSDT,24h,dir,-1,7442,0.4268180775407204
GRTUSDT,24h,dir,0,3474,0.19924294562973158
GRTUSDT,24h,dir,1,6520,0.3739389768295481
GRTUSDT,24h,tb,-1,4778,0.2740307409956412
GRTUSDT,24h,tb,0,8087,0.46381050699701765
GRTUSDT,24h,tb,1,4571,0.2621587520073411
IMXUSDT,4h,dir,-1,7095,0.4069167240192705
IMXUSDT,4h,dir,0,3862,0.22149575590731818
IMXUSDT,4h,dir,1,6479,0.37158752007341134
IMXUSDT,4h,tb,-1,3390,0.1944253269098417
IMXUSDT,4h,tb,0,10715,0.6145331498050012
IMXUSDT,4h,tb,1,3331,0.19104152328515714
IMXUSDT,8h,dir,-1,7213,0.41368433126863957
IMXUSDT,8h,dir,0,3753,0.215244322092223
IMXUSDT,8h,dir,1,6470,0.37107134663913743
IMXUSDT,8h,tb,-1,3922,0.22493691213581096
IMXUSDT,8h,tb,0,9649,0.5533952741454462
IMXUSDT,8h,tb,1,3865,0.22166781371874283
IMXUSDT,24h,dir,-1,7369,0.4226313374627208
IMXUSDT,24h,dir,0,3667,0.21031199816471668
IMXUSDT,24h,dir,1,6400,0.3670566643725625
IMXUSDT,24h,tb,-1,4606,0.2641660931406286
IMXUSDT,24h,tb,0,8194,0.46994723560449647
IMXUSDT,24h,tb,1,4636,0.265886671254875
INJUSDT,4h,dir,-1,6899,0.39567561367286075
INJUSDT,4h,dir,0,4037,0.23153246157375545
INJUSDT,4h,dir,1,6500,0.3727919247533838
INJUSDT,4h,tb,-1,3330,0.19098417068134893
INJUSDT,4h,tb,0,10708,0.6141316815783436
INJUSDT,4h,tb,1,3398,0.1948841477403074
INJUSDT,8h,dir,-1,6881,0.39464326680431294
INJUSDT,8h,dir,0,3917,0.2246501491167699
INJUSDT,8h,dir,1,6638,0.38070658407891717
INJUSDT,8h,tb,-1,3743,0.21467079605414086
INJUSDT,8h,tb,0,9837,0.5641775636613903
INJUSDT,8h,tb,1,3856,0.2211516402844689
INJUSDT,24h,dir,-1,7111,0.40783436568020187
INJUSDT,24h,dir,0,3751,0.21512961688460655
INJUSDT,24h,dir,1,6574,0.37703601743519155
INJUSDT,24h,tb,-1,4393,0.25194998852947925
INJUSDT,24h,tb,0,8396,0.48153246157375545
INJUSDT,24h,tb,1,4647,0.2665175498967653
JUPUSDT,4h,dir,-1,6765,0.3879903647625602
JUPUSDT,4h,dir,0,4034,0.2313604037623308
JUPUSDT,4h,dir,1,6637,0.380649231475109
JUPUSDT,4h,tb,-1,3399,0.19494150034411561
JUPUSDT,4h,tb,0,10675,0.6122390456526726
JUPUSDT,4h,tb,1,3362,0.19281945400321174
JUPUSDT,8h,dir,-1,6901,0.39579031888047717
JUPUSDT,8h,dir,0,3916,0.22459279651296168
JUPUSDT,8h,dir,1,6619,0.3796168846065611
JUPUSDT,8h,tb,-1,3852,0.22092222986923607
JUPUSDT,8h,tb,0,9765,0.5600481761871989
JUPUSDT,8h,tb,1,3819,0.21902959394356503
JUPUSDT,24h,dir,-1,7099,0.4071461344345033
JUPUSDT,24h,dir,0,3651,0.20939435650378527
JUPUSDT,24h,dir,1,6686,0.3834595090617114
JUPUSDT,24h,tb,-1,4569,0.2620440467997247
JUPUSDT,24h,tb,0,8211,0.47092222986923604
JUPUSDT,24h,tb,1,4656,0.26703372333103925
LDOUSDT,4h,dir,-1,6862,0.39355356733195684
LDOUSDT,4h,dir,0,4131,0.23692360633172746
LDOUSDT,4h,dir,1,6443,0.36952282633631567
LDOUSDT,4h,tb,-1,3353,0.19230328056893783
LDOUSDT,4h,tb,0,10819,0.6204978206010553
LDOUSDT,4h,tb,1,3264,0.18719889883000687
LDOUSDT,8h,dir,-1,6911,0.3963638449185593
LDOUSDT,8h,dir,0,4009,0.22992658866712548
LDOUSDT,8h,dir,1,6516,0.3737095664143152
LDOUSDT,8h,tb,-1,3786,0.217136958017894
LDOUSDT,8h,tb,0,9959,0.5711745813259922
LDOUSDT,8h,tb,1,3691,0.2116884606561138
LDOUSDT,24h,dir,-1,7048,0.4042211516402845
LDOUSDT,24h,dir,0,3969,0.22763248451479698
LDOUSDT,24h,dir,1,6419,0.36814636384491856
LDOUSDT,24h,tb,-1,4430,0.2540720348703831
LDOUSDT,24h,tb,0,8671,0.497304427621014
LDOUSDT,24h,tb,1,4335,0.2486235375086029
MKRUSDT,4h,dir,-1,4233,0.4023764258555133
MKRUSDT,4h,dir,0,2354,0.22376425855513307
MKRUSDT,4h,dir,1,3933,0.3738593155893536
MKRUSDT,4h,tb,-1,2126,0.20209125475285172
MKRUSDT,4h,tb,0,6392,0.6076045627376426
MKRUSDT,4h,tb,1,2002,0.1903041825095057
MKRUSDT,8h,dir,-1,4237,0.40275665399239546
MKRUSDT,8h,dir,0,2380,0.2262357414448669
MKRUSDT,8h,dir,1,3903,0.3710076045627376
MKRUSDT,8h,tb,-1,2383,0.2265209125475285
MKRUSDT,8h,tb,0,5893,0.560171102661597
MKRUSDT,8h,tb,1,2244,0.21330798479087454
MKRUSDT,24h,dir,-1,4377,0.41606463878326994
MKRUSDT,24h,dir,0,2222,0.21121673003802283
MKRUSDT,24h,dir,1,3921,0.37271863117870724
MKRUSDT,24h,tb,-1,2736,0.2600760456273764
MKRUSDT,24h,tb,0,5057,0.48070342205323197
MKRUSDT,24h,tb,1,2727,0.25922053231939163
OPUSDT,4h,dir,-1,6862,0.39355356733195684
OPUSDT,4h,dir,0,4045,0.23199128240422115
OPUSDT,4h,dir,1,6529,0.374455150263822
OPUSDT,4h,tb,-1,3397,0.1948267951364992
OPUSDT,4h,tb,0,10713,0.6144184445973847
OPUSDT,4h,tb,1,3326,0.19075476026611607
OPUSDT,8h,dir,-1,6911,0.3963638449185593
OPUSDT,8h,dir,0,3855,0.2210942876806607
OPUSDT,8h,dir,1,6670,0.38254186740078
OPUSDT,8h,tb,-1,3845,0.22052076164257858
OPUSDT,8h,tb,0,9882,0.5667584308327598
OPUSDT,8h,tb,1,3709,0.21272080752466163
OPUSDT,24h,dir,-1,7206,0.4132828630419821
OPUSDT,24h,dir,0,3657,0.20973847212663455
OPUSDT,24h,dir,1,6573,0.37697866483138337
OPUSDT,24h,tb,-1,4757,0.2728263363156687
OPUSDT,24h,tb,0,8411,0.48239275063087866
OPUSDT,24h,tb,1,4268,0.24478091305345262
PENDLEUSDT,4h,dir,-1,6918,0.3967653131452168
PENDLEUSDT,4h,dir,0,3891,0.22315898141775636
PENDLEUSDT,4h,dir,1,6627,0.38007570543702685
PENDLEUSDT,4h,tb,-1,3425,0.19643266804312917
PENDLEUSDT,4h,tb,0,10509,0.6027185134205093
PENDLEUSDT,4h,tb,1,3502,0.20084881853636155
PENDLEUSDT,8h,dir,-1,6982,0.4004358797889424
