method,symbol,n_rows,n_regimes,avg_regime_duration,transition_diagonal_probability,regime_entropy,dominant_regime_pct,avg_forward_return_8h,avg_vol_adj_return_8h,simple_feature_ic
hmm,ADAUSDT,17436,4,11.403531720078483,0.89570901748354,0.931562269520791,0.381738930947465,3.2940457284886396e-05,-0.010409952593933224,0.02704357428192127
hmm,APTUSDT,17436,4,9.740782122905028,0.8870470464430751,0.8615302194741296,0.42825189263592567,-0.0006925528736013306,-0.02406910169260468,0.024764323895641736
hmm,AVAXUSDT,17436,4,10.497290788681518,0.8804930642368539,0.897649358123031,0.3854668501949989,-0.0003071259045935929,-0.008349273926498276,0.01564253186925258
hmm,BCHUSDT,17436,4,12.339702760084926,0.885988584716404,0.9350949519548675,0.38460656113787567,-4.173542673578634e-05,-0.02349606672221309,0.04893417063904477
hmm,BNBUSDT,17436,4,22.098859315589355,0.883061284725256,0.7435761486467634,0.5512732278045424,0.0001400352679969524,0.013810971908857314,0.048935838207386846
hmm,BTCUSDT,18623,4,24.123056994818654,0.8545288841589043,0.63443678962331,0.6508081404714601,0.00010880300884837763,0.00348747724299234,0.025555240472480763
hmm,DOGEUSDT,17436,4,10.522631261315631,0.8877501303780463,0.9316628424354274,0.36017435191557695,0.0001916773629180712,-0.006522108142278035,0.032311967065019036
hmm,DOTUSDT,17436,4,11.789046653144016,0.8892819568670528,0.9012345917985752,0.4363959623766919,-0.0004922696258668304,-0.025587071517927676,0.032412364329240266
hmm,ETCUSDT,17436,4,12.699198834668609,0.8822646141073258,0.9133792872442613,0.42458132599220005,-0.0002850439575434691,-0.028087074702528234,0.05896087725839841
hmm,ETHUSDT,18623,4,13.846096654275092,0.8705328414496064,0.8781305673807794,0.42007195403533265,-6.500730909253676e-05,-0.010651247495870242,0.028419124160437334
hmm,ICPUSDT,17436,4,10.823091247672254,0.901224089956026,0.8855556775149547,0.38626978664831385,-0.00011985941647969744,-0.01490852463597754,0.01609965191361689
hmm,LINKUSDT,17436,4,11.366362451108214,0.8927849819783191,0.919340288515683,0.39401238816242257,9.2396061577873e-05,0.0049145352709509356,0.029143659164472646
hmm,LTCUSDT,17436,4,13.805225653206652,0.8961640604687305,0.936052061796131,0.3546111493461803,2.453776959105648e-05,-0.00861147424636999,0.06455701572675149
hmm,NEARUSDT,17436,4,9.601321585903083,0.8946658839118141,0.8547505444818932,0.4473503097040606,5.718874092693691e-05,0.00610209686600126,0.008134416856027121
