epoch,loss,valid_anchor_pct,positive_pairs_per_batch,hard_negative_pairs_per_batch,lr
1,0.9283888735894348,1.0,4511.10701107011,11.14391143911439,0.00029917828430524096
2,0.5556676942593937,1.0,4519.896678966789,10.885608856088561,0.0002967221401100708
3,0.29480710504679664,1.0,4519.889298892989,10.671586715867159,0.00029265847744427303
4,0.2558816549027978,1.0,4517.387453874539,10.915129151291513,0.0002870318186463901
5,0.23053770724037917,1.0,4521.468634686347,10.671586715867159,0.0002799038105676658
6,0.21514852867355205,1.0,4518.649446494465,10.811808118081181,0.0002713525491562421
7,0.20359128460672948,1.0,4515.579335793358,9.970479704797048,0.00026147172382160914
8,0.19100401418565385,1.0,4519.645756457565,10.988929889298893,0.00025036959095382875
9,0.17997892924010533,1.0,4513.313653136532,10.538745387453874,0.000238167787843871
10,0.16986442489267714,1.0,4524.39852398524,11.07011070110701,0.00022500000000000002
11,0.16297129494897553,1.0,4514.236162361623,10.863468634686347,0.0002110104964613701
12,0.15530652029103018,1.0,4526.39852398524,11.033210332103321,0.00019635254915624216
13,0.15009523592751844,1.0,4509.889298892989,10.450184501845019,0.00018118675362266393
14,0.14298496091552765,1.0,4523.527675276753,10.583025830258302,0.0001656792694901481
15,0.14036755823286257,1.0,4510.332103321033,10.642066420664207,0.0001500000000000001
16,0.13314429174325124,1.0,4515.608856088561,10.767527675276753,0.00013432073050985205
17,0.1290536585824076,1.0,4509.911439114391,10.863468634686347,0.00011881324637733612
18,0.12319436815062132,1.0,4521.276752767528,10.723247232472325,0.00010364745084375793
19,0.12030936740476267,1.0,4517.225092250923,10.383763837638377,8.898950353863e-05
20,0.11392416218742453,1.0,4519.50553505535,10.265682656826568,7.500000000000006e-05
21,0.10889630827956534,1.0,4520.339483394834,10.457564575645756,6.183221215612908e-05
22,0.10803386863197348,1.0,4513.077490774907,10.944649446494465,4.963040904617134e-05
23,0.10370503471153908,1.0,4520.273062730627,10.391143911439114,3.85282761783909e-05
24,0.10369885569898844,1.0,4515.734317343174,10.250922509225092,2.8647450843757918e-05
25,0.10215429774385866,1.0,4517.845018450184,10.723247232472325,2.0096189432334208e-05
26,0.09720027481112972,1.0,4515.616236162362,10.501845018450185,1.2968181353609862e-05
27,0.09669636656629864,1.0,4514.80442804428,10.228782287822877,7.341522555726975e-06
28,0.0949135722654332,1.0,4517.896678966789,10.568265682656827,3.277859889929149e-06
29,0.09870814689438502,1.0,4511.4095940959405,10.18450184501845,8.217156947589904e-07
30,0.09490022806251401,1.0,4511.19557195572,10.538745387453874,0.0
