method,regime_method,target,horizon,symbol,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,none,tb_label_8h,8h,ADAUSDT,-0.012139769319446193,-0.012139769319446193,-0.012139769319446193,,,-0.012139769319446186,0.0077036704311027075,1,0,-1.2604328459860488,-0.20740714431829335,0.029861111111111113,-0.20283002956033958,84,1440,0,11520,0.5735243055555556,0.34702437823912397
global_lgbm,none,tb_label_8h,8h,APTUSDT,-0.0248480428770456,-0.0248480428770456,-0.0248480428770456,,,-0.024848042877045614,0.0009562586779989252,1,0,-0.05497934501701483,-0.1252655081422259,0.025,-0.03290730906411343,71,1440,0,11520,0.5612847222222223,0.34107479751778896
global_lgbm,none,tb_label_8h,8h,AVAXUSDT,-0.03351838561827649,-0.03351838561827649,-0.03351838561827649,,,-0.0335183856182765,0.010854519416287308,1,0,-0.18003413887760944,-0.2223353360843418,0.04236111111111111,-0.06514317136159187,119,1440,0,11520,0.5723958333333333,0.35293480336402117
global_lgbm,none,tb_label_8h,8h,BCHUSDT,-0.018752183829454767,-0.018752183829454767,-0.018752183829454767,,,-0.01875218382945476,0.030173053919511927,1,0,1.737318889823976,-0.054816122399601465,0.03576388888888889,0.36350488504244005,102,1440,0,11520,0.5830729166666667,0.3470168687424802
global_lgbm,none,tb_label_8h,8h,BNBUSDT,-0.00760475580579754,-0.00760475580579754,-0.00760475580579754,,,-0.007604755805797553,-0.0011743156991728132,1,0,-2.0394998935205937,-0.3104871614711343,0.07743055555555556,-0.2829098416121766,215,1440,0,11520,0.5613715277777778,0.36267147337946587
global_lgbm,none,tb_label_8h,8h,BTCUSDT,0.008826091919384315,0.008826091919384315,0.008826091919384315,,,0.008826091919384311,0.005508089445667792,1,0,-0.8200296860765857,-0.21565147475576094,0.06944444444444445,-0.12730746008656124,196,1440,0,11520,0.5802951388888888,0.36821693540206707
global_lgbm,none,tb_label_8h,8h,DOGEUSDT,0.010072669055985587,0.010072669055985587,0.010072669055985587,,,0.010072669055985592,0.029326329515997868,1,0,-0.12434565792136873,-0.07004236801639883,0.03194444444444444,-0.02029567469550808,91,1440,0,11520,0.5697916666666667,0.3474027813783249
global_lgbm,none,tb_label_8h,8h,DOTUSDT,-0.027121699049571252,-0.027121699049571252,-0.027121699049571252,,,-0.027121699049571246,0.01030881910441359,1,0,-0.043735532392721495,-0.1887075524815341,0.03680555555555556,-0.03657912550343645,105,1440,0,11520,0.5756944444444444,0.3474769740407076
global_lgbm,none,tb_label_8h,8h,ETCUSDT,-0.03221658550457315,-0.03221658550457315,-0.03221658550457315,,,-0.032216585504573146,0.005478627319891802,1,0,-1.538665160634172,-0.25172173215982935,0.05138888888888889,-0.19977383366022405,141,1440,0,11520,0.5703125,0.35283226009398
global_lgbm,none,tb_label_8h,8h,ETHUSDT,-0.013694760067496883,-0.013694760067496883,-0.013694760067496883,,,-0.013694760067496878,0.001193806611899272,1,0,-1.0902620960740443,-0.1525275663495067,0.043055555555555555,-0.1525275663495067,122,1440,0,11520,0.5832465277777777,0.3518268776176709
global_lgbm,none,tb_label_8h,8h,ICPUSDT,0.025915351165787148,0.025915351165787148,0.025915351165787148,,,0.02591535116578714,0.009946225744537403,1,0,0.11658974569767012,-0.13896209898850412,0.027777777777777776,0.006264795939280976,80,1440,0,11520,0.5643229166666667,0.3447090911329254
global_lgbm,none,tb_label_8h,8h,LINKUSDT,-0.038329703503576174,-0.038329703503576174,-0.038329703503576174,,,-0.03832970350357615,-0.0009728325251248425,1,0,0.1641716160244628,-0.1367397631341136,0.05,0.0177984546628307,141,1440,0,11520,0.5751736111111111,0.35323686489628575
global_lgbm,none,tb_label_8h,8h,LTCUSDT,-0.02190774089265955,-0.02190774089265955,-0.02190774089265955,,,-0.02190774089265953,0.009219950616773944,1,0,-0.08337118073911634,-0.1152890464895463,0.06215277777777778,-0.02505980691064502,168,1440,0,11520,0.5841145833333333,0.36111654759795103
global_lgbm,none,tb_label_8h,8h,NEARUSDT,-0.004650276115836356,-0.004650276115836356,-0.004650276115836356,,,-0.004650276115836344,-0.01394265830808829,1,0,-1.401512885304062,-0.2011708243298419,0.03125,-0.2011708243298419,87,1440,0,11520,0.5584201388888889,0.3403200521798225
