symbol_scope,target,horizon,method,regime_method,IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
BTCUSDT,tb_label_24h,24h,global_lgbm,none,-0.0052890705813171,0.4789351851851852,0.3903177887370766,-1.0437436874553092,-0.9999310281893384,0.1070987654320987,-0.9999227122253668,2474,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_contrastive,contrastive,-0.016991694423392,0.4676697530864197,0.3985140567609033,-0.6909501480462024,-0.9993865147339652,0.1246527777777777,-0.9992698462032014,2744,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0133579015832023,0.4735339506172839,0.4043018204761777,-0.211292918225213,-0.993500125520483,0.128858024691358,-0.9495059888545272,2818,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_hmm,hmm,0.0129843198405348,0.4722993827160494,0.3977565070970787,-0.2861367397409859,-0.9956511789030688,0.1489583333333333,-0.9769912107932632,3244,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,0.0031956475229486,0.4790895061728395,0.4016464815762277,-0.2528891628163779,-0.9835631733997288,0.1489197530864197,-0.9640487551608132,3202,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0038017963013888,0.4781635802469136,0.4020452917786464,-0.30928135402591,-0.9983119125786504,0.142824074074074,-0.981115783888512,3138,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_kmeans,kmeans,0.0175415354705515,0.4762345679012346,0.4017471303596163,-0.3066979596094969,-0.9902659601215916,0.158179012345679,-0.9794522594022338,3441,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_vol_bucket,vol_bucket,0.011377723767003,0.4626543209876543,0.3931603644041773,-0.3014351579294398,-0.9988765971341608,0.1466049382716049,-0.9790658278839124,3187,12960
BTCUSDT,tb_label_4h,4h,global_lgbm,none,-0.0109216177701385,0.6180555555555556,0.36135345733884,-1.6839826136929228,-0.7639882509170839,0.0541666666666666,-0.7621339775704972,1324,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_contrastive,contrastive,-0.0193514299725189,0.6061728395061728,0.3698237040854411,-1.1749299405834488,-0.7551134803326682,0.0774691358024691,-0.6878104711526505,1880,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0215850022407426,0.6023148148148149,0.371119285314286,-1.60952659396857,-0.8354336506083704,0.084645061728395,-0.8261252268845074,2040,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_hmm,hmm,0.0016497110340001,0.6087191358024692,0.3696796964933648,-0.9929674404527208,-0.7711561333789838,0.0790895061728395,-0.645776560135777,1878,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.007321435857901,0.6049382716049383,0.3687506965797891,-1.3764697604779057,-0.7759185969120264,0.0867283950617284,-0.7717784172070161,2022,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0057858910142492,0.6065586419753086,0.3716735744562183,-0.8371972930631127,-0.7016978835044128,0.0830246913580246,-0.6015818264793962,1989,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_kmeans,kmeans,-0.0002982535235004,0.6117283950617284,0.3745199625674458,-1.4943750535297056,-0.8266454492941999,0.0861882716049382,-0.7903078465655127,2071,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_vol_bucket,vol_bucket,-0.0025726745973435,0.5994598765432099,0.3726412772308249,-1.5057227910692388,-0.8216846647771009,0.0920524691358024,-0.8034729378003095,2156,12960
BTCUSDT,tb_label_8h,8h,global_lgbm,none,-0.0114865143292769,0.5617283950617284,0.3703132303468504,-1.070028047931701,-0.9071436358724004,0.0722222222222222,-0.8955045693382566,1719,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_contrastive,contrastive,-0.0035290862609153,0.5413580246913581,0.3767460633775255,-0.5457146331090871,-0.8122094489460786,0.0989969135802469,-0.7615205831201401,2306,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0065541124297064,0.5388888888888889,0.3747369596068382,-0.9796928697539744,-0.9440656032775792,0.0991512345679012,-0.9211752737877098,2320,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_hmm,hmm,-0.0060404599402507,0.5491512345679013,0.3740913671810466,-0.9071410164264632,-0.8914470902772538,0.1000771604938271,-0.8813693165283326,2329,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,0.0003666398535829,0.549537037037037,0.3780372107214956,-0.9222972508561772,-0.9205142962013048,0.101929012345679,-0.8943455873908956,2344,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,-0.0044500854882207,0.5510802469135803,0.3789055223941531,-0.7641709597003334,-0.9091670720066712,0.1012345679012345,-0.8588311438696252,2337,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_kmeans,kmeans,-0.0034143328919185,0.5513117283950617,0.3788505608710042,-0.7054413177346303,-0.8662999323198342,0.1112654320987654,-0.8314771533772671,2586,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_vol_bucket,vol_bucket,-0.0180189191679937,0.5393518518518519,0.3733738250445813,-1.2936963374568755,-0.9781553682423064,0.1078703703703703,-0.9634726220547634,2490,12960
BTCUSDT+ETHUSDT,tb_label_24h,24h,global_lgbm,none,0.011116900399905,0.4936342592592592,0.3875952111416326,-0.3243690993202361,-0.995847002601872,0.0824652777777777,-0.9516673670277584,3954,25920
BTCUSDT+ETHUSDT,tb_label_24h,24h,regime_lgbm_contrastive,contrastive,-0.0112263112100159,0.4890432098765432,0.3995248960797399,-0.5373683031692936,-0.9976618261757422,0.1051890432098765,-0.9952817412313452,4792,25920
BTCUSDT+ETHUSDT,tb_label_24h,24h,regime_lgbm_contrastive_hmm,contrastive_hmm,0.0310982925191097,0.4905864197530864,0.403402777103207,0.2561648925369303,-0.964289762866674,0.1031635802469135,2.163321905957853,4723,25920
BTCUSDT+ETHUSDT,tb_label_24h,24h,regime_lgbm_hmm,hmm,0.027235894682262,0.4900462962962963,0.3969395503291564,0.1943818921255418,-0.9358149950870196,0.1178819444444444,0.9335133358035348,5399,25920
BTCUSDT+ETHUSDT,tb_label_24h,24h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,0.0153482819024823,0.4923225308641975,0.399307696268344,-0.0515029150543876,-0.968547969829551,0.1202739197530864,-0.71590793681154,5400,25920
BTCUSDT+ETHUSDT,tb_label_24h,24h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0216270268265608,0.4875,0.3965212275154481,0.1430395076797413,-0.9668896325930476,0.1241512345679012,0.2577783801129023,5633,25920
BTCUSDT+ETHUSDT,tb_label_24h,24h,regime_lgbm_kmeans,kmeans,0.0152523761495808,0.4902391975308642,0.3964629331158955,-0.3442621879608019,-0.9975780000202412,0.1265432098765432,-0.975806932474781,5788,25920
BTCUSDT+ETHUSDT,tb_label_24h,24h,regime_lgbm_vol_bucket,vol_bucket,0.0264357801024051,0.4842978395061728,0.396888087011851,0.3212650995455179,-0.9153570595238186,0.1182291666666666,4.25272247696436,5388,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,global_lgbm,none,-0.0023477244678629,0.6295138888888889,0.350843570481066,-1.172121358002852,-0.4421055274932503,0.0304012345679012,-0.4315449185206633,1505,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,regime_lgbm_contrastive,contrastive,-0.0192260188701482,0.6217592592592592,0.3600865413777719,-1.047521880198552,-0.5509138902744517,0.0514274691358024,-0.5184446986495347,2516,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0064020181917536,0.6173996913580246,0.3580841748064483,-1.0291312638877568,-0.5287386592338964,0.053858024691358,-0.5186303480496279,2638,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,regime_lgbm_hmm,hmm,0.0072496764611882,0.6206404320987654,0.3579702076179002,-0.2051837879260191,-0.4357167970682621,0.0540895061728395,-0.1928455801449456,2651,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.0087642783800242,0.6184413580246914,0.3556594982898156,-1.790884392654606,-0.7117412916364801,0.0550925925925925,-0.6942873206929134,2675,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0106050137200409,0.6187114197530864,0.3614634351968082,-0.5613837602145832,-0.5222820241611064,0.0613811728395061,-0.3848959598757087,2960,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,regime_lgbm_kmeans,kmeans,-0.0035541689054684,0.6237654320987654,0.3609858812625861,-1.0089516853361151,-0.5552155192409437,0.0538966049382716,-0.5303432503578263,2653,25920
BTCUSDT+ETHUSDT,tb_label_4h,4h,regime_lgbm_vol_bucket,vol_bucket,0.0103333471731202,0.6177854938271605,0.3622577618358298,-1.0476979890766882,-0.6318108247542205,0.0626543209876543,-0.5771559615742192,3058,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,global_lgbm,none,0.0023703562458437,0.5735725308641976,0.3624606719068048,-0.5056219225895547,-0.6883972816511268,0.0503086419753086,-0.5573395028767264,2482,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,regime_lgbm_contrastive,contrastive,-0.0110019719214156,0.5622685185185186,0.370753964631471,-0.8335982148791298,-0.9259807359213929,0.0737268518518518,-0.8229074340958306,3520,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0026100348996625,0.5623070987654321,0.3729774827975252,-0.5476144504540091,-0.7780515380365126,0.0765046296296296,-0.6848021686090797,3642,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,regime_lgbm_hmm,hmm,0.0051131260178874,0.5623070987654321,0.3697774983564239,-0.3404628502108155,-0.709592437948333,0.0788966049382716,-0.5363810345641582,3737,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.0091634742137621,0.5600308641975309,0.3669165121814193,-0.9763733673068326,-0.9002993859947188,0.0787229938271605,-0.8541252618056142,3725,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.009447332822012,0.5623070987654321,0.3743467236437301,0.0989498157553059,-0.6141311494707745,0.0844521604938271,0.0305549845610433,3970,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,regime_lgbm_kmeans,kmeans,0.0071587030184053,0.5671682098765433,0.3704297325621096,-0.7282207507218766,-0.8596904484258454,0.0808256172839506,-0.797409202887266,3844,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,regime_lgbm_vol_bucket,vol_bucket,-0.0019842160448649,0.5569830246913581,0.3678924359920577,-0.8202732207638613,-0.85403751215474,0.0829089506172839,-0.8204036902129452,3916,25920
ETHUSDT,tb_label_24h,24h,global_lgbm,none,0.0348220131291684,0.5039351851851852,0.4002435732000727,0.3542083621255878,-0.9911136613324272,0.080054012345679,8.124619152229137,1916,12960
ETHUSDT,tb_label_24h,24h,regime_lgbm_contrastive,contrastive,0.0018801280764402,0.4768518518518518,0.3856693248340414,-0.1680024703481759,-0.999651125369526,0.1081018518518518,-0.9932337866257558,2490,12960
ETHUSDT,tb_label_24h,24h,regime_lgbm_contrastive_hmm,contrastive_hmm,0.0123615753447609,0.4845679012345679,0.3964238269604219,-0.1407001625480147,-0.9995694900223294,0.1076388888888889,-0.990903337354246,2478,12960
ETHUSDT,tb_label_24h,24h,regime_lgbm_hmm,hmm,0.0280097078566847,0.4873456790123456,0.3940168073144569,0.140829267805318,-0.9969992350106252,0.1201388888888888,-0.4193864324314186,2760,12960
