regime_method,n_rows,n_folds,n_symbols,n_regimes,switch_rate,avg_duration,median_duration,mean_confidence,regime_balance_entropy
contrastive,230400,16,20,4,0.04630642361111111,20.966420966420966,12.0,0.8220419683659645,0.9941133152689111
contrastive_hmm,230400,16,20,4,0.06577690972222222,14.888529886914379,1.0,0.8792400713913695,0.9957814451204323
hmm,230400,16,20,4,0.2033984375,4.8831146811351545,2.0,0.9278074265780402,0.9842446806079453
hmm_guided_gmm,230400,16,20,4,0.07452256944444445,13.173241852487136,4.0,0.9689162667087554,0.9974239232083799
hmm_guided_hmm,230400,16,20,4,0.06831597222222222,14.346201743462018,6.0,0.9885362550188656,0.992673853059985
kmeans,230400,16,20,4,0.21328993055555556,4.658121386114593,2.0,1.0,0.9916657598824943
vol_bucket,230400,16,20,4,0.09021267361111111,10.91684434968017,6.0,1.0,0.9765836408407426
