method,regime_method,IC_offline,IC_fold_local,delta_IC,Sharpe_offline,Sharpe_fold_local,delta_Sharpe,drawdown_offline,drawdown_fold_local,delta_drawdown,n_test_rows_offline,n_test_rows_fold_local
global_lgbm,none,0.0023703562458437,0.002370356245843731,3.0791341698588326e-17,-0.5056219225895547,-0.5056219225895547,0.0,-0.6883972816511268,-0.6883972816511268,0.0,25920,25920
regime_lgbm_contrastive,contrastive,-0.016458012283934,-0.01100197192141564,0.00545604036251836,-0.9018987490299692,-0.8335982148791298,0.06830053415083948,-0.909334349378822,-0.9259807359213929,-0.01664638654257089,25920,25920
regime_lgbm_contrastive_hmm,contrastive_hmm,0.0034571285406471,-0.0026100348883464257,-0.006067163428993525,-0.3820157432212913,-0.5476144504540091,-0.16559870723271786,-0.8518284227276632,-0.7780515380365126,0.07377688469115062,25920,25920
regime_lgbm_hmm,hmm,0.0050902831798771,0.005113126020315826,2.2842840438725906e-05,-0.2294191607366667,-0.3404628502108155,-0.1110436894741488,-0.8245836933196973,-0.709592437948333,0.11499125537136423,25920,25920
regime_lgbm_kmeans,kmeans,-0.00128881560494,0.007158703018405389,0.008447518623345389,-1.1802936490176827,-0.7282207507218766,0.4520728982958061,-0.9201638409302656,-0.8596904484258454,0.06047339250442019,25920,25920
regime_lgbm_vol_bucket,vol_bucket,-0.0029696806082913,-0.0019842160448649117,0.0009854645634263881,-0.987933625126428,-0.8202732207638613,0.16766040436256668,-0.8957213254318006,-0.85403751215474,0.04168381327706061,25920,25920
