benchmark,method,default_sharpe,default_total_return,default_turnover,high_cost_threshold_sharpe,high_cost_threshold_total_return,best_sharpe,worst_sharpe,best_total_return,worst_total_return,positive_return_cells,stress_cells
phase39r_repaired_neural,global_lgbm,-0.29530955136493675,-0.027836689799519143,0.05588541666666667,-2.3365717403498727,-0.16421589339647225,0.5910599323425393,-3.076242884624184,0.039827859936269805,-0.23641319665683935,5,16
phase39r_repaired_neural,regime_lgbm_hmm,-0.5956838545255877,-0.060080907571667064,0.07809027777777777,-3.2446666050634034,-0.25360211240446984,0.2617029556635645,-4.0050916578056,0.021407923936988205,-0.32930112909916287,3,16
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,-0.6024556405139526,-0.05368827650981123,0.08234375,-4.3398206245274755,-0.299001524802905,0.11782145695060385,-4.6595120634397516,0.007336213220314747,-0.3370240879433589,2,16
phase39r_repaired_neural,regime_lgbm_kmeans,-0.6394483799662647,-0.05532150771584354,0.07506944444444444,-3.4096458819883235,-0.23893255959909254,0.4230943636966398,-4.4524595523511,0.029812776884121428,-0.31701307936530543,3,16
phase39r_repaired_neural,regime_lgbm_vol_bucket,-0.8750332551706879,-0.08140149297627997,0.08850694444444444,-4.000400586068884,-0.2842220996954029,0.32269679805884327,-4.9269759964523345,0.024438917694319384,-0.37336893562976714,2,16
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,-1.002246078341607,-0.08860659427064699,0.08126736111111112,-4.481965086903622,-0.31711855072242856,-0.25619859227066955,-4.909250119021854,-0.02501856170422634,-0.3584970516297107,0,16
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,-1.2450706467283927,-0.09579210833325025,0.07381944444444444,-4.576073691780677,-0.29291130256065934,-0.20583894313129747,-5.227812534994826,-0.01541590936706383,-0.342760431747954,0,16
phase39r_repaired_neural,regime_lgbm_contrastive,-1.4455209793989372,-0.11299689036541871,0.06958333333333333,-3.897795214211653,-0.25505458487705035,-0.2767577442735081,-5.109658234073962,-0.02190921301385107,-0.34334875509638474,0,16
phase41b_classical_candidates,global_lgbm,-0.2605315342620962,-0.022905977992834337,0.04842013888888889,-2.3123905719022155,-0.1502357746431644,0.5279691337027254,-2.8641142772939103,0.03244946204624766,-0.20737437173928497,5,16
phase41b_classical_candidates,regime_lgbm_vol_bucket,-0.40428138931325586,-0.0381865738784295,0.07032986111111111,-3.261099523707583,-0.22400801513265256,0.3176427656328572,-3.7883909659533472,0.02415343772255074,-0.2902600569717434,3,16
phase41b_classical_candidates,regime_lgbm_kmeans,-0.523112136706594,-0.04380156433485516,0.06078125,-2.855063362204104,-0.1913098702426389,0.46731241413161223,-3.7616881278901975,0.030319861967411432,-0.26465073896002456,4,16
phase41b_classical_candidates,regime_lgbm_hmm,-0.5863204755053719,-0.053579561836707645,0.06286458333333333,-3.2821903150401437,-0.23590942011031446,0.06573522440524283,-3.605611642062181,0.0028546316370563485,-0.2787333650287924,1,16
