method,target,horizon,regime_method,symbol_scope,IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT,0.002370356245843731,0.5735725308641976,0.36246067190680487,-0.5056219225895547,-0.6883972816511268,0.05030864197530864,-0.5573395028767264,2482,25920
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT,-0.016458012283934037,0.5616126543209876,0.37237389684856503,-0.9018987490299692,-0.9093343493788221,0.07673611111111112,-0.8552327315014808,3659,25920
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,BTCUSDT+ETHUSDT,0.0034571285406471306,0.5584876543209877,0.3720132813150984,-0.38201574322129134,-0.8518284227276632,0.07897376543209876,-0.5884364584511033,3787,25920
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT,0.005090283179877187,0.5621913580246913,0.37271436377333655,-0.22941916073666677,-0.8245836933196973,0.08051697530864198,-0.4455366222795972,3783,25920
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT,-0.0012888156049400544,0.5646604938271605,0.366972125098642,-1.1802936490176827,-0.9201638409302655,0.0793016975308642,-0.9122595651638101,3776,25920
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT,-0.0029696806082913697,0.5565586419753087,0.3669563278554598,-0.9879336251264279,-0.8957213254318006,0.08346836419753087,-0.8718927813500867,3936,25920
