method,regime_method,target,horizon,fold,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,none,tb_label_8h,8h,1,-0.07318056720277569,-0.07318056720277569,-0.08027264780845077,-0.009707523729884869,-0.007954542348740105,-0.057716713060398224,0.0238252128739551,20,720,2.7350804930317514,-0.013097785006018436,0.04666666666666667,0.018513248734839616,166,90,0,14400,0.5841666666666666,0.35032000458812945
global_lgbm,none,tb_label_8h,8h,2,0.030409353552887652,0.030409353552887652,0.0337305295559788,0.008792268749392118,0.01638130991467901,0.029131153594200022,0.011766807103325363,20,720,-0.8755029085463816,-0.01076985951330436,0.0475,-0.0034260967214995164,169,90,0,14400,0.5660416666666667,0.3459146588677416
global_lgbm,none,tb_label_8h,8h,3,0.021019341917424626,0.021019341917424626,0.021407150006265762,-0.06139027151901219,-0.06927471312893355,0.028862292987623456,-0.008411344372494143,20,720,1.431740215876095,-0.013455149509648923,0.06555555555555556,0.008475110586127155,232,90,0,14400,0.5579861111111111,0.35188623785855105
global_lgbm,none,tb_label_8h,8h,4,-0.0799764629714816,-0.0799764629714816,-0.0721959900710026,-0.06905805031967524,-0.08509026578472219,-0.0683220413853926,-0.045809417620079215,20,720,-4.88160179617763,-0.03629772061179877,0.04055555555555555,-0.03324998714544136,146,90,0,14400,0.5503472222222222,0.34164946026896265
global_lgbm,none,tb_label_8h,8h,5,0.010693052441068525,0.010693052441068525,-0.0004894704419289514,-0.05764571705065024,-0.05394143558379026,0.013443741520559938,0.01902019832266722,20,720,0.48286577134161307,-0.01254176527736983,0.043611111111111114,0.0023027791182650414,156,90,0,14400,0.5760416666666667,0.3573726270276478
global_lgbm,none,tb_label_8h,8h,6,0.015674768076294553,0.015674768076294553,0.008881084697714215,0.015989089181682566,0.009764527620965524,0.01919258282320058,0.0059357102760082756,20,720,1.730181843193644,-0.00624577546333121,0.022222222222222223,0.003960245489595282,79,90,0,14400,0.5616666666666666,0.34439777286963974
global_lgbm,none,tb_label_8h,8h,7,-0.06848900422308173,-0.06848900422308173,-0.08373751683838732,-0.027397162181479768,-0.02752238153987325,-0.06928807109045436,-0.018311742873782448,20,720,-4.774712374112577,-0.01535130887879752,0.02861111111111111,-0.01294660556968974,103,90,0,14400,0.5656944444444445,0.3402771786499914
global_lgbm,none,tb_label_8h,8h,8,0.024829685804710216,0.024829685804710216,0.018478845848261247,-0.004861961743922164,-0.013658261309779346,0.029238056911396526,0.03318276049385997,20,720,0.7285634233974073,-0.005212573315377573,0.03333333333333333,0.0014247746615414503,119,90,0,14400,0.5621527777777777,0.3464954272764213
global_lgbm,none,tb_label_8h,8h,9,0.06697615823706067,0.06697615823706067,0.06485150333952647,0.05813042721944824,0.06524249544211738,0.08571993811122786,0.035959509609327714,20,720,1.2348459266567022,-0.011162790912449205,0.015555555555555555,0.009024934132652485,56,90,0,14400,0.5754166666666667,0.33941361288195404
global_lgbm,none,tb_label_8h,8h,10,-0.09244502808788872,-0.09244502808788872,-0.07242766828038474,0.0010841351116888086,-0.014239769569621849,-0.07580315731209852,0.008493257861353121,20,720,-2.3314008877010024,-0.009340059200048966,0.021111111111111112,-0.0049311476464237725,76,90,0,14400,0.5986805555555555,0.3432487996747778
global_lgbm,none,tb_label_8h,8h,11,-0.042230495568168255,-0.042230495568168255,-0.04501646330671549,-0.017520259497773492,-0.0279916162922339,-0.04147260017916796,-0.017223457444116706,20,720,2.991461288484504,-0.01524505823593574,0.06194444444444445,0.014522548859464912,217,90,0,14400,0.5738888888888889,0.3550986030848804
global_lgbm,none,tb_label_8h,8h,12,-0.037697583918396824,-0.037697583918396824,-0.023109518464207335,0.018702725295541914,0.024288497088525214,-0.02886787482804938,0.05154215083964435,20,720,-0.07961403651486604,-0.018481214816859142,0.03722222222222222,-0.0005975171254424261,133,90,0,14400,0.5795833333333333,0.35705728060936215
global_lgbm,none,tb_label_8h,8h,13,-0.0603980652383873,-0.0603980652383873,-0.06903066025904848,0.007106368355626722,0.005542641069650939,-0.05301896644083135,-0.008831015666703825,20,720,-4.2973529502246315,-0.018298254966589298,0.023055555555555555,-0.014250169559410275,82,90,0,14400,0.5572916666666666,0.34261680242761544
global_lgbm,none,tb_label_8h,8h,14,-0.016927425406574513,-0.016927425406574513,-0.013067221498864127,-0.010490197089117866,-0.020364091227974584,-0.018654688577342444,-0.009082385797582438,20,720,3.2921003317342947,-0.010400712250639285,0.043611111111111114,0.019065507721727437,155,90,0,14400,0.5554861111111111,0.3443176439937439
