fold,encoder_method,stage,epoch,train_loss,validation_loss,loss,train_valid_anchor_pct,train_positive_pair_count,train_hard_negative_pair_count,validation_valid_anchor_pct,validation_positive_pair_count,validation_hard_negative_pair_count,valid_anchor_pct,positive_pair_count,hard_negative_pair_count
3,vanilla,inner_selection,3,0.147990946561913,2.408420652151108,,,,,,,,,,
3,vanilla,inner_selection,4,0.11112776712398045,2.3175420999526977,,,,,,,,,,
3,vanilla,inner_selection,5,0.09433598440737115,2.321288025379181,,,,,,,,,,
3,vanilla,inner_selection,6,0.08567489422675863,2.2937320560216903,,,,,,,,,,
3,vanilla,inner_selection,7,0.07811065168352797,2.2354056984186172,,,,,,,,,,
3,vanilla,inner_selection,8,0.07274507600232027,2.254971522092819,,,,,,,,,,
3,vanilla,inner_selection,9,0.07432659868791233,2.235386911034584,,,,,,,,,,
3,vanilla,inner_selection,10,0.07020717613413581,2.2395437896251678,,,,,,,,,,
3,vanilla,inner_selection,11,0.06967615223657049,2.2290929734706877,,,,,,,,,,
3,vanilla,inner_selection,12,0.0662805677682627,2.1769951075315475,,,,,,,,,,
3,vanilla,inner_selection,13,0.06200212899129838,2.168164473772049,,,,,,,,,,
3,vanilla,inner_selection,14,0.06496737786619633,2.1695272833108903,,,,,,,,,,
3,vanilla,inner_selection,15,0.06536230954225175,2.1875076621770857,,,,,,,,,,
3,vanilla,inner_selection,16,0.06297852364659776,2.1745112955570223,,,,,,,,,,
3,vanilla,outer_refit,1,,,0.8937270427682961,,,,,,,,,
3,vanilla,outer_refit,2,,,0.20809831721708177,,,,,,,,,
3,vanilla,outer_refit,3,,,0.13983877816936002,,,,,,,,,
3,vanilla,outer_refit,4,,,0.11099354426842183,,,,,,,,,
3,vanilla,outer_refit,5,,,0.08792700501799118,,,,,,,,,
3,vanilla,outer_refit,6,,,0.09087653735768982,,,,,,,,,
3,vanilla,outer_refit,7,,,0.07982547855353914,,,,,,,,,
3,vanilla,outer_refit,8,,,0.07245262002106756,,,,,,,,,
3,vanilla,outer_refit,9,,,0.0734397193067707,,,,,,,,,
3,vanilla,outer_refit,10,,,0.07057185970479622,,,,,,,,,
3,vanilla,outer_refit,11,,,0.069195901677449,,,,,,,,,
3,vanilla,outer_refit,12,,,0.06714537598309107,,,,,,,,,
3,vanilla,outer_refit,13,,,0.06365313472815615,,,,,,,,,
3,guided,inner_selection,1,1.0128708958625794,1.8439478933811189,,0.996875,4248.05,3.8,0.9822265625,4400.65,1017.05,,,
3,guided,inner_selection,2,0.9583205968141556,1.7969988018274308,,1.0,4245.55,3.55,0.9822265625,4400.65,1017.05,,,
3,guided,inner_selection,3,0.991950909793377,1.7885994523763658,,0.996875,4234.55,4.05,0.9822265625,4400.65,1017.05,,,
3,guided,inner_selection,4,0.9208111345767975,1.8568248242139815,,0.996875,4238.95,3.0,0.9822265625,4400.65,1017.05,,,
3,guided,inner_selection,5,0.9313148707151413,1.8254703819751739,,0.996875,4249.7,3.7,0.9822265625,4400.65,1017.05,,,
3,guided,inner_selection,6,0.8313716512639076,1.8971310168504716,,0.996875,4239.35,3.4,0.9822265625,4400.65,1017.05,,,
3,guided,outer_refit,1,,,1.0459134474396705,,,,,,,0.996875,4315.35,2.6
3,guided,outer_refit,2,,,0.9504655808210373,,,,,,,0.996875,4299.15,2.75
3,guided,outer_refit,3,,,0.9532318040728569,,,,,,,0.996875,4315.1,2.8
4,vanilla,inner_selection,1,0.5507332756882534,2.4580595076084135,,,,,,,,,,
4,vanilla,inner_selection,2,0.1551183870760724,2.343457669019699,,,,,,,,,,
4,vanilla,inner_selection,3,0.11676718203816563,2.3235003739595412,,,,,,,,,,
4,vanilla,inner_selection,4,0.09496286050416529,2.287920358777046,,,,,,,,,,
4,vanilla,inner_selection,5,0.08269035959383472,2.271143165230751,,,,,,,,,,
4,vanilla,inner_selection,6,0.08429085466486867,2.2341378957033156,,,,,,,,,,
4,vanilla,inner_selection,7,0.07478807093575597,2.2469364583492277,,,,,,,,,,
4,vanilla,inner_selection,8,0.07784939762204886,2.230975368618965,,,,,,,,,,
4,vanilla,inner_selection,9,0.07168351063446607,2.2185936480760575,,,,,,,,,,
4,vanilla,inner_selection,10,0.07052167058645864,2.1894150376319885,,,,,,,,,,
4,vanilla,inner_selection,11,0.0661081894126255,2.193061372637749,,,,,,,,,,
4,vanilla,inner_selection,12,0.06391715698628105,2.205139529705048,,,,,,,,,,
4,vanilla,inner_selection,13,0.06496666540551814,2.181934490799904,,,,,,,,,,
4,vanilla,inner_selection,14,0.06636269696173258,2.1582137018442156,,,,,,,,,,
4,vanilla,inner_selection,15,0.054883070924552156,2.161379039287567,,,,,,,,,,
4,vanilla,inner_selection,16,0.06101166364387609,2.156987988948822,,,,,,,,,,
4,vanilla,inner_selection,17,0.056848282874125286,2.138941138982773,,,,,,,,,,
4,vanilla,inner_selection,18,0.059466184431221335,2.1402031987905503,,,,,,,,,,
4,vanilla,inner_selection,19,0.0597557261975453,2.1386704415082933,,,,,,,,,,
4,vanilla,inner_selection,20,0.060162952438986395,2.1508753538131713,,,,,,,,,,
4,vanilla,inner_selection,21,0.053481375722913074,2.13149094581604,,,,,,,,,,
4,vanilla,inner_selection,22,0.05290791623992845,2.12829427421093,,,,,,,,,,
4,vanilla,inner_selection,23,0.05510347324889153,2.136864882707596,,,,,,,,,,
4,vanilla,inner_selection,24,0.051369344592967534,2.1135747104883196,,,,,,,,,,
4,vanilla,inner_selection,25,0.054155821811582426,2.1139453023672106,,,,,,,,,,
4,vanilla,inner_selection,26,0.05497371631790884,2.118092727661133,,,,,,,,,,
4,vanilla,inner_selection,27,0.054909755471453534,2.1263151824474336,,,,,,,,,,
4,vanilla,outer_refit,1,,,0.7755401942878961,,,,,,,,,
4,vanilla,outer_refit,2,,,0.1832805922953412,,,,,,,,,
4,vanilla,outer_refit,3,,,0.12571113362791947,,,,,,,,,
4,vanilla,outer_refit,4,,,0.10822338851576205,,,,,,,,,
4,vanilla,outer_refit,5,,,0.08624246161198243,,,,,,,,,
4,vanilla,outer_refit,6,,,0.08043501530628419,,,,,,,,,
4,vanilla,outer_refit,7,,,0.0772559323857422,,,,,,,,,
4,vanilla,outer_refit,8,,,0.07034332894836552,,,,,,,,,
4,vanilla,outer_refit,9,,,0.0738206479094515,,,,,,,,,
4,vanilla,outer_refit,10,,,0.06308011795044877,,,,,,,,,
4,vanilla,outer_refit,11,,,0.06492233224707888,,,,,,,,,
4,vanilla,outer_refit,12,,,0.06446588421240448,,,,,,,,,
4,vanilla,outer_refit,13,,,0.0633933007477026,,,,,,,,,
4,vanilla,outer_refit,14,,,0.06058526166834781,,,,,,,,,
4,vanilla,outer_refit,15,,,0.06225029438792262,,,,,,,,,
4,vanilla,outer_refit,16,,,0.05957668064511381,,,,,,,,,
4,vanilla,outer_refit,17,,,0.05624063928262331,,,,,,,,,
4,vanilla,outer_refit,18,,,0.05986077132693026,,,,,,,,,
4,vanilla,outer_refit,19,,,0.054485199577538876,,,,,,,,,
4,vanilla,outer_refit,20,,,0.05561530185805168,,,,,,,,,
4,vanilla,outer_refit,21,,,0.05615024798316881,,,,,,,,,
4,vanilla,outer_refit,22,,,0.05225148562240065,,,,,,,,,
4,vanilla,outer_refit,23,,,0.05716944757150486,,,,,,,,,
4,vanilla,outer_refit,24,,,0.056946570897707716,,,,,,,,,
4,guided,inner_selection,1,0.9947992593050003,1.8669632107019425,,0.996875,4380.55,3.35,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,2,0.8579409249126911,1.7094679743051528,,0.996875,4389.0,3.2,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,3,0.8530313730239868,1.7845056653022766,,0.99375,4386.8,2.6,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,4,0.7953388467431068,1.737371802330017,,0.99375,4398.25,2.85,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,5,0.7672252811491489,1.6758627265691757,,0.99375,4392.6,3.35,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,6,0.7372768927365542,1.705185168981552,,0.996875,4378.85,3.95,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,7,0.7206554137170315,1.5953322410583497,,0.99375,4399.9,2.65,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,8,0.7190200418233872,1.5385240644216538,,0.996875,4400.65,2.85,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,9,0.6868937522172928,1.5345296755433082,,0.99375,4393.65,2.35,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,10,0.6208015337586403,1.4757356882095336,,0.996875,4411.0,3.0,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,11,0.576596312224865,1.3718512043356896,,0.996875,4399.05,2.9,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,12,0.4993241467855114,1.251391553878784,,1.0,4409.4,3.05,0.9845703125,4320.55,997.15,,,
