symbol,horizon,label_type,source_rows,target_rows,missing_rows,expected_horizon_loss,neutral_pct,down_pct,up_pct
FILUSDT,4h,dir,17460,17436,24,24,0.24323239275063088,0.38374627208075246,0.37302133516861663
FILUSDT,4h,tb,17460,17436,24,24,0.623136040376233,0.19362239045652674,0.1832415691672402
FILUSDT,8h,dir,17460,17436,24,24,0.2326221610461115,0.38982564808442305,0.37755219086946545
FILUSDT,8h,tb,17460,17436,24,24,0.5705437026841018,0.22046340903877035,0.20899288827712778
FILUSDT,24h,dir,17460,17436,24,24,0.22086487726542786,0.4020991052993806,0.37703601743519155
FILUSDT,24h,tb,17460,17436,24,24,0.4855471438403304,0.2686969488414774,0.24575590731819225
ARBUSDT,4h,dir,17460,17436,24,24,0.23302362927276898,0.39160357880247765,0.37537279192475337
ARBUSDT,4h,tb,17460,17436,24,24,0.6130993347097958,0.19574443679743062,0.19115622849277358
ARBUSDT,8h,dir,17460,17436,24,24,0.22206928194540032,0.4004358797889424,0.3774948382656573
ARBUSDT,8h,tb,17460,17436,24,24,0.5628584537738013,0.22149575590731818,0.21564579031888048
ARBUSDT,24h,dir,17460,17436,24,24,0.214441385638908,0.41265198440009176,0.3729066299610002
ARBUSDT,24h,tb,17460,17436,24,24,0.48233539802707043,0.27351456756136727,0.24415003441156227
OPUSDT,4h,dir,17460,17436,24,24,0.23199128240422115,0.39355356733195684,0.374455150263822
OPUSDT,4h,tb,17460,17436,24,24,0.6144184445973847,0.1948267951364992,0.19075476026611607
OPUSDT,8h,dir,17460,17436,24,24,0.2210942876806607,0.3963638449185593,0.38254186740078
OPUSDT,8h,tb,17460,17436,24,24,0.5667584308327598,0.22052076164257858,0.21272080752466163
OPUSDT,24h,dir,17460,17436,24,24,0.20973847212663455,0.4132828630419821,0.37697866483138337
OPUSDT,24h,tb,17460,17436,24,24,0.48239275063087866,0.2728263363156687,0.24478091305345262
INJUSDT,4h,dir,17460,17436,24,24,0.23153246157375545,0.39567561367286075,0.3727919247533838
INJUSDT,4h,tb,17460,17436,24,24,0.6141316815783436,0.19098417068134893,0.1948841477403074
INJUSDT,8h,dir,17460,17436,24,24,0.2246501491167699,0.39464326680431294,0.38070658407891717
INJUSDT,8h,tb,17460,17436,24,24,0.5641775636613903,0.21467079605414086,0.2211516402844689
INJUSDT,24h,dir,17460,17436,24,24,0.21512961688460655,0.40783436568020187,0.37703601743519155
INJUSDT,24h,tb,17460,17436,24,24,0.48153246157375545,0.25194998852947925,0.2665175498967653
ATOMUSDT,4h,dir,17460,17436,24,24,0.22969717825189265,0.39166093140628583,0.3786418903418215
ATOMUSDT,4h,tb,17460,17436,24,24,0.60719201651755,0.2001032346868548,0.19270474879559532
ATOMUSDT,8h,dir,17460,17436,24,24,0.2166207845836201,0.39837118605184674,0.38500802936453316
ATOMUSDT,8h,tb,17460,17436,24,24,0.5524776324845148,0.22855012617572837,0.21897224133975682
ATOMUSDT,24h,dir,17460,17436,24,24,0.20297086487726543,0.41873136040376235,0.37829777471897225
ATOMUSDT,24h,tb,17460,17436,24,24,0.4718398715301675,0.26892635925671027,0.2592337692131223
XLMUSDT,4h,dir,17460,17436,24,24,0.2339412709337004,0.3982564808442303,0.3678022482220693
XLMUSDT,4h,tb,17460,17436,24,24,0.6226198669419591,0.19018123422803396,0.18719889883000687
XLMUSDT,8h,dir,17460,17436,24,24,0.2294677678366598,0.40519614590502406,0.36533608625831615
XLMUSDT,8h,tb,17460,17436,24,24,0.5733539802707043,0.21604725854553797,0.21059876118375775
XLMUSDT,24h,dir,17460,17436,24,24,0.22212663454920853,0.42010782289515947,0.35776554255563203
XLMUSDT,24h,tb,17460,17436,24,24,0.5025235145675614,0.254588208304657,0.2428882771277816
ALGOUSDT,4h,dir,17460,17436,24,24,0.2241913282863042,0.4007799954117917,0.3750286763019041
ALGOUSDT,4h,tb,17460,17436,24,24,0.6059876118375774,0.19626061023170452,0.19775177793071805
ALGOUSDT,8h,dir,17460,17436,24,24,0.21851342050929112,0.40645790318880476,0.3750286763019041
ALGOUSDT,8h,tb,17460,17436,24,24,0.5532805689378297,0.22229869236063318,0.22442073870153706
ALGOUSDT,24h,dir,17460,17436,24,24,0.1993002982335398,0.4229754530855701,0.3777242486808901
ALGOUSDT,24h,tb,17460,17436,24,24,0.4720119293415921,0.2701307639366827,0.2578573067217252
AAVEUSDT,4h,dir,17460,17436,24,24,0.23405597614131682,0.3921771048405598,0.3737669190181234
AAVEUSDT,4h,tb,17460,17436,24,24,0.6141316815783436,0.1894356503785272,0.19643266804312917
AAVEUSDT,8h,dir,17460,17436,24,24,0.22436338609772882,0.39389768295480615,0.381738930947465
AAVEUSDT,8h,tb,17460,17436,24,24,0.5617687543014452,0.21415462261986695,0.22407662307868778
AAVEUSDT,24h,dir,17460,17436,24,24,0.22040605643496214,0.40404909382885984,0.375544849736178
AAVEUSDT,24h,tb,17460,17436,24,24,0.49168387244780914,0.24541179169534297,0.2629043358568479
MKRUSDT,4h,dir,10544,10520,24,24,0.22376425855513307,0.4023764258555133,0.3738593155893536
MKRUSDT,4h,tb,10544,10520,24,24,0.6076045627376426,0.20209125475285172,0.1903041825095057
MKRUSDT,8h,dir,10544,10520,24,24,0.2262357414448669,0.40275665399239546,0.3710076045627376
MKRUSDT,8h,tb,10544,10520,24,24,0.560171102661597,0.2265209125475285,0.21330798479087454
MKRUSDT,24h,dir,10544,10520,24,24,0.21121673003802283,0.41606463878326994,0.37271863117870724
MKRUSDT,24h,tb,10544,10520,24,24,0.48070342205323197,0.2600760456273764,0.25922053231939163
RUNEUSDT,4h,dir,17460,17436,24,24,0.23772654278504243,0.3956182610690525,0.366655196145905
RUNEUSDT,4h,tb,17460,17436,24,24,0.6174007799954118,0.19345033264510209,0.18914888735948612
RUNEUSDT,8h,dir,17460,17436,24,24,0.22161046111493463,0.4048520302821748,0.3735375086028906
RUNEUSDT,8h,tb,17460,17436,24,24,0.5610231704519385,0.22149575590731818,0.2174810736407433
RUNEUSDT,24h,dir,17460,17436,24,24,0.2050929112181693,0.4128240422115164,0.3820830465703143
RUNEUSDT,24h,tb,17460,17436,24,24,0.47264280798348246,0.2621587520073411,0.2651984400091764
FETUSDT,4h,dir,17460,17436,24,24,0.2303854094975912,0.4028446891488874,0.36676990135352144
FETUSDT,4h,tb,17460,17436,24,24,0.6188345950906171,0.1908694654737325,0.19029593943565037
FETUSDT,8h,dir,17460,17436,24,24,0.2272310162881395,0.4070314292268869,0.36573755448497364
FETUSDT,8h,tb,17460,17436,24,24,0.5701995870612526,0.21507226428079834,0.21472814865794906
FETUSDT,24h,dir,17460,17436,24,24,0.2050355586143611,0.4324386327139252,0.3625258086717137
FETUSDT,24h,tb,17460,17436,24,24,0.4853177334250975,0.2598646478550126,0.2548176187198899
