method,protocol,implementation,n_test_assignment_rows,n_folds,n_symbols,n_regimes,avg_regime_duration,min_regime_pct,max_regime_pct,mean_confidence
hmm,fold_local_regime_refit,fold_local_raw_feature_hmm_online_filter,230400,16,20,4,4.98463934922764,0.21238715277777778,0.26924913194444444,0.9276086962821444
kmeans,fold_local_regime_refit,fold_local_sklearn_kmeans,230400,16,20,4,4.4305136242139875,0.19223524305555556,0.28359809027777777,1.0
vol_bucket,fold_local_regime_refit,fold_local_volatility_quantiles,230400,16,20,4,10.531608538647895,0.2069314236111111,0.2884331597222222,1.0
hmm_guided_gmm,fold_local_regime_refit,fold_local_guided_embedding_gmm,230400,16,20,4,8.0203293069238,0.21358940972222223,0.3072005208333333,0.9952924884160026
hmm_guided_hmm,fold_local_regime_refit,fold_local_guided_embedding_hmm_online_filter,230400,16,20,4,8.785510009532889,0.18986545138888888,0.3093793402777778,0.995430383817111
