feature_family,n_features,mean_abs_asset_feature_target_ic,median_abs_asset_feature_target_ic,mean_pooled_feature_target_ic,max_abs_asset_feature_target_ic,top_feature,top_feature_mean_abs_asset_ic
volatility,5,0.03367854839077843,0.03180412465107832,0.02697207383135648,0.05092800780174629,gk_vol,0.05092800780174629
microstructure,2,0.029567562075782428,0.029567562075782428,0.022385363109713327,0.052174169920359614,spread_proxy,0.052174169920359614
momentum,8,0.02148070094314297,0.019071921105621854,-0.001505542655948218,0.0366700255237675,ret_dispersion,0.0366700255237675
technical_state,2,0.016300383348341975,0.016300383348341975,0.013620077824476122,0.01908485120031448,rsi_14,0.01908485120031448
distribution_shape,2,0.014224032390267127,0.014224032390267127,-0.0034180197446739818,0.014989856275463741,skewness,0.014989856275463741
liquidity_volume,3,0.010460316848826373,0.009918514101989151,0.00447696591818426,0.013917252273809414,volume_zscore,0.013917252273809414
