method,regime_method,regime,feature,feature_family,mean_gain_share,std_gain_share,mean_split_share,mean_shap_share,folds_seen,mean_train_rows,rank_within_model_regime
global_lgbm,none,all,amihud,liquidity_volume,0.01734797986448343,0.0046032469453245375,0.025377618534069724,0.03446101216679583,18,20762.0,10
global_lgbm,none,all,atr_14,volatility,0.07781696963591132,0.008455534519235976,0.07874269750937858,0.05302836087180563,18,20762.0,6
global_lgbm,none,all,bband_pct_b,technical_state,0.02041184721707646,0.0012738944037194346,0.0292512480484909,0.016416848841727092,18,20762.0,18
global_lgbm,none,all,close_vs_vwap,momentum,0.01966352761021465,0.003687466733870829,0.02793201267154493,0.017440232500378013,18,20762.0,17
global_lgbm,none,all,gk_vol,volatility,0.040480493382327655,0.005936729313367808,0.035146131188544844,0.059147012449540126,18,20762.0,5
global_lgbm,none,all,kurtosis,distribution_shape,0.06779217684096978,0.005079673738707716,0.06478556389006128,0.08088712738160998,18,20762.0,3
global_lgbm,none,all,log_vol_trend,liquidity_volume,0.013524731300001567,0.002430087580183421,0.026279683104817122,0.015778899428935927,18,20762.0,19
global_lgbm,none,all,macd_signal,momentum,0.04144200953421559,0.006155491831611818,0.05321546109984196,0.03340061591418881,18,20762.0,11
global_lgbm,none,all,ofi_proxy,microstructure,0.007853007955294432,0.001783090173336419,0.01801130925197849,0.011179671265266384,18,20762.0,21
global_lgbm,none,all,ret_15h,momentum,0.02270143697491089,0.002586234459650341,0.03198450476422299,0.022449782744880326,18,20762.0,16
global_lgbm,none,all,ret_1h,momentum,0.004670682977768316,0.0012822239938301168,0.01016705877950222,0.005832352186320295,18,20762.0,22
global_lgbm,none,all,ret_5h,momentum,0.015308645834245063,0.0025493928319569553,0.02524844749806528,0.013345193979823337,18,20762.0,20
global_lgbm,none,all,ret_60h,momentum,0.06084537677329412,0.008443520042358054,0.06767142316661008,0.05297801047528435,18,20762.0,7
global_lgbm,none,all,ret_autocorr,momentum,0.04631488701625247,0.008444172072659552,0.06341724027638712,0.036441810434619706,18,20762.0,9
global_lgbm,none,all,ret_dispersion,momentum,0.03272738402533304,0.002300094355086491,0.047155677867355354,0.027632355756973884,18,20762.0,13
global_lgbm,none,all,rsi_14,technical_state,0.02962648318473095,0.003754558901839091,0.03865290383388083,0.023241434507104572,18,20762.0,15
global_lgbm,none,all,skewness,distribution_shape,0.051151287923678915,0.007606154085498855,0.06555107108442328,0.042732165094175295,18,20762.0,8
global_lgbm,none,all,spread_proxy,microstructure,0.02186329062722299,0.0037182964466110457,0.024003674640705755,0.031806895457147884,18,20762.0,12
global_lgbm,none,all,vol_20h,volatility,0.22248535623101892,0.016971157578889354,0.10578549958392319,0.24313280291706352,18,20762.0,1
global_lgbm,none,all,vol_5h,volatility,0.028504563615231873,0.0030531217148135462,0.043210246358396286,0.0269302197391076,18,20762.0,14
global_lgbm,none,all,vol_of_vol,volatility,0.09556821432041275,0.012022211230485386,0.08230110036242556,0.08626400450039659,18,20762.0,2
global_lgbm,none,all,volume_zscore,liquidity_volume,0.061899647155404774,0.01006270882540356,0.036109426485374234,0.06547319138685487,18,20762.0,4
