method,target,horizon,regime_method,symbol_scope,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy,fold
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.059694105951765594,0.059694105951765594,0.059258436786070026,-0.0004374568735182728,-0.0374519701040811,0.05618544784052887,0.010297188797201706,10,720,-1.0851249676124761,-0.030827914284550836,0.043333333333333335,-0.011039729103070495,77,90,0,7200,0.55,0.35016267241656057,1
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.13898210287902907,-0.13898210287902907,-0.12926175500161405,0.017847630195795654,0.01800529964847749,-0.12563180154386624,-0.05981003416087892,10,720,-4.950927830438997,-0.030794301005797737,0.05722222222222222,-0.05197593044595894,102,90,0,7200,0.5644444444444444,0.3428427599007036,2
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.03690836890451185,0.03690836890451185,0.01839171123936251,-0.014150727652878888,-0.023805524305390437,0.038263202710029504,0.034899460132367145,10,720,3.7924243723051525,-0.010584354790168518,0.058888888888888886,0.035585453612218654,102,90,0,7200,0.5556944444444445,0.34570227756604993,3
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.04372306757991443,0.04372306757991443,0.05361954729300243,0.009740943050175796,0.009453618999363254,0.05112192712523759,0.029468529213799482,10,720,2.476457944802036,-0.008364329632258869,0.03833333333333333,0.007690798611883487,68,90,0,7200,0.5969444444444445,0.3569350912374583,4
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.07362525040649111,0.07362525040649111,0.08567187045548894,0.014453573123318379,0.007233215049072681,0.07507385411179722,-0.021633887340871273,10,720,-3.046114491159975,-0.037951497839861334,0.04388888888888889,-0.027620736121242162,78,90,0,7200,0.5343055555555556,0.34536738491536495,5
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.03986577464520804,-0.03986577464520804,-0.04315964414687848,-0.03908850178863039,-0.05858102653861652,-0.03465702198381177,-0.05268915335120379,10,720,-4.242628285496437,-0.03939050716912314,0.065,-0.03960900215731289,114,90,0,7200,0.5475,0.3497029670781238,6
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.03464968950048823,0.03464968950048823,0.04270442199687924,-0.014406823087727656,-0.008246808212309149,0.03906873469803028,0.003867916508748983,10,720,0.7418309916508408,-0.017599656933239505,0.03222222222222222,0.006385587729285547,57,90,0,7200,0.5640277777777778,0.34399440858855823,7
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.06745998762884955,-0.06745998762884955,-0.07603277909295861,-0.03170765963686435,-0.04945967427939793,-0.05150527732798711,-0.02902054156601113,10,720,1.3324157642479058,-0.012436107398347834,0.04,0.00651798716034202,71,90,0,7200,0.5801388888888889,0.3450132298375202,8
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.0321986766683912,0.0321986766683912,0.04530006573820666,-0.017048725975933484,-0.010870083291862453,0.029377174908571193,0.035164851489834364,10,720,-3.5701160579896634,-0.050529553095326966,0.0961111111111111,-0.02544670958393791,164,90,0,7200,0.5538888888888889,0.3762792307410041,9
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.015448755097097228,0.015448755097097228,0.002589527042841611,-0.09528566301851016,-0.10134690235776285,0.013213364663492318,0.009630078524462429,10,720,-2.3406034926854686,-0.03610509913845849,0.04,-0.0194619611039214,71,90,0,7200,0.5401388888888888,0.34322451055297337,10
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.012354600947481515,-0.012354600947481515,-0.00206777742393557,-0.029445178099288274,-0.020563420868220855,0.0169467112722629,-0.014901946079960432,10,720,-2.077805923269368,-0.008002841362712142,0.012777777777777779,-0.004193060418232197,22,90,0,7200,0.5856944444444444,0.33663421867788146,11
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.005251791282839967,0.005251791282839967,-0.0007090588825734222,-0.0207811658711363,-0.016588456196100002,0.012122293979196883,0.07270979782770118,10,720,1.526640885266234,-0.030752160101914908,0.06,0.020232030168308546,107,90,0,7200,0.5981944444444445,0.37004940875413367,12
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.03129573473238924,0.03129573473238924,0.05580204827163615,0.0609530683947452,0.05342104441835783,0.021180639666333167,-0.0015175866457248887,10,720,-2.1088179563903986,-0.03815622495203384,0.05555555555555555,-0.013002042967851346,100,90,0,7200,0.5843055555555555,0.3656992991407442,13
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.05684521401472463,-0.05684521401472463,-0.041724234278803354,-0.014692899270466365,-0.013328735586651678,-0.06264868741744808,-0.0344668081025174,10,720,-3.287511667128279,-0.022308696686493545,0.021111111111111112,-0.013872037044155627,38,90,0,7200,0.5483333333333333,0.3370585335379909,14
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.0523238395277064,-0.0523238395277064,-0.05156013394055571,-0.010432583166734462,-0.005472196203902097,-0.03659124087633878,-0.017346755301312723,10,720,-5.654210610903649,-0.032722051800095235,0.05444444444444444,-0.027348700759629918,90,90,0,7200,0.5638888888888889,0.3502704865303023,15
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.04690643111505764,-0.04690643111505764,-0.053879334533252055,0.055322009667953635,0.03655656261123588,-0.025450617719304777,-0.006435545300740267,10,720,2.4320821359810902,-0.00658070700337122,0.06777777777777778,0.010400486867148562,115,90,0,7200,0.5561111111111111,0.35819358315888233,16
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.03134010529801173,-0.03134010529801173,-0.03240743690345199,8.12806086747115e-05,0.004395411410775315,-0.029849846462280383,0.016190544093539424,10,720,-5.439354595021243,-0.020408537385139865,0.05,-0.020246774900966713,87,90,0,7200,0.5431944444444444,0.35646794630655715,17
global_lgbm,tb_label_8h,8h,none,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.018634047033837066,-0.018634047033837066,-0.02418165011974065,-0.019030328402126463,-0.031304199134313454,0.0030481383964718004,-0.011021327343301385,10,720,-6.821281278082767,-0.007361718059061606,0.01,-0.006904700117279283,16,90,0,7200,0.5613888888888889,0.33629240689125633,18
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.02395340827570788,0.02395340827570788,0.00414722403902453,0.0050181916374091385,0.003909272198842207,0.025037193560226705,0.005777194309796932,10,720,-0.8504004355476737,-0.05062904213303961,0.085,-0.012389479380370716,147,90,0,7200,0.5448611111111111,0.3554513996128701,1
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.10036953672259112,-0.10036953672259112,-0.12023208213201979,0.019893344399518013,0.021420983576169388,-0.08993930822164342,-0.04334607635959988,10,720,-3.8826217843720894,-0.05318690641103606,0.08777777777777777,-0.04205629286259327,151,90,0,7200,0.5620833333333334,0.3520940170416496,2
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.06780831977661653,0.06780831977661653,0.06626967750122909,-0.022639605581736413,-0.044073578943903735,0.06348629434703609,0.06735677522693548,10,720,3.6315279008544508,-0.014549886686180237,0.08,0.04128826924643203,135,90,0,7200,0.5493055555555556,0.35529374256326474,3
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.031318398071241114,0.031318398071241114,0.04161706968537759,0.01944027323578564,0.02399844751485336,0.04053147175276554,0.023910315469546348,10,720,0.2568008993305402,-0.01611158526028603,0.06333333333333334,0.00135520498691033,109,90,0,7200,0.5952777777777778,0.3610382593245243,4
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.05553370769798325,0.05553370769798325,0.05554397422563123,0.03051389712544836,0.027918119102620816,0.053896262317167744,0.008778681788186457,10,720,3.2364236498602033,-0.02969701159021624,0.07333333333333333,0.03212628253046579,124,90,0,7200,0.5315277777777778,0.3504293504353855,5
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.04521292395838654,-0.04521292395838654,-0.03486099896399342,-0.05805033743540206,-0.06396777272683896,-0.043191625943087106,-0.03662753030008582,10,720,-8.662994848761299,-0.06774658528613406,0.09,-0.06559389005708183,156,90,0,7200,0.5470833333333334,0.36101897418721585,6
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.02632768220290661,0.02632768220290661,0.017567495037853945,0.01589845593303943,0.02158215127276481,0.03251363188870361,0.02497524860706398,10,720,3.6200422070277036,-0.01758322388354017,0.06222222222222222,0.038168769355497956,107,90,0,7200,0.5554166666666667,0.35359333886939304,7
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.01888656367160274,-0.01888656367160274,-0.01853532495037437,-0.033441349186573203,-0.05274321874961037,-0.007762800619470834,0.04092220735844675,10,720,3.5741572916625373,-0.01839445405412229,0.06777777777777778,0.03261711581619142,118,90,0,7200,0.5833333333333334,0.36001152585358853,8
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.05909034742402759,0.05909034742402759,0.06819447715255107,-0.0022598876325829065,0.004015977969708491,0.05686626901987783,0.049851223711026224,10,720,1.0242432710524954,-0.05267288755747304,0.12166666666666667,0.010381207379693835,201,90,0,7200,0.5504166666666667,0.3887057206193621,9
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.005810736907684424,-0.005810736907684424,-0.008255094221728498,-0.048535342816922955,-0.061838560755428505,-0.0071802481773455065,0.013911740864671698,10,720,2.9089376171818637,-0.013717110530392073,0.04555555555555556,0.01137268469025332,80,90,0,7200,0.5456944444444445,0.35288314238628704,10
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.007807130731762464,-0.007807130731762464,-0.018130455259608436,0.030693120432207132,0.02746922706377577,0.012436144092443637,-0.012826425078833909,10,720,2.6765560308926206,-0.014586491487982965,0.023333333333333334,0.026951037227179286,41,90,0,7200,0.58125,0.33536424458049835,11
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.024080403709145576,0.024080403709145576,0.014398095178424603,-0.008831937420774639,0.010610828664672205,0.021211761646377853,0.08192687003173815,10,720,2.1085454576048144,-0.015370344016152239,0.07888888888888888,0.023334774579640172,137,90,0,7200,0.6020833333333333,0.3792184707872031,12
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.0314232984379877,0.0314232984379877,0.015157556684760196,0.04105063159042302,0.032422055291342566,0.03195465633803376,0.05154815825339885,10,720,2.847506023344193,-0.024827670643039534,0.08444444444444445,0.018454732154875808,145,90,0,7200,0.5879166666666666,0.37719587925528847,13
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.03406458622053555,-0.03406458622053555,-0.04561715884069723,-0.03425744179659921,-0.0325009207544498,-0.0393703758785198,0.009080340166158957,10,720,-5.661918310832231,-0.050005414686869254,0.043333333333333335,-0.050005414686869254,78,90,0,7200,0.5519444444444445,0.34884049428728225,14
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.0054010331670302225,-0.0054010331670302225,0.005547450028706021,0.012253720246048783,0.010271618718159178,-0.0011893248792364715,0.026482168745330742,10,720,-0.2360927537016618,-0.01955249964887161,0.09666666666666666,-0.0020956172860369104,166,90,0,7200,0.5579166666666666,0.3608706860624353,15
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.0655256686581068,-0.0655256686581068,-0.07844061713438956,0.03906482994516131,0.043771484805708555,-0.05474835096338592,-0.023620638522285502,10,720,-1.7435182657989725,-0.01943580249652452,0.08944444444444444,-0.00937545863044209,153,90,0,7200,0.5443055555555556,0.35205541402156043,16
