method,symbol,regime,n_rows,pct_rows,avg_vol_20h,avg_forward_return_8h,avg_vol_adj_return_8h,avg_amihud,avg_volume_zscore,avg_ret_autocorr,feature_ic_vs_target
contrastive,BTCUSDT,0,7501,0.043166254244115784,0.004785499763086807,0.0005744442151191906,0.012067994858911416,3.999157420952716e-06,0.03521223778481046,-0.07006843386320183,-0.0033925035890448587
contrastive,BTCUSDT,1,114,0.0006560395925648846,0.004649937208378319,-0.0007952767754669886,-0.02989191739869564,3.1559193745489615e-06,0.23680403459149807,-0.05373415341996987,0.068662527613032
contrastive,BTCUSDT,2,8921,0.051337975484836276,0.004334958140700112,4.081544615682912e-06,0.011239346226755747,3.836133684612368e-06,0.019275633221251212,-0.08458861980059285,-0.0020725110090825455
contrastive,BTCUSDT,3,841,0.004839730678483052,0.0032050595531106047,-0.00016497591739644764,0.004473177663609407,3.1464792914476965e-06,0.017072855027628255,-0.07487500373933356,-0.01017620217960033
contrastive,ETHUSDT,0,869,0.0050008632099902165,0.006966774520014246,0.0025943977260485416,0.13487498013649835,2.395353318777068e-07,-0.023359520488138302,-0.0786941032582315,-0.0009063542573402337
contrastive,ETHUSDT,1,9195,0.052914772400299244,0.006306649046067594,-0.0003947393307775495,-0.025654251486226017,2.809308987824154e-07,0.0008932424348016431,-0.06970334873994595,0.021150665990103984
contrastive,ETHUSDT,2,122,0.0007020774587097887,0.008031732244645307,-0.0023790526557212967,-0.13439713041270251,2.619916793744076e-07,0.3310584663780503,0.044216424347404235,0.1226129711648464
contrastive,ETHUSDT,3,7191,0.041382286931000746,0.006616712458612059,0.000516992617060319,0.016319538149146225,2.9391267538013767e-07,0.045600857785158655,-0.08412976529447795,-0.0022285963223106246
contrastive_hmm,BTCUSDT,0,184,0.0010588709213327962,0.003762573178643641,0.0015227454104167464,0.10582862933403817,3.199476086185981e-06,0.11795682576933612,-0.1638582296410312,0.1112462995413536
contrastive_hmm,BTCUSDT,1,8377,0.04820740058698279,0.004262649118920123,-8.153270919216736e-06,0.010845777468928048,3.791796756562839e-06,0.030981009186061545,-0.08270708622613684,-0.005777987832747623
contrastive_hmm,BTCUSDT,2,987,0.005679921735627554,0.0038065462832801633,-0.00046390689088813425,-0.09645460122623582,3.504214369748489e-06,-0.05278904119809178,-0.025698675609012178,-0.007614714901716418
contrastive_hmm,BTCUSDT,3,7829,0.04505380675605686,0.004807275118962725,0.0005571467766601219,0.02248251969764316,4.012587520152315e-06,0.031716651472938125,-0.07675848804281883,-0.0014996578664025213
contrastive_hmm,ETHUSDT,0,7895,0.045433619151752314,0.006542849000138978,-0.0006465964848987286,-0.03684975605390276,2.806490794294372e-07,-0.009150080403466212,-0.07043600851688218,0.011962730281233768
contrastive_hmm,ETHUSDT,1,1144,0.006583414858721298,0.009446894548753812,-0.0007150748423464923,-0.057898800970328713,2.634589462605237e-07,0.11388884398813127,-0.049195842713245654,0.021246300792845164
contrastive_hmm,ETHUSDT,2,7445,0.04284398918110146,0.005989311647717024,0.00093180366759139,0.04316107204163075,2.9594272003937116e-07,0.02344058354978569,-0.085229617530713,0.0020864764731808685
contrastive_hmm,ETHUSDT,3,893,0.005138976808424929,0.006216069678706742,0.001162373488713687,0.020272939808070718,2.423177871643006e-07,0.1384711588463561,-0.069410271037534,0.03310340654174928
hmm,BTCUSDT,0,6186,0.03559877999654716,0.005232499363986871,-3.93044225803267e-05,-0.012584146877226785,3.6960459605116114e-06,-0.570899312880931,-0.07665511187334943,-0.01967766915402062
hmm,BTCUSDT,1,1114,0.006410772860677908,0.010503161557856617,0.0016189595139373188,0.03861348850823426,3.468085945842998e-06,0.11608073440952014,-0.045298943757018775,0.002502282030812115
hmm,BTCUSDT,2,6881,0.03959831961788571,0.0025473813979312947,-1.4215066652346686e-05,0.014056969741645926,4.055468757243904e-06,-0.02495423308630591,-0.09262811519126239,-0.0005766353135239539
hmm,BTCUSDT,3,3196,0.01839212752488922,0.005067724900432008,0.0008302069309707236,0.04044011218689392,3.940213934233454e-06,1.2676527346146484,-0.05859460740259285,0.004029330714874291
hmm,ETHUSDT,0,6866,0.039511998618864015,0.0056774024243393135,-0.00037161733157564685,-0.01990692340248687,2.7764928876629447e-07,-0.574359569745678,-0.07726583253601281,-0.002413733270571031
hmm,ETHUSDT,1,3931,0.022621856476952293,0.011068204908753711,0.0005016621112055984,0.0050130415291726035,2.498641228416465e-07,0.06744163987417781,-0.04223095817458588,0.01757091271726992
hmm,ETHUSDT,2,2433,0.014001266041318985,0.002765061748570455,-0.00032910788878499735,-0.04140765014642974,3.3220800247611075e-07,-0.0722129902646031,-0.13657617398766275,0.004395709674001097
hmm,ETHUSDT,3,4147,0.023864878862864706,0.005639465127589454,0.0008277220389636976,0.048225788975039915,2.990081740207419e-07,1.0152767704261438,-0.06753876821048212,0.02332614811816237
kmeans,BTCUSDT,0,1720,0.0098981412211544,0.006805184621546073,0.0005127539782455471,0.026238091433712963,3.2744965260153216e-06,0.8346730121228724,-0.02211676511517453,-0.003313912113717527
kmeans,BTCUSDT,1,8985,0.05170627841399551,0.0037562320143437727,0.00012514841765282669,0.016962600802120757,4.0930943687321725e-06,-0.296039430226484,-0.10530134765940616,-0.0027710457798500736
kmeans,BTCUSDT,2,689,0.003965011221729873,0.008062624487331436,0.0021999141849291383,0.05112864324762148,3.497574332798258e-06,1.5405889485980664,-0.005282143733618183,0.024367612072118655
kmeans,BTCUSDT,3,5983,0.03443056914312022,0.004476672698029682,9.924368537234541e-05,-0.006956981399536303,3.745174104077625e-06,0.10701149335815842,-0.060418039367089116,-0.010913554889925712
kmeans,ETHUSDT,0,3526,0.02029118950336652,0.008449751864918514,0.0010804679077092152,0.046878907924639376,2.509606552999449e-07,0.46021026065191084,-0.03973518101136448,0.006443070192158256
kmeans,ETHUSDT,1,6306,0.03628934798872072,0.004821389646749213,-3.833791379425028e-05,0.015652055899848874,3.0132778626405265e-07,-0.3864433258470447,-0.11455999627146683,0.01561628788635399
kmeans,ETHUSDT,2,1751,0.010076537952465903,0.01017678539662232,0.0007270656583445911,-0.017799304567089946,2.543401973844292e-07,1.057809563087187,-0.013122440061744248,0.026994690466994768
kmeans,ETHUSDT,3,5794,0.03334292455544686,0.005969512641115129,-0.0004813099694922609,-0.043244295358443444,2.94510679126584e-07,-0.11767267330304303,-0.07307408156288552,-0.019533952460025355
vol_bucket,BTCUSDT,0,4356,0.025067618115900327,0.0020921884496290684,2.5529749155544205e-05,0.02365103667373348,4.188975041602826e-06,0.10098331173130089,-0.0972230061198067,0.017863385103308992
vol_bucket,BTCUSDT,1,4348,0.025021580249755423,0.0034811879886890093,-0.00019942719038373922,-0.018828899402508387,3.77741830255001e-06,0.04236447002656555,-0.07612937023122726,0.011169908270415814
vol_bucket,BTCUSDT,2,4349,0.025027334983023536,0.004744765100720418,-0.0002984415425636918,-0.026261117858905943,3.844718580603782e-06,0.0024804304463780986,-0.08704933106984292,-0.028401354535941933
vol_bucket,BTCUSDT,3,4324,0.024883466651320713,0.007610772788525405,0.001426858307878897,0.06572531021668179,3.6618226503339834e-06,-0.03640901086402418,-0.050000581414805935,-0.008617138991527903
vol_bucket,ETHUSDT,0,4356,0.025067618115900327,0.003261060974294199,4.133250515296816e-05,-0.0012816136890159088,3.146448698578627e-07,0.06255797482267995,-0.11601401844894156,0.02028798062826139
vol_bucket,ETHUSDT,1,4358,0.025079127582436554,0.005075086002536027,1.20659357617588e-05,-0.0027563066073923457,2.8988803832320097e-07,0.0430639558280795,-0.07827969328927668,0.009447590067877874
vol_bucket,ETHUSDT,2,4334,0.02494101398400184,0.006759803238647962,-0.00040097080695658327,-0.020786146048739525,2.780562622067285e-07,-0.00603990976640048,-0.0638134705695481,0.007309521339897111
vol_bucket,ETHUSDT,3,4329,0.024912240317661278,0.010853550940363168,0.0008217908753922677,0.02077955986198566,2.5358833142318403e-07,-0.01796707017412283,-0.04292507662063644,0.019363405453166126
