symbol_scope,target,horizon,method,regime_method,IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
BTCUSDT,tb_label_4h,4h,global_lgbm,none,-0.010921617770138552,0.6180555555555556,0.36135345733884,-1.6839826136929228,-0.7639882509170839,0.05416666666666667,-0.7621339775704972,1324,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_contrastive,contrastive,-0.019351429972518992,0.6061728395061728,0.3698237040854411,-1.1749299405834488,-0.7551134803326682,0.07746913580246914,-0.6878104711526505,1880,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.021585001825176364,0.6023148148148149,0.371119285314286,-1.6095265939685701,-0.8354336506083704,0.08464506172839506,-0.8261252268845074,2040,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_hmm,hmm,0.0016497110339429052,0.6087191358024692,0.3696796964933648,-0.9929674404527208,-0.7711561333789838,0.07908950617283951,-0.645776560135777,1878,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_kmeans,kmeans,-0.0002982535235004177,0.6117283950617284,0.3745199625674458,-1.4943750535297056,-0.8266454492941999,0.08618827160493828,-0.7903078465655127,2071,12960
BTCUSDT,tb_label_4h,4h,regime_lgbm_vol_bucket,vol_bucket,-0.00257267459734351,0.5994598765432099,0.37264127723082496,-1.5057227910692388,-0.8216846647771009,0.09205246913580246,-0.8034729378003095,2156,12960
BTCUSDT,tb_label_8h,8h,global_lgbm,none,-0.011486514329276973,0.5617283950617284,0.37031323034685043,-1.070028047931701,-0.9071436358724003,0.07222222222222222,-0.8955045693382566,1719,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_contrastive,contrastive,-0.003529086260915388,0.5413580246913581,0.37674606337752553,-0.5457146331090871,-0.8122094489460786,0.09899691358024691,-0.7615205831201401,2306,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0065541119702718495,0.5388888888888889,0.3747369596068382,-0.9796928697539745,-0.9440656032775792,0.09915123456790123,-0.9211752737877098,2320,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_hmm,hmm,-0.006040459940209305,0.5491512345679013,0.37409136718104663,-0.9071410164264633,-0.8914470902772538,0.10007716049382716,-0.8813693165283326,2329,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_kmeans,kmeans,-0.003414332891918505,0.5513117283950617,0.37885056087100427,-0.7054413177346303,-0.8662999323198342,0.11126543209876544,-0.8314771533772671,2586,12960
BTCUSDT,tb_label_8h,8h,regime_lgbm_vol_bucket,vol_bucket,-0.0180189191679937,0.5393518518518519,0.37337382504458133,-1.2936963374568755,-0.9781553682423065,0.10787037037037037,-0.9634726220547634,2490,12960
BTCUSDT,tb_label_24h,24h,global_lgbm,none,-0.005289070581317177,0.4789351851851852,0.3903177887370766,-1.0437436874553092,-0.9999310281893384,0.10709876543209877,-0.9999227122253667,2474,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_contrastive,contrastive,-0.016991694423392014,0.4676697530864197,0.3985140567609033,-0.6909501480462024,-0.9993865147339651,0.12465277777777778,-0.9992698462032014,2744,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.013357901462922418,0.4735339506172839,0.40430182047617774,-0.21129291822521304,-0.993500125520483,0.12885802469135801,-0.9495059888545272,2818,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_hmm,hmm,0.012984319840533347,0.4722993827160494,0.3977565070970787,-0.2861367397409859,-0.9956511789030688,0.14895833333333333,-0.9769912107932633,3244,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_kmeans,kmeans,0.017541535470551532,0.4762345679012346,0.40174713035961634,-0.3066979596094969,-0.9902659601215915,0.15817901234567902,-0.9794522594022338,3441,12960
BTCUSDT,tb_label_24h,24h,regime_lgbm_vol_bucket,vol_bucket,0.011377723767003006,0.4626543209876543,0.3931603644041773,-0.30143515792943987,-0.9988765971341609,0.14660493827160495,-0.9790658278839124,3187,12960
ETHUSDT,tb_label_4h,4h,global_lgbm,none,0.010376929289142786,0.631712962962963,0.3533022142354986,-0.41229819878098284,-0.4770285627075108,0.03294753086419753,-0.33157137011345683,819,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_contrastive,contrastive,-0.010052447069740702,0.6185956790123457,0.359001933403773,-0.6359021152536627,-0.663172841118405,0.06033950617283951,-0.6132372172398307,1491,12960
