market_period,threshold,transaction_cost_bps,best_signal_ic_method,best_signal_ic,best_sharpe_method,best_sharpe,lowest_drawdown_method,lowest_drawdown,best_return_method,best_total_return,methods_tested,n_test_rows_per_method
sideways,0.07,10,regime_lgbm_contrastive_hmm,0.004202945285416903,regime_lgbm_contrastive_hmm,-0.5379842571864936,regime_lgbm_contrastive_hmm,-0.6387284992131607,regime_lgbm_contrastive_hmm,-0.5653235478655455,6,12466
bear,0.07,10,regime_lgbm_hmm,0.0329797519176112,regime_lgbm_hmm,0.5798221701633567,regime_lgbm_hmm,-0.46918734843511184,regime_lgbm_hmm,0.615522880474296,6,6684
all,0.07,20,regime_lgbm_hmm,0.004350268528949431,regime_lgbm_hmm,-0.8252522771349277,global_lgbm,-0.7801990671263924,global_lgbm,-0.7128668733100063,6,25920
bull,0.07,20,regime_lgbm_kmeans,0.01684143709048363,global_lgbm,0.023689630409075953,global_lgbm,-0.3159950831010355,global_lgbm,-0.02438585333656418,6,6770
sideways,0.07,20,regime_lgbm_contrastive_hmm,0.004202945285416903,regime_lgbm_contrastive_hmm,-1.0879591526490582,global_lgbm,-0.7846045495646078,global_lgbm,-0.7794921911140851,6,12466
bear,0.07,20,regime_lgbm_hmm,0.0329797519176112,regime_lgbm_hmm,0.3427338603760317,regime_lgbm_hmm,-0.47634224238049494,regime_lgbm_hmm,0.25478388843537103,6,6684
all,0.1,5,regime_lgbm_hmm,0.002884480327323527,regime_lgbm_hmm,-0.02559362390784493,global_lgbm,-0.5191253378148316,global_lgbm,-0.15026551483035988,6,25920
bull,0.1,5,global_lgbm,0.01543582313498104,global_lgbm,0.6545358947314259,global_lgbm,-0.17979657601973842,global_lgbm,0.3585417641759807,6,6770
sideways,0.1,5,regime_lgbm_contrastive_hmm,0.004623636377122459,regime_lgbm_contrastive_hmm,-0.18193054285010846,regime_lgbm_contrastive_hmm,-0.4722814140991918,regime_lgbm_contrastive_hmm,-0.2829465162102963,6,12466
bear,0.1,5,regime_lgbm_hmm,0.028784782007816596,regime_lgbm_hmm,0.6143798682088034,regime_lgbm_hmm,-0.46581706669070805,regime_lgbm_hmm,0.6652020267663588,6,6684
all,0.1,10,regime_lgbm_hmm,0.002884480327323527,global_lgbm,-0.28591246999802705,global_lgbm,-0.5956093992684759,global_lgbm,-0.3428798827219811,6,25920
bull,0.1,10,global_lgbm,0.01543582313498104,global_lgbm,0.5017174330492791,global_lgbm,-0.1889606168903774,global_lgbm,0.25516411963398933,6,6770
sideways,0.1,10,regime_lgbm_contrastive_hmm,0.004623636377122459,regime_lgbm_contrastive_hmm,-0.454004648346405,regime_lgbm_contrastive_hmm,-0.5657304458659231,regime_lgbm_contrastive_hmm,-0.49144582666081715,6,12466
bear,0.1,10,regime_lgbm_hmm,0.028784782007816596,regime_lgbm_hmm,0.5008478442983356,regime_lgbm_hmm,-0.46792682333334346,regime_lgbm_hmm,0.47848096401196827,6,6684
all,0.1,20,regime_lgbm_hmm,0.002884480327323527,global_lgbm,-0.6989812256829053,global_lgbm,-0.7154655095399725,global_lgbm,-0.6070682257915243,6,25920
bull,0.1,20,global_lgbm,0.01543582313498104,global_lgbm,0.19616803775496194,global_lgbm,-0.23059793873838272,global_lgbm,0.07135960541602282,6,6770
sideways,0.1,20,regime_lgbm_contrastive_hmm,0.004623636377122459,regime_lgbm_contrastive_hmm,-0.9959505775200157,global_lgbm,-0.7359930777390835,global_lgbm,-0.7276873070839993,6,12466
bear,0.1,20,regime_lgbm_hmm,0.028784782007816596,regime_lgbm_hmm,0.27380845189571273,regime_lgbm_hmm,-0.48956211863396365,regime_lgbm_hmm,0.1654060855418602,6,6684
